timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, ASSEMBLY2_RIGHT
1.6449320316937114e+18,frame_3157.jpeg,9961.0,-2638.0,-1718.0,1
1.6449320317437978e+18,frame_3158.jpeg,4814.0,-4687.0,-2989.0,1
1.6449320318072945e+18,frame_3159.jpeg,3534.0,-4850.0,-3094.0,1
1.6449320318449044e+18,frame_3160.jpeg,1095.0,-187.0,-6482.0,1
1.6449320318930143e+18,frame_3161.jpeg,5756.0,1888.0,-5946.0,1
1.644932031947434e+18,frame_3162.jpeg,6087.0,693.0,-4790.0,1
1.6449320319943972e+18,frame_3163.jpeg,8018.0,-412.0,-2767.0,1
1.644932032043853e+18,frame_3164.jpeg,8003.0,-342.0,-713.0,1
1.644932032099534e+18,frame_3165.jpeg,8912.0,1012.0,-679.0,1
1.6449320321448015e+18,frame_3166.jpeg,9303.0,1386.0,1357.0,1
1.6449320321759903e+18,frame_3167.jpeg,8743.0,1789.0,1819.0,1
1.6449320322483791e+18,frame_3168.jpeg,8709.0,1694.0,1899.0,1
1.6449320322909622e+18,frame_3169.jpeg,7015.0,1570.0,2934.0,1
1.6449320323473252e+18,frame_3170.jpeg,7431.0,1624.0,3227.0,1
1.6449320323929034e+18,frame_3171.jpeg,7046.0,2787.0,2645.0,1
1.6449320324419338e+18,frame_3172.jpeg,7232.0,3908.0,1832.0,1
1.644932032493936e+18,frame_3173.jpeg,6445.0,3996.0,1313.0,1
1.6449320325455857e+18,frame_3174.jpeg,5812.0,3727.0,1715.0,1
1.6449320325936136e+18,frame_3175.jpeg,5764.0,3491.0,885.0,1
1.6449320326446956e+18,frame_3176.jpeg,7050.0,3110.0,1184.0,1
1.644932032693533e+18,frame_3177.jpeg,6568.0,2548.0,2108.0,1
1.6449320327418135e+18,frame_3178.jpeg,6691.0,2200.0,2261.0,1
1.6449320327926938e+18,frame_3179.jpeg,7103.0,2487.0,2495.0,1
1.644932032844535e+18,frame_3180.jpeg,7473.0,3095.0,2682.0,1
1.6449320328999465e+18,frame_3181.jpeg,7509.0,3114.0,2999.0,1
1.644932032941673e+18,frame_3182.jpeg,7892.0,3341.0,3171.0,1
1.6449320329967916e+18,frame_3183.jpeg,8001.0,3325.0,3349.0,1
1.6449320330465347e+18,frame_3184.jpeg,7981.0,3635.0,3261.0,1
