timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, IDLE
1.644932418880237e+18,frame_10891.jpeg,-3909.0,5567.0,4827.0,1
1.644932418928979e+18,frame_10892.jpeg,-3932.0,5613.0,4869.0,1
1.6449324189805348e+18,frame_10893.jpeg,-3998.0,5621.0,4925.0,1
1.6449324190254853e+18,frame_10894.jpeg,-3928.0,5604.0,4892.0,1
1.6449324190794824e+18,frame_10895.jpeg,-3857.0,5579.0,4885.0,1
1.6449324191311066e+18,frame_10896.jpeg,-3825.0,5576.0,4909.0,1
1.6449324191782838e+18,frame_10897.jpeg,-3886.0,5554.0,4993.0,1
1.6449324192311352e+18,frame_10898.jpeg,-3900.0,5572.0,5007.0,1
1.6449324192809062e+18,frame_10899.jpeg,-3892.0,5599.0,4922.0,1
1.6449324193343693e+18,frame_10900.jpeg,-3939.0,5641.0,4893.0,1
1.6449324193776476e+18,frame_10901.jpeg,-3900.0,5640.0,4884.0,1
1.6449324194337172e+18,frame_10902.jpeg,-3833.0,5716.0,4891.0,1
1.6449324194767414e+18,frame_10903.jpeg,-3906.0,5636.0,4732.0,1
1.6449324195334e+18,frame_10904.jpeg,-3859.0,5723.0,4722.0,1
1.6449324195792356e+18,frame_10905.jpeg,-3775.0,5740.0,4680.0,1
1.644932419633552e+18,frame_10906.jpeg,-3794.0,5685.0,4703.0,1
1.6449324196821612e+18,frame_10907.jpeg,-3636.0,5738.0,4812.0,1
1.6449324197353395e+18,frame_10908.jpeg,-3540.0,5684.0,4922.0,1
1.6449324197800287e+18,frame_10909.jpeg,-3579.0,5637.0,5018.0,1
1.6449324198317202e+18,frame_10910.jpeg,-3571.0,5645.0,4975.0,1
1.6449324198763162e+18,frame_10911.jpeg,-3572.0,5617.0,5100.0,1
1.6449324199303555e+18,frame_10912.jpeg,-3576.0,5562.0,5232.0,1
1.6449324199776458e+18,frame_10913.jpeg,-3573.0,5416.0,5251.0,1
1.6449324200304689e+18,frame_10914.jpeg,-3692.0,5356.0,5403.0,1
1.6449324200737618e+18,frame_10915.jpeg,-3798.0,5301.0,5566.0,1
1.6449324201282565e+18,frame_10916.jpeg,-3848.0,5277.0,5641.0,1
1.6449324201572065e+18,frame_10917.jpeg,-3817.0,5237.0,5598.0,1
1.6449324202359565e+18,frame_10918.jpeg,-3775.0,5214.0,5556.0,1
1.6449324202792443e+18,frame_10919.jpeg,-3732.0,5198.0,5540.0,1
1.644932420327916e+18,frame_10920.jpeg,-3722.0,5149.0,5556.0,1
1.644932420383069e+18,frame_10921.jpeg,-3720.0,5126.0,5577.0,1
1.6449324204000392e+18,frame_10922.jpeg,-3719.0,5127.0,5586.0,1
1.6449324204716337e+18,frame_10923.jpeg,-3716.0,5126.0,5590.0,1
1.6449324205321736e+18,frame_10924.jpeg,-3715.0,5118.0,5560.0,1
1.6449324205790185e+18,frame_10925.jpeg,-3691.0,5233.0,5473.0,1
1.644932420632034e+18,frame_10926.jpeg,-3647.0,5151.0,5558.0,1
1.6449324206836001e+18,frame_10927.jpeg,-3599.0,5113.0,5579.0,1
1.6449324207269384e+18,frame_10928.jpeg,-3574.0,5087.0,5613.0,1
