timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, SCREW_RIGHT
1.6449323439845724e+18,frame_9395.jpeg,7761.0,689.0,-5165.0,1
1.6449323440404114e+18,frame_9396.jpeg,8627.0,-443.0,-5959.0,1
1.6449323440870664e+18,frame_9397.jpeg,8334.0,-717.0,-7350.0,1
1.6449323441347779e+18,frame_9398.jpeg,6273.0,-720.0,-6241.0,1
1.644932344173661e+18,frame_9399.jpeg,5906.0,-763.0,-5056.0,1
1.6449323442375324e+18,frame_9400.jpeg,6212.0,-469.0,-5013.0,1
1.6449323442885824e+18,frame_9401.jpeg,6179.0,-598.0,-4940.0,1
1.644932344336931e+18,frame_9402.jpeg,6321.0,-317.0,-4764.0,1
1.6449323443888653e+18,frame_9403.jpeg,5871.0,-1410.0,-5831.0,1
1.6449323444346094e+18,frame_9404.jpeg,5870.0,-1048.0,-5027.0,1
1.644932344495673e+18,frame_9405.jpeg,5839.0,-1303.0,-5136.0,1
1.6449323445346373e+18,frame_9406.jpeg,5825.0,-968.0,-5699.0,1
1.6449323445832886e+18,frame_9407.jpeg,5551.0,-1281.0,-5376.0,1
1.6449323446316063e+18,frame_9408.jpeg,5574.0,-1220.0,-5560.0,1
1.6449323446868954e+18,frame_9409.jpeg,5849.0,-1082.0,-5604.0,1
1.6449323447349274e+18,frame_9410.jpeg,5776.0,-1250.0,-5275.0,1
1.6449323447875896e+18,frame_9411.jpeg,5679.0,-1034.0,-5437.0,1
1.6449323448402854e+18,frame_9412.jpeg,5840.0,-1207.0,-5454.0,1
1.644932344888778e+18,frame_9413.jpeg,5787.0,-1237.0,-5320.0,1
1.6449323449366945e+18,frame_9414.jpeg,5798.0,-1050.0,-5358.0,1
1.6449323449783365e+18,frame_9415.jpeg,5633.0,-1142.0,-5591.0,1
1.6449323450414615e+18,frame_9416.jpeg,5574.0,-1041.0,-5425.0,1
1.6449323450864968e+18,frame_9417.jpeg,5754.0,-952.0,-5382.0,1
1.6449323451355853e+18,frame_9418.jpeg,5768.0,-999.0,-5385.0,1
1.644932345177722e+18,frame_9419.jpeg,5798.0,-1187.0,-5330.0,1
1.644932345236959e+18,frame_9420.jpeg,5915.0,-1460.0,-5356.0,1
1.6449323452791741e+18,frame_9421.jpeg,5882.0,-1778.0,-5203.0,1
1.6449323453186442e+18,frame_9422.jpeg,5662.0,-1516.0,-5476.0,1
1.644932345387353e+18,frame_9423.jpeg,5792.0,-1303.0,-5256.0,1
1.644932345435701e+18,frame_9424.jpeg,5974.0,-1225.0,-5414.0,1
1.6449323454852959e+18,frame_9425.jpeg,5288.0,-1762.0,-6021.0,1
1.6449323455364772e+18,frame_9426.jpeg,5159.0,-1482.0,-5940.0,1
1.6449323455869627e+18,frame_9427.jpeg,5406.0,-1588.0,-5633.0,1
1.6449323456373228e+18,frame_9428.jpeg,5523.0,-1588.0,-5596.0,1
1.6449323456866898e+18,frame_9429.jpeg,5501.0,-1561.0,-5545.0,1
1.6449323457372506e+18,frame_9430.jpeg,5141.0,-1769.0,-5831.0,1
1.6449323457811766e+18,frame_9431.jpeg,5377.0,-1544.0,-5687.0,1
1.6449323458411459e+18,frame_9432.jpeg,5350.0,-1539.0,-5747.0,1
1.644932345877624e+18,frame_9433.jpeg,5247.0,-1669.0,-5831.0,1
1.6449323459431992e+18,frame_9434.jpeg,5246.0,-1683.0,-5871.0,1
1.6449323459868895e+18,frame_9435.jpeg,5274.0,-1478.0,-5879.0,1
1.6449323460412052e+18,frame_9436.jpeg,5219.0,-1613.0,-5675.0,1
1.6449323460770637e+18,frame_9437.jpeg,5277.0,-1719.0,-5712.0,1
1.6449323461404882e+18,frame_9438.jpeg,5417.0,-1767.0,-5707.0,1
1.6449323461941263e+18,frame_9439.jpeg,5307.0,-1657.0,-5776.0,1
1.6449323462405143e+18,frame_9440.jpeg,5310.0,-1376.0,-5946.0,1
1.6449323462893668e+18,frame_9441.jpeg,5151.0,-1493.0,-6100.0,1
1.6449323463464402e+18,frame_9442.jpeg,5408.0,-1827.0,-5446.0,1
1.6449323463875387e+18,frame_9443.jpeg,5259.0,-1636.0,-5795.0,1
1.6449323464412163e+18,frame_9444.jpeg,5265.0,-1253.0,-5862.0,1
1.644932346486115e+18,frame_9445.jpeg,5151.0,-1577.0,-5860.0,1
1.6449323465430876e+18,frame_9446.jpeg,4973.0,-1636.0,-5867.0,1
1.644932346586425e+18,frame_9447.jpeg,5163.0,-1616.0,-5933.0,1
1.6449323466418936e+18,frame_9448.jpeg,5292.0,-1531.0,-5889.0,1
1.6449323466864686e+18,frame_9449.jpeg,5330.0,-1897.0,-5847.0,1
1.6449323467397384e+18,frame_9450.jpeg,5367.0,-1417.0,-5679.0,1
1.6449323467910216e+18,frame_9451.jpeg,5320.0,-1351.0,-5887.0,1
1.6449323468396012e+18,frame_9452.jpeg,5234.0,-1560.0,-5652.0,1
1.6449323468875843e+18,frame_9453.jpeg,5312.0,-1542.0,-5704.0,1
1.64493234694123e+18,frame_9454.jpeg,5276.0,-1483.0,-5910.0,1
1.6449323469856988e+18,frame_9455.jpeg,5228.0,-1479.0,-5723.0,1
1.6449323470372588e+18,frame_9456.jpeg,5334.0,-1582.0,-5698.0,1
1.6449323470874516e+18,frame_9457.jpeg,5187.0,-1357.0,-5930.0,1
1.6449323471416714e+18,frame_9458.jpeg,5031.0,-1666.0,-6075.0,1
1.6449323471900588e+18,frame_9459.jpeg,5274.0,-1493.0,-5582.0,1
1.644932347239732e+18,frame_9460.jpeg,5165.0,-2156.0,-5965.0,1
1.6449323472903828e+18,frame_9461.jpeg,5234.0,-1635.0,-5749.0,1
1.6449323473435144e+18,frame_9462.jpeg,5231.0,-1250.0,-5854.0,1
1.644932347389878e+18,frame_9463.jpeg,5261.0,-1605.0,-5829.0,1
1.6449323474400412e+18,frame_9464.jpeg,5136.0,-1718.0,-5912.0,1
1.644932347495126e+18,frame_9465.jpeg,6006.0,-1645.0,-5661.0,1
1.644932347541338e+18,frame_9466.jpeg,6410.0,-1364.0,-5820.0,1
1.6449323475926848e+18,frame_9467.jpeg,6278.0,-388.0,-6408.0,1
1.6449323476419942e+18,frame_9468.jpeg,3292.0,864.0,-8069.0,1
1.6449323476853253e+18,frame_9469.jpeg,3409.0,871.0,-8019.0,1
1.644932347740232e+18,frame_9470.jpeg,4031.0,1055.0,-7218.0,1
1.6449323477907425e+18,frame_9471.jpeg,4641.0,82.0,-4178.0,1
1.6449323478397683e+18,frame_9472.jpeg,4274.0,-343.0,-4176.0,1
