timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY2_RIGHT
1.6449320316931625e+18,6158.0,-7060.0,2505.0,1
1.6449320317434115e+18,7466.0,-3081.0,3563.0,1
1.6449320318071478e+18,7003.0,-2080.0,4124.0,1
1.6449320318486502e+18,2305.0,-313.0,7068.0,1
1.644932031892685e+18,872.0,-4655.0,5532.0,1
1.64493203194719e+18,831.0,-4329.0,4558.0,1
1.644932031993889e+18,1398.0,-7364.0,4740.0,1
1.6449320320485043e+18,1481.0,-8260.0,3390.0,1
1.644932032099295e+18,1162.0,-9263.0,1601.0,1
1.6449320321410412e+18,1203.0,-9459.0,1180.0,1
1.6449320321882493e+18,800.0,-9334.0,683.0,1
1.6449320322528225e+18,732.0,-9213.0,645.0,1
1.644932032294724e+18,789.0,-7566.0,-337.0,1
1.6449320323468977e+18,757.0,-7991.0,-445.0,1
1.6449320323922916e+18,272.0,-7799.0,12.0,1
1.6449320324450447e+18,-436.0,-8655.0,65.0,1
1.644932032493574e+18,-642.0,-7442.0,600.0,1
1.6449320325451607e+18,-755.0,-7290.0,1012.0,1
1.64493203259308e+18,-196.0,-6439.0,215.0,1
1.6449320326443963e+18,533.0,-8108.0,400.0,1
1.644932032697391e+18,814.0,-6915.0,112.0,1
1.6449320327451005e+18,921.0,-6992.0,98.0,1
1.6449320327921646e+18,823.0,-7717.0,-646.0,1
1.6449320328442427e+18,286.0,-8523.0,-1087.0,1
1.6449320328994396e+18,225.0,-8547.0,-1352.0,1
1.6449320329450076e+18,16.0,-9161.0,-1489.0,1
1.6449320329964723e+18,-51.0,-9092.0,-1526.0,1
1.644932033046196e+18,-344.0,-9101.0,-1432.0,1
1.644932034750903e+18,-4583.0,-6152.0,3640.0,1
1.6449320347978606e+18,-4579.0,-5538.0,4158.0,1
1.644932034849417e+18,-3973.0,-4139.0,2885.0,1
1.6449320348954547e+18,-5233.0,-7048.0,3967.0,1
1.644932034940635e+18,-5300.0,-7038.0,4018.0,1
1.64493203504636e+18,-5345.0,-6969.0,4039.0,1
1.6449320350499927e+18,-5366.0,-6851.0,4070.0,1
1.6449320350946918e+18,-3403.0,-10422.0,1149.0,1
