timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.644932447315459e+18,-2920.0,-8458.0,-705.0,1
1.644932447361153e+18,-3151.0,-8768.0,487.0,1
1.644932447414088e+18,-2847.0,-7496.0,845.0,1
1.64493244746445e+18,-3160.0,-7592.0,1201.0,1
1.644932447515438e+18,-3262.0,-7574.0,1653.0,1
1.6449324475613568e+18,-3036.0,-7611.0,1383.0,1
1.6449324476147085e+18,-3464.0,-8618.0,2101.0,1
1.6449324476656097e+18,-3371.0,-7543.0,2223.0,1
1.6449324477138555e+18,-3347.0,-8041.0,2404.0,1
1.6449324477654561e+18,-3187.0,-6613.0,2957.0,1
1.6449324478158405e+18,-2802.0,-7171.0,2836.0,1
1.6449324478681052e+18,-3185.0,-6762.0,3875.0,1
1.6449324479142236e+18,-2749.0,-6719.0,4407.0,1
1.6449324479606034e+18,-2176.0,-6728.0,3636.0,1
1.6449324480135089e+18,-2624.0,-5394.0,4134.0,1
1.6449324480658373e+18,-2104.0,-6821.0,2754.0,1
1.6449324481139154e+18,-2308.0,-7949.0,1854.0,1
1.6449324481659348e+18,-1858.0,-11357.0,614.0,1
1.6449324482157217e+18,-3123.0,-5131.0,2128.0,1
1.6449324482654228e+18,-2848.0,-7730.0,1073.0,1
1.6449324483150881e+18,-2337.0,-7976.0,1030.0,1
1.6449324483689157e+18,-1776.0,-7864.0,450.0,1
1.644932448419087e+18,-1472.0,-8536.0,-281.0,1
1.6449324484703693e+18,-1457.0,-8017.0,95.0,1
1.644932448507259e+18,-1623.0,-8046.0,-164.0,1
1.6449324486013972e+18,-1634.0,-8162.0,-179.0,1
1.6449324486013972e+18,-1634.0,-8162.0,-179.0,1
1.644932448657135e+18,-1617.0,-8266.0,-202.0,1
1.644932448722118e+18,-1603.0,-8319.0,-223.0,1
1.6449324487668718e+18,-1600.0,-7698.0,-437.0,1
1.6449324488160596e+18,-802.0,-8006.0,2060.0,1
1.644932448868229e+18,-1308.0,-7712.0,2099.0,1
1.6449324489143304e+18,-1092.0,-9069.0,505.0,1
1.644932448969434e+18,-1442.0,-7735.0,598.0,1
1.6449324490124918e+18,-1748.0,-8815.0,142.0,1
1.6449324490678134e+18,-1726.0,-7778.0,163.0,1
1.6449324491138836e+18,-1533.0,-7194.0,-73.0,1
1.6449324491750487e+18,-1958.0,-7359.0,166.0,1
1.6449324492149878e+18,-1328.0,-6734.0,-1955.0,1
1.644932449268541e+18,-1621.0,-7678.0,-970.0,1
1.6449324493179791e+18,-1048.0,-6371.0,-804.0,1
1.6449324493688238e+18,-821.0,-10248.0,-460.0,1
1.6449324494169316e+18,-877.0,-6444.0,183.0,1
