timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_RIGHT
1.6449318944700987e+18,3081.0,-4027.0,-3635.0,1
1.644931894520104e+18,3746.0,-4384.0,-4034.0,1
1.64493189457237e+18,4178.0,-4958.0,-4387.0,1
1.6449318946215107e+18,4661.0,-5389.0,-4576.0,1
1.6449318946749804e+18,4570.0,-5442.0,-4617.0,1
1.6449318947199365e+18,4447.0,-5190.0,-4130.0,1
1.644931894776361e+18,4737.0,-5045.0,-3760.0,1
1.6449318948237501e+18,5896.0,-4936.0,-4553.0,1
1.644931894876878e+18,5615.0,-4804.0,-5062.0,1
1.644931894920881e+18,5048.0,-4100.0,-5152.0,1
1.644931894972437e+18,4921.0,-3633.0,-4878.0,1
1.644931895020635e+18,5063.0,-3325.0,-4556.0,1
1.6449318950732582e+18,5235.0,-4044.0,-4635.0,1
1.644931895124103e+18,5065.0,-4554.0,-4837.0,1
1.6449318951761277e+18,4811.0,-4770.0,-4551.0,1
1.644931895221372e+18,4562.0,-4771.0,-4442.0,1
1.644931895273987e+18,4402.0,-4643.0,-4387.0,1
1.6449318953277821e+18,4601.0,-4487.0,-4613.0,1
1.644931895374173e+18,4920.0,-4249.0,-4878.0,1
1.6449318954286095e+18,4719.0,-4490.0,-4822.0,1
1.6449318954763735e+18,4376.0,-4387.0,-4508.0,1
1.6449318955230492e+18,4476.0,-4296.0,-4213.0,1
1.6449318955755067e+18,4862.0,-4363.0,-4419.0,1
1.6449318956263017e+18,5123.0,-4421.0,-4555.0,1
1.644931895673723e+18,5035.0,-4424.0,-4594.0,1
1.6449318957238922e+18,4767.0,-4299.0,-4488.0,1
1.6449318957726047e+18,4771.0,-4139.0,-4408.0,1
1.6449318958245921e+18,4788.0,-4203.0,-4508.0,1
1.6449318958753052e+18,4737.0,-4222.0,-4532.0,1
1.644931895928813e+18,4966.0,-4356.0,-4466.0,1
1.644931895979366e+18,5079.0,-4321.0,-4312.0,1
1.6449318960226496e+18,5226.0,-4351.0,-4391.0,1
1.6449318960720668e+18,5273.0,-4327.0,-4431.0,1
1.6449318961261604e+18,5307.0,-4296.0,-4566.0,1
1.6449318961732687e+18,5035.0,-4190.0,-4376.0,1
1.644931896226803e+18,4855.0,-4172.0,-4262.0,1
1.6449318962759265e+18,4891.0,-4331.0,-4293.0,1
1.6449318963245468e+18,4697.0,-4455.0,-4242.0,1
1.6449318963772237e+18,4510.0,-4598.0,-4293.0,1
1.6449318964285028e+18,4457.0,-4759.0,-4501.0,1
1.6449318964748708e+18,4363.0,-4643.0,-4460.0,1
1.6449318965242634e+18,4307.0,-4812.0,-4347.0,1
1.6449318965734044e+18,4320.0,-4906.0,-4415.0,1
1.6449318966260086e+18,4364.0,-5007.0,-4394.0,1
1.6449318966767798e+18,4215.0,-5077.0,-4458.0,1
1.6449318967294986e+18,4182.0,-5019.0,-4575.0,1
1.6449318967744195e+18,4181.0,-5016.0,-4674.0,1
1.6449318968246464e+18,4182.0,-4998.0,-4748.0,1
1.6449318968779702e+18,4177.0,-5030.0,-4860.0,1
1.6449318969209915e+18,4172.0,-4993.0,-4787.0,1
1.64493189698149e+18,4242.0,-4941.0,-4853.0,1
1.6449318970295675e+18,4144.0,-4928.0,-4878.0,1
1.644931897080982e+18,4060.0,-4981.0,-4972.0,1
1.6449318971269632e+18,3947.0,-4955.0,-4866.0,1
1.6449318971776118e+18,3956.0,-4929.0,-4805.0,1
1.6449318972277668e+18,4013.0,-4899.0,-4775.0,1
1.6449318972772165e+18,4040.0,-4918.0,-4812.0,1
1.6449318973275848e+18,4101.0,-4831.0,-4904.0,1
1.6449318973776673e+18,4161.0,-4768.0,-5029.0,1
1.6449318974274337e+18,4122.0,-4794.0,-5050.0,1
1.6449318974765517e+18,4091.0,-4837.0,-4947.0,1
1.6449318975213878e+18,4066.0,-4850.0,-4919.0,1
1.6449318975759163e+18,4043.0,-4800.0,-4868.0,1
1.6449318976266765e+18,4052.0,-4799.0,-4924.0,1
1.644931897681002e+18,4042.0,-4815.0,-4876.0,1
1.64493189772975e+18,4127.0,-4802.0,-4927.0,1
1.644931897781906e+18,4240.0,-4796.0,-4937.0,1
1.6449318978261852e+18,4297.0,-4782.0,-4952.0,1
1.644931897880798e+18,4203.0,-4700.0,-4857.0,1
1.6449318979274268e+18,4105.0,-4761.0,-4949.0,1
1.6449318979767322e+18,4074.0,-4707.0,-5312.0,1
1.6449318980255053e+18,4007.0,-4859.0,-5630.0,1
1.6449318980767585e+18,4201.0,-4277.0,-5456.0,1
1.6449318981264527e+18,4550.0,-4375.0,-4935.0,1
1.6449318981762655e+18,4992.0,-4760.0,-4011.0,1
1.6449318982120748e+18,5549.0,-4532.0,-3177.0,1
1.6449318982781501e+18,5857.0,-4377.0,-2016.0,1
1.6449318983279654e+18,5667.0,-4107.0,-2424.0,1
1.644931898377394e+18,4905.0,-4073.0,-2963.0,1
1.6449318984252465e+18,5208.0,-4135.0,-4060.0,1
1.6449318984782664e+18,4779.0,-3849.0,-4164.0,1
1.644931898530712e+18,5300.0,-3275.0,-5313.0,1
1.6449318985782044e+18,5494.0,-3038.0,-5571.0,1
1.6449318986302336e+18,5458.0,-3215.0,-5317.0,1
1.6449318986831534e+18,5470.0,-3188.0,-5110.0,1
1.6449318987306348e+18,5372.0,-3064.0,-5231.0,1
1.6449318987759496e+18,5237.0,-3183.0,-5410.0,1
1.644931898829076e+18,5033.0,-3482.0,-5282.0,1
1.644931898876284e+18,4909.0,-3578.0,-5275.0,1
1.644931898932993e+18,4856.0,-3630.0,-5431.0,1
1.6449318989809027e+18,4937.0,-3529.0,-5385.0,1
1.6449318990296108e+18,5037.0,-3541.0,-5364.0,1
1.6449318990804472e+18,5015.0,-3563.0,-5332.0,1
1.6449318991283377e+18,5006.0,-3589.0,-5268.0,1
1.6449318991752215e+18,5004.0,-3610.0,-5131.0,1
1.6449318992296824e+18,5058.0,-3630.0,-5090.0,1
1.6449318992755748e+18,5104.0,-3574.0,-5088.0,1
1.644931899328561e+18,5175.0,-3712.0,-5136.0,1
1.644931899374893e+18,5579.0,-3957.0,-5246.0,1
1.6449318994331192e+18,5240.0,-3737.0,-5114.0,1
1.64493189947927e+18,4641.0,-3319.0,-5638.0,1
1.6449318995305585e+18,4455.0,-3036.0,-5278.0,1
1.6449318995797501e+18,4442.0,-2820.0,-4863.0,1
1.644931899627997e+18,4707.0,-2961.0,-4792.0,1
1.6449318996796588e+18,5074.0,-2876.0,-4818.0,1
1.6449318997317028e+18,5446.0,-3234.0,-4465.0,1
1.6449318997780477e+18,5756.0,-3345.0,-4421.0,1
1.6449318998293545e+18,5772.0,-3432.0,-4295.0,1
1.6449318998780613e+18,6033.0,-3167.0,-5423.0,1
1.644931899929127e+18,5255.0,-2958.0,-4746.0,1
1.6449318999777738e+18,5010.0,-3204.0,-4775.0,1
1.6449319000288077e+18,4878.0,-3151.0,-5190.0,1
1.644931900077563e+18,5134.0,-3003.0,-5591.0,1
1.6449319001292283e+18,5159.0,-3092.0,-5347.0,1
1.6449319001823493e+18,5289.0,-3180.0,-5316.0,1
1.6449319002287112e+18,5209.0,-3223.0,-5285.0,1
1.6449319002826358e+18,5275.0,-3136.0,-5260.0,1
1.6449319003294584e+18,5322.0,-2981.0,-5271.0,1
1.6449319003830856e+18,5383.0,-2903.0,-5182.0,1
1.644931900429885e+18,5330.0,-2899.0,-5233.0,1
1.6449319004785528e+18,5338.0,-2862.0,-5156.0,1
1.6449319005284805e+18,5460.0,-2970.0,-4967.0,1
1.644931900583529e+18,5802.0,-3062.0,-4891.0,1
1.6449319006294287e+18,5965.0,-3266.0,-4803.0,1
1.6449319006831416e+18,5978.0,-3339.0,-5428.0,1
1.6449319007310825e+18,5418.0,-3206.0,-5353.0,1
1.644931900781462e+18,4529.0,-3060.0,-5831.0,1
1.6449319008321298e+18,3950.0,-3026.0,-5842.0,1
1.6449319008828e+18,3952.0,-2567.0,-5202.0,1
1.6449319009295977e+18,4583.0,-2749.0,-4733.0,1
1.6449319009782659e+18,5181.0,-2852.0,-4534.0,1
1.6449319010291837e+18,5720.0,-3081.0,-4908.0,1
1.6449319010829985e+18,5837.0,-3239.0,-5638.0,1
1.644931901123136e+18,5600.0,-3073.0,-4973.0,1
1.6449319011809457e+18,5347.0,-3273.0,-4643.0,1
1.6449319012274865e+18,5136.0,-3193.0,-5318.0,1
1.644931901281655e+18,5084.0,-3683.0,-5164.0,1
1.644931901333279e+18,5585.0,-3468.0,-4844.0,1
1.6449319013815547e+18,5683.0,-3173.0,-4761.0,1
