timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, HANDOVER_RIGHT
1.6449324273378186e+18,176.0,-8947.0,3462.0,1
1.644932427393061e+18,-777.0,-8598.0,2906.0,1
1.6449324274387405e+18,-687.0,-7803.0,1809.0,1
1.6449324274895918e+18,-753.0,-8151.0,411.0,1
1.6449324275320648e+18,-707.0,-7667.0,562.0,1
1.6449324275748795e+18,-788.0,-7631.0,653.0,1
1.6449324276270656e+18,-865.0,-7598.0,738.0,1
1.6449324276817485e+18,-937.0,-7564.0,801.0,1
1.6449324277681743e+18,-1006.0,-7512.0,829.0,1
1.6449324277920494e+18,-1128.0,-7321.0,797.0,1
1.6449324278416934e+18,782.0,-8691.0,1548.0,1
1.6449324278907507e+18,564.0,-7875.0,1675.0,1
1.64493242793871e+18,985.0,-7459.0,1506.0,1
1.6449324279940652e+18,1429.0,-7439.0,1159.0,1
1.6449324280393075e+18,1627.0,-7682.0,1156.0,1
1.6449324280891863e+18,1813.0,-8021.0,1083.0,1
1.6449324281379295e+18,1839.0,-8338.0,904.0,1
1.6449324281918354e+18,1478.0,-8395.0,915.0,1
1.6449324282418038e+18,1260.0,-8068.0,915.0,1
1.6449324282915566e+18,1180.0,-8156.0,1166.0,1
1.6449324283381642e+18,1298.0,-8085.0,1016.0,1
1.644932428392645e+18,1543.0,-7972.0,963.0,1
1.6449324284365614e+18,1661.0,-7807.0,507.0,1
1.6449324284945536e+18,1761.0,-8383.0,942.0,1
1.644932428537835e+18,1728.0,-7636.0,769.0,1
1.6449324285929777e+18,1578.0,-7723.0,1148.0,1
1.6449324286393213e+18,1463.0,-7940.0,1299.0,1
1.6449324286930179e+18,1254.0,-7786.0,1198.0,1
1.6449324287411832e+18,1293.0,-7682.0,1142.0,1
1.6449324287911864e+18,1455.0,-7860.0,955.0,1
1.6449324288414723e+18,1490.0,-7766.0,971.0,1
1.6449324288921167e+18,1412.0,-8108.0,1041.0,1
1.6449324289421893e+18,1504.0,-8444.0,1037.0,1
1.6449324289928038e+18,1560.0,-7980.0,1151.0,1
1.6449324290412275e+18,1777.0,-7953.0,958.0,1
1.6449324290935245e+18,1908.0,-7414.0,1021.0,1
1.644932429147298e+18,1601.0,-7166.0,1419.0,1
1.6449324291934164e+18,1136.0,-7431.0,2266.0,1
1.6449324292453404e+18,260.0,-6984.0,3388.0,1
1.6449324292923935e+18,51.0,-7373.0,4318.0,1
1.6449324293432468e+18,-370.0,-6327.0,5234.0,1
1.6449324293923382e+18,-635.0,-6400.0,5792.0,1
1.644932429443871e+18,-440.0,-7052.0,5284.0,1
1.6449324294921892e+18,-419.0,-7414.0,5158.0,1
1.6449324295410138e+18,-87.0,-6931.0,5043.0,1
1.6449324295935524e+18,-103.0,-7109.0,4676.0,1
1.6449324296409948e+18,-68.0,-6952.0,4613.0,1
1.6449324296853642e+18,-123.0,-6962.0,4568.0,1
1.644932429745199e+18,-227.0,-6964.0,4667.0,1
1.64493242979267e+18,-242.0,-6682.0,4758.0,1
1.6449324298422218e+18,-773.0,-6930.0,4982.0,1
1.6449324298899098e+18,-761.0,-6127.0,5082.0,1
1.6449324299417106e+18,-660.0,-6780.0,4913.0,1
1.6449324299930941e+18,-794.0,-7203.0,5109.0,1
1.6449324300421036e+18,-797.0,-6733.0,4507.0,1
1.644932430090084e+18,-955.0,-6805.0,4868.0,1
1.644932430142963e+18,-994.0,-6781.0,4528.0,1
1.644932430190954e+18,-905.0,-6418.0,4574.0,1
1.644932430245417e+18,-846.0,-6892.0,4614.0,1
1.6449324302913992e+18,-798.0,-6890.0,5004.0,1
1.6449324303424404e+18,-602.0,-6769.0,5126.0,1
1.644932430394775e+18,-542.0,-6540.0,4981.0,1
1.6449324304411041e+18,-467.0,-6415.0,5119.0,1
1.6449324304946414e+18,-563.0,-6343.0,5256.0,1
1.6449324305464028e+18,-308.0,-7040.0,5073.0,1
1.6449324305951598e+18,-646.0,-6434.0,4959.0,1
1.6449324306409505e+18,-883.0,-6478.0,4764.0,1
1.644932430696571e+18,-627.0,-7190.0,4803.0,1
1.644932430747069e+18,-724.0,-7180.0,4917.0,1
1.6449324307965015e+18,-1076.0,-6440.0,4777.0,1
1.6449324308455985e+18,-1153.0,-6417.0,4457.0,1
1.644932430896081e+18,-1239.0,-6588.0,5094.0,1
1.6449324309450944e+18,-1415.0,-6455.0,4996.0,1
1.644932430995497e+18,-878.0,-7352.0,4663.0,1
1.644932431044315e+18,-1086.0,-6876.0,5046.0,1
1.6449324310950162e+18,-1639.0,-6482.0,4676.0,1
1.6449324311434662e+18,-2064.0,-6514.0,5161.0,1
1.6449324311941453e+18,-2035.0,-6243.0,5465.0,1
1.644932431244303e+18,-1492.0,-6592.0,5666.0,1
1.6449324312957576e+18,-1557.0,-7223.0,5463.0,1
