timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, PICKUP_RIGHT
1.6449319480847997e+18,-3710.0,-5997.0,3878.0,1
1.6449319481395768e+18,-3603.0,-6156.0,3913.0,1
1.6449319481922378e+18,-3338.0,-6611.0,3357.0,1
1.6449319482405466e+18,-2986.0,-6702.0,2819.0,1
1.6449319482925627e+18,-2925.0,-6904.0,2535.0,1
1.6449319483374246e+18,-2955.0,-6909.0,2495.0,1
1.6449319483885135e+18,-3135.0,-6882.0,2408.0,1
1.644931948441581e+18,-3527.0,-6849.0,2194.0,1
1.644931948492176e+18,-3072.0,-7440.0,2105.0,1
1.6449319485443195e+18,-2759.0,-7760.0,1791.0,1
1.6449319485910172e+18,-2247.0,-8180.0,693.0,1
1.644931948643599e+18,-1724.0,-7683.0,-755.0,1
1.6449319486916867e+18,-851.0,-7693.0,-3065.0,1
1.6449319487430118e+18,-1384.0,-6922.0,-4726.0,1
1.6449319488072481e+18,-1886.0,-6924.0,-5261.0,1
1.6449319488704202e+18,-2030.0,-6810.0,-5341.0,1
1.6449319488704202e+18,-2030.0,-6810.0,-5341.0,1
1.644931948941092e+18,-3173.0,-5901.0,-5667.0,1
1.644931948986717e+18,-1236.0,-6916.0,-5551.0,1
