timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.6449326406049265e+18,-7222.0,4356.0,-1730.0,1
1.6449326406596954e+18,-7564.0,3479.0,-1024.0,1
1.6449326407050683e+18,-8062.0,3208.0,-1632.0,1
1.6449326407570284e+18,-8501.0,3528.0,-2480.0,1
1.644932640807852e+18,-7710.0,3619.0,-2439.0,1
1.6449326408593782e+18,-8270.0,4230.0,-2298.0,1
1.6449326409104428e+18,-8108.0,3276.0,-1822.0,1
1.6449326409595238e+18,-5907.0,2575.0,-999.0,1
1.6449326410052964e+18,-5036.0,2713.0,-833.0,1
1.644932641058263e+18,-6226.0,4189.0,-1500.0,1
1.6449326411090652e+18,-6801.0,4125.0,-1842.0,1
1.6449326411658063e+18,-8618.0,4084.0,-2752.0,1
1.64493264120777e+18,-6169.0,2098.0,-3759.0,1
1.6449326412593802e+18,-8768.0,1563.0,-3163.0,1
1.6449326413101827e+18,-7151.0,1262.0,-5001.0,1
1.6449326413595146e+18,-5452.0,777.0,-7465.0,1
1.644932641414457e+18,-5553.0,-524.0,-7829.0,1
1.644932641455533e+18,-3711.0,-2066.0,-6879.0,1
1.644932641506059e+18,-3272.0,172.0,-5378.0,1
1.644932641560701e+18,-4152.0,-54.0,-4004.0,1
1.6449326416060887e+18,-5517.0,528.0,-3327.0,1
1.6449326416590764e+18,-7881.0,1176.0,-2629.0,1
1.6449326417085875e+18,-8768.0,2016.0,-1389.0,1
1.6449326417600986e+18,-8087.0,1925.0,-1459.0,1
1.6449326418066803e+18,-9442.0,1858.0,-1683.0,1
1.644932641860925e+18,-8425.0,3192.0,64.0,1
1.64493264190995e+18,-7604.0,3064.0,-282.0,1
1.644932641959707e+18,-8972.0,3088.0,-1168.0,1
1.6449326420119265e+18,-9929.0,2351.0,-1311.0,1
1.6449326420600955e+18,-9765.0,2846.0,-1158.0,1
1.6449326420975035e+18,-9915.0,3002.0,-558.0,1
1.6449326421772047e+18,-9912.0,2945.0,-551.0,1
1.644932642211007e+18,-10099.0,2688.0,-359.0,1
1.6449326422576207e+18,-8573.0,1328.0,-492.0,1
1.644932642311443e+18,-7356.0,1279.0,155.0,1
1.6449326423620654e+18,-6641.0,2552.0,109.0,1
1.6449326424120036e+18,-7092.0,2839.0,-140.0,1
