timestamp,a_right_backPose,b_right_backPose,c_right_backPose, IDLE
1.6449324188803333e+18,2717.0,5168.0,5901.0,1
1.6449324189287012e+18,2627.0,5099.0,5847.0,1
1.6449324189810214e+18,2643.0,5069.0,5904.0,1
1.6449324190286564e+18,2723.0,5133.0,6046.0,1
1.6449324190809436e+18,2694.0,5017.0,5961.0,1
1.644932419128913e+18,2615.0,5030.0,6024.0,1
1.6449324191758723e+18,2596.0,5026.0,6071.0,1
1.64493241922954e+18,2546.0,5022.0,6150.0,1
1.644932419277882e+18,2509.0,5012.0,6163.0,1
1.6449324193333775e+18,2461.0,4954.0,6203.0,1
1.6449324193804598e+18,2395.0,4844.0,6186.0,1
1.6449324194297267e+18,2380.0,4705.0,6196.0,1
1.6449324194780475e+18,2441.0,4665.0,6377.0,1
1.644932419529982e+18,2482.0,4635.0,6465.0,1
1.644932419578493e+18,2478.0,4581.0,6548.0,1
1.6449324196313285e+18,2420.0,4599.0,6552.0,1
1.6449324196788572e+18,2521.0,4616.0,6574.0,1
1.6449324197303683e+18,2489.0,4638.0,6615.0,1
1.6449324197798134e+18,2397.0,4712.0,6522.0,1
1.6449324198289533e+18,2396.0,4768.0,6346.0,1
1.64493241987954e+18,2543.0,4762.0,6359.0,1
1.644932419933537e+18,2509.0,4834.0,6257.0,1
1.6449324199780467e+18,2472.0,4862.0,6165.0,1
1.644932420033926e+18,2490.0,4895.0,6140.0,1
1.644932420078244e+18,2473.0,4929.0,6146.0,1
1.6449324201298102e+18,2474.0,4965.0,6178.0,1
1.6449324201802964e+18,2464.0,4963.0,6158.0,1
1.6449324202303245e+18,2521.0,4904.0,6181.0,1
1.6449324202795036e+18,2619.0,4866.0,6179.0,1
1.6449324203301005e+18,2497.0,4818.0,6213.0,1
1.6449324203796608e+18,2441.0,4801.0,6251.0,1
1.644932420429315e+18,2472.0,4821.0,6241.0,1
1.644932420478567e+18,2502.0,4872.0,6258.0,1
1.64493242053156e+18,2420.0,4852.0,6224.0,1
1.6449324205821071e+18,2349.0,4794.0,6323.0,1
1.6449324206309e+18,2381.0,4794.0,6300.0,1
1.6449324206851348e+18,2432.0,4892.0,6283.0,1
1.6449324207302408e+18,2389.0,4900.0,6400.0,1
1.644932420778469e+18,2410.0,4945.0,6306.0,1
1.6449324208312246e+18,2477.0,5002.0,6338.0,1
1.6449324208852541e+18,2434.0,5076.0,6372.0,1
1.6449324209326802e+18,2376.0,5084.0,6103.0,1
1.6449324209846162e+18,2328.0,5140.0,6019.0,1
1.6449324210327588e+18,2327.0,5164.0,5964.0,1
1.6449324210851113e+18,2366.0,5126.0,5946.0,1
1.6449324211345915e+18,2414.0,5182.0,5947.0,1
1.6449324211854543e+18,2427.0,5124.0,5984.0,1
1.6449324212339917e+18,2367.0,5131.0,6001.0,1
1.6449324212847235e+18,2395.0,5036.0,5949.0,1
1.6449324213257818e+18,2473.0,5301.0,6227.0,1
1.6449324213788495e+18,2410.0,5249.0,5953.0,1
1.644932421428216e+18,2232.0,5277.0,6160.0,1
1.6449324214838556e+18,2538.0,4977.0,5801.0,1
1.6449324215308605e+18,1904.0,5202.0,6358.0,1
1.6449324215849188e+18,2083.0,5514.0,6045.0,1
1.6449324216304655e+18,2468.0,4897.0,5972.0,1
1.6449324216851471e+18,2675.0,4795.0,5989.0,1
1.644932421730975e+18,2682.0,5129.0,6063.0,1
1.6449324217855086e+18,2505.0,5221.0,6028.0,1
1.6449324218300956e+18,2361.0,5201.0,5978.0,1
1.6449324218848136e+18,2510.0,5146.0,5926.0,1
