timestamp,a_right_backPose,b_right_backPose,c_right_backPose, PICKUP_LEFT
1.64493190583457e+18,-2710.0,-1513.0,-8048.0,1
1.644931905884944e+18,-2403.0,-1545.0,-7941.0,1
1.6449319059350848e+18,-2982.0,-799.0,-7878.0,1
1.644931905988746e+18,-2607.0,-717.0,-7443.0,1
1.6449319060377426e+18,-2353.0,-1125.0,-7876.0,1
1.6449319060834552e+18,-2131.0,-1225.0,-8154.0,1
1.6449319061385526e+18,-2814.0,-1915.0,-7721.0,1
1.6449319061836808e+18,-3276.0,-1386.0,-7750.0,1
1.644931906238837e+18,-2416.0,-1147.0,-7912.0,1
1.644931906284003e+18,-2387.0,-948.0,-7951.0,1
1.6449319063349496e+18,-1934.0,-952.0,-8816.0,1
1.6449319063875346e+18,-2201.0,-952.0,-8581.0,1
1.6449319064383183e+18,-3872.0,-1290.0,-8469.0,1
1.6449319064838057e+18,-5904.0,-866.0,-7807.0,1
1.6449319065362237e+18,-7736.0,-375.0,-6861.0,1
1.6449319065897636e+18,-7536.0,-804.0,-5158.0,1
1.6449319066400806e+18,-7391.0,-599.0,-4005.0,1
1.6449319066912591e+18,-7503.0,-840.0,-2640.0,1
1.6449319067394222e+18,-7355.0,-1385.0,-1959.0,1
1.6449319067902523e+18,-7093.0,-2050.0,-1807.0,1
1.6449319068360786e+18,-6890.0,-2389.0,-1917.0,1
1.6449319068878392e+18,-6574.0,-2702.0,-2571.0,1
1.644931906901967e+18,-6605.0,-2733.0,-2674.0,1
1.6449319070483139e+18,-6600.0,-2759.0,-2706.0,1
1.6449319070483139e+18,-6600.0,-2759.0,-2706.0,1
1.6449319070953336e+18,-6586.0,-2771.0,-2719.0,1
1.644931907144427e+18,-6571.0,-2782.0,-2743.0,1
1.644931907144427e+18,-6571.0,-2782.0,-2743.0,1
1.644931907312149e+18,-6573.0,-2825.0,-2753.0,1
1.644931907312149e+18,-6573.0,-2825.0,-2753.0,1
1.644931907312149e+18,-6573.0,-2825.0,-2753.0,1
1.6449319073637686e+18,-6604.0,-2869.0,-2746.0,1
1.6449319074617933e+18,-6629.0,-2907.0,-2735.0,1
1.6449319586977436e+18,-4752.0,3316.0,-6636.0,1
1.644931958754098e+18,-4794.0,2546.0,-5306.0,1
1.644931958800972e+18,-5064.0,2203.0,-5000.0,1
1.644931958854128e+18,-4896.0,1278.0,-4758.0,1
1.6449319588736364e+18,-5133.0,828.0,-4778.0,1
1.6449319589527378e+18,-5123.0,748.0,-4832.0,1
1.644931959027462e+18,-5142.0,681.0,-4892.0,1
1.644931959052472e+18,-6674.0,1356.0,-5629.0,1
1.6449319591013256e+18,-6835.0,1819.0,-5405.0,1
1.6449319591540739e+18,-7119.0,1587.0,-4721.0,1
1.6449319592007442e+18,-7692.0,852.0,-4397.0,1
1.6449319592580472e+18,-7831.0,490.0,-4932.0,1
1.6449319593027244e+18,-9093.0,-430.0,-4431.0,1
1.6449319593549937e+18,-8904.0,-1467.0,-4408.0,1
1.6449319593999785e+18,-7168.0,-1814.0,-4204.0,1
1.6449319594555889e+18,-5403.0,-3209.0,-3233.0,1
1.644931959502334e+18,-4744.0,-2944.0,-3101.0,1
1.644931959555441e+18,-4494.0,-2841.0,-3243.0,1
1.6449320296428948e+18,-3728.0,2251.0,-7171.0,1
1.6449320296922852e+18,-3925.0,2339.0,-7039.0,1
1.6449320297441546e+18,-4144.0,2348.0,-6855.0,1
1.6449320297887736e+18,-4293.0,2336.0,-6755.0,1
1.644932029843074e+18,-4522.0,2308.0,-6658.0,1
1.644932029890868e+18,-4636.0,2257.0,-6583.0,1
1.6449320299415698e+18,-4833.0,2221.0,-6490.0,1
1.6449320299920635e+18,-4940.0,2103.0,-6405.0,1
1.6449320300400276e+18,-4921.0,2084.0,-6385.0,1
1.6449320300936947e+18,-4898.0,2023.0,-6280.0,1
1.644932030142181e+18,-4945.0,1991.0,-6262.0,1
1.6449320301931077e+18,-4862.0,2040.0,-6350.0,1
1.644932030242142e+18,-4790.0,2119.0,-6401.0,1
1.6449320302932483e+18,-4701.0,2164.0,-6497.0,1
1.6449320303435958e+18,-4689.0,2014.0,-6420.0,1
1.644932030394142e+18,-4632.0,1903.0,-6439.0,1
1.6449320304438748e+18,-4709.0,1953.0,-6545.0,1
1.6449320304947425e+18,-4671.0,1943.0,-6660.0,1
1.6449320305440596e+18,-4859.0,2018.0,-6756.0,1
1.644932030591897e+18,-5228.0,2034.0,-7211.0,1
1.6449320306426806e+18,-6114.0,2321.0,-8271.0,1
1.6449320306929155e+18,-7462.0,1490.0,-8439.0,1
1.6449320307416143e+18,-8118.0,-868.0,-6988.0,1
1.644932030792795e+18,-7094.0,-2781.0,-5389.0,1
1.644932030839524e+18,-5084.0,-4069.0,-4133.0,1
1.644932030895289e+18,-2212.0,-4921.0,-2884.0,1
1.6449320309440412e+18,-1003.0,-5135.0,-3361.0,1
1.6449320309946432e+18,-62.0,-5521.0,-3608.0,1
1.6449320310435057e+18,-247.0,-6019.0,-4149.0,1
1.6449320310953876e+18,-467.0,-6342.0,-4432.0,1
1.644932031138787e+18,-518.0,-6755.0,-4172.0,1
