timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_LEFT
1.6449324473146348e+18,-231.0,7473.0,3360.0,1
1.6449324473650865e+18,-441.0,7740.0,3773.0,1
1.6449324474141468e+18,-435.0,7546.0,3520.0,1
1.6449324474644196e+18,-257.0,7612.0,3604.0,1
1.6449324475133402e+18,-271.0,7476.0,3510.0,1
1.6449324475649037e+18,-327.0,7611.0,3433.0,1
1.6449324476168102e+18,-435.0,7664.0,3531.0,1
1.6449324476650634e+18,-377.0,7570.0,3447.0,1
1.6449324477184893e+18,-399.0,7593.0,3524.0,1
1.644932447765729e+18,-301.0,7606.0,3535.0,1
1.644932447814631e+18,-353.0,7663.0,3464.0,1
1.6449324478613665e+18,-305.0,7689.0,3366.0,1
1.6449324479153674e+18,-303.0,7643.0,3371.0,1
1.6449324479682276e+18,-438.0,7693.0,3438.0,1
1.644932448017093e+18,-459.0,7555.0,3474.0,1
1.6449324480695718e+18,-176.0,7749.0,3383.0,1
1.644932448114049e+18,-306.0,7704.0,3458.0,1
1.6449324481662026e+18,-306.0,7667.0,3379.0,1
1.6449324482151355e+18,-719.0,7554.0,3498.0,1
1.6449324482701425e+18,-6.0,7759.0,3381.0,1
1.6449324483154063e+18,2.0,7773.0,3126.0,1
1.6449324483661583e+18,-235.0,7760.0,3367.0,1
1.6449324484132782e+18,-352.0,7637.0,3372.0,1
1.6449324484592865e+18,-391.0,7624.0,3566.0,1
1.6449324485141105e+18,-220.0,7741.0,3414.0,1
1.644932448567881e+18,-154.0,7645.0,3308.0,1
1.6449324486154532e+18,-275.0,7626.0,3437.0,1
1.6449324486643392e+18,-111.0,7773.0,3338.0,1
1.6449324487141256e+18,-166.0,7684.0,3310.0,1
1.6449324487649126e+18,-183.0,7707.0,3430.0,1
1.644932448814587e+18,-184.0,7683.0,3321.0,1
1.6449324488669366e+18,-245.0,7653.0,3476.0,1
1.644932448913642e+18,-54.0,7820.0,3287.0,1
1.6449324489692052e+18,-147.0,7688.0,3314.0,1
1.644932449014819e+18,-222.0,7703.0,3262.0,1
1.644932449069087e+18,-199.0,7654.0,3361.0,1
1.6449324491134185e+18,-142.0,7685.0,3353.0,1
1.6449324491686774e+18,-237.0,7694.0,3416.0,1
1.644932449213257e+18,-142.0,7779.0,3388.0,1
1.6449324492686738e+18,-225.0,7668.0,3279.0,1
1.644932449315284e+18,-256.0,7713.0,3259.0,1
1.6449324493695631e+18,-174.0,7697.0,3343.0,1
1.6449324494149985e+18,-221.0,7687.0,3232.0,1
1.6449324494689452e+18,-287.0,7758.0,3430.0,1
1.6449324495158538e+18,-263.0,7736.0,3285.0,1
1.6449324495531584e+18,-276.0,7779.0,3302.0,1
1.6449324496163244e+18,-197.0,7763.0,3323.0,1
1.6449324496653066e+18,-250.0,7675.0,3252.0,1
1.6449324497206326e+18,-346.0,7715.0,3410.0,1
1.644932449768002e+18,-203.0,7709.0,3235.0,1
1.644932449819579e+18,-351.0,7646.0,3394.0,1
1.6449324498727465e+18,-340.0,7765.0,3152.0,1
1.644932449920877e+18,-163.0,7758.0,3220.0,1
1.6449324499691105e+18,-275.0,7739.0,3322.0,1
1.6449324500207524e+18,-490.0,7677.0,3423.0,1
1.644932450068773e+18,-352.0,7655.0,3364.0,1
1.6449324501195146e+18,-175.0,7715.0,3162.0,1
1.6449324501698772e+18,-358.0,7669.0,3278.0,1
1.64493245022087e+18,-243.0,7817.0,2927.0,1
1.644932450265074e+18,312.0,8129.0,3106.0,1
1.6449324503201354e+18,-2088.0,7907.0,4459.0,1
1.6449324503688579e+18,-287.0,7641.0,3004.0,1
1.644932450420688e+18,431.0,7002.0,2714.0,1
1.6449324504689935e+18,-1117.0,8358.0,3370.0,1
1.644932450513849e+18,-1176.0,7596.0,4186.0,1
1.6449324505651658e+18,-1191.0,6863.0,3903.0,1
1.6449324506179295e+18,-894.0,7802.0,3590.0,1
1.64493245066509e+18,-150.0,7544.0,3654.0,1
1.6449324507193856e+18,-373.0,8502.0,4349.0,1
1.644932450768358e+18,-410.0,7888.0,5434.0,1
1.6449324508215094e+18,-50.0,7082.0,4901.0,1
1.6449324773041958e+18,-1504.0,4593.0,6662.0,1
1.6449324773535962e+18,-1641.0,4482.0,6771.0,1
1.6449324774045957e+18,-1556.0,4682.0,6560.0,1
1.6449324774516262e+18,-1458.0,4569.0,6683.0,1
1.644932477502316e+18,-1508.0,4624.0,6682.0,1
1.6449324775507835e+18,-1485.0,4659.0,6590.0,1
1.644932477598892e+18,-1407.0,4695.0,6650.0,1
1.6449324776492654e+18,-1408.0,4573.0,6659.0,1
1.6449324777042e+18,-1678.0,4541.0,6727.0,1
1.6449324777490604e+18,-1532.0,4524.0,6559.0,1
1.644932477802064e+18,-1239.0,5004.0,6438.0,1
