timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, SCREW_RIGHT
1.6449323439788948e+18,-455.0,9214.0,1441.0,1
1.644932344037055e+18,-575.0,7044.0,1685.0,1
1.644932344079779e+18,-637.0,6839.0,1417.0,1
1.6449323441351427e+18,-723.0,8298.0,2546.0,1
1.6449323441828623e+18,255.0,9025.0,999.0,1
1.6449323442344026e+18,1476.0,8507.0,896.0,1
1.6449323442879534e+18,299.0,8506.0,1446.0,1
1.6449323443384223e+18,1153.0,7723.0,1583.0,1
1.6449323443613604e+18,285.0,6945.0,3200.0,1
1.644932344424265e+18,212.0,6874.0,3427.0,1
1.6449323444955036e+18,192.0,6890.0,3432.0,1
1.6449323445434002e+18,225.0,6994.0,3211.0,1
1.6449323445774328e+18,270.0,7158.0,2955.0,1
1.6449323446606868e+18,315.0,7380.0,2702.0,1
1.6449323446606868e+18,315.0,7380.0,2702.0,1
1.644932344793945e+18,337.0,7665.0,2372.0,1
1.644932344793945e+18,337.0,7665.0,2372.0,1
1.644932344839077e+18,369.0,8108.0,1624.0,1
1.6449323448949169e+18,293.0,7704.0,578.0,1
1.6449323449352955e+18,2209.0,9325.0,664.0,1
1.6449323449910326e+18,-688.0,7532.0,2695.0,1
1.6449323450346435e+18,266.0,7298.0,1841.0,1
1.6449323450894559e+18,730.0,9321.0,2243.0,1
1.644932345132754e+18,-747.0,7258.0,3722.0,1
1.6449323451948567e+18,-587.0,8967.0,1054.0,1
1.6449323452253156e+18,-1170.0,8241.0,1.0,1
1.6449323453122655e+18,-1226.0,8036.0,64.0,1
1.6449323453347087e+18,-1276.0,6834.0,2075.0,1
1.644932345384841e+18,873.0,10116.0,678.0,1
1.6449323454364703e+18,1971.0,9271.0,303.0,1
1.6449323454895122e+18,1120.0,8350.0,1622.0,1
1.6449323455357583e+18,591.0,8353.0,2112.0,1
1.6449323455844477e+18,-238.0,8127.0,2014.0,1
1.6449323456354363e+18,71.0,8229.0,2060.0,1
1.6449323456902336e+18,311.0,7411.0,1774.0,1
1.6449323457357699e+18,93.0,8157.0,454.0,1
1.6449323457857298e+18,437.0,8845.0,1409.0,1
1.6449323458333962e+18,252.0,8369.0,2246.0,1
1.6449323458901059e+18,-80.0,8155.0,316.0,1
1.64493234594086e+18,-1081.0,7892.0,255.0,1
1.6449323459898427e+18,-788.0,7721.0,327.0,1
1.6449323460392817e+18,424.0,8325.0,959.0,1
1.6449323460974403e+18,1793.0,10027.0,417.0,1
1.6449323461411633e+18,2149.0,7316.0,1640.0,1
1.644932346185497e+18,1172.0,7696.0,4504.0,1
1.6449323462408717e+18,-817.0,8601.0,4114.0,1
1.6449323462900541e+18,-204.0,6612.0,3796.0,1
1.6449323463463514e+18,1200.0,5825.0,2707.0,1
1.6449323463924895e+18,1263.0,5569.0,2993.0,1
1.6449323464409116e+18,751.0,5387.0,4632.0,1
1.644932346513023e+18,178.0,6091.0,5535.0,1
