timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, ASSEMBLY1_BIMANUAL
1.645022951903465e+18,frame_583.jpeg,7771.0,324.0,1272.0,1
1.6450229519545705e+18,frame_584.jpeg,7700.0,175.0,1025.0,1
1.6450229520030093e+18,frame_585.jpeg,7827.0,488.0,1040.0,1
1.6450229520548577e+18,frame_586.jpeg,8112.0,526.0,1489.0,1
1.64502295210477e+18,frame_587.jpeg,8247.0,710.0,2021.0,1
1.6450229521507628e+18,frame_588.jpeg,8030.0,449.0,2056.0,1
1.645022952203007e+18,frame_589.jpeg,8100.0,423.0,2049.0,1
1.6450229522507382e+18,frame_590.jpeg,8307.0,594.0,1702.0,1
1.645022952302753e+18,frame_591.jpeg,7707.0,729.0,1326.0,1
1.645022952353734e+18,frame_592.jpeg,8051.0,703.0,1526.0,1
1.6450229524039895e+18,frame_593.jpeg,7804.0,625.0,1421.0,1
1.6450229524530245e+18,frame_594.jpeg,7933.0,547.0,1337.0,1
1.6450229525033257e+18,frame_595.jpeg,8050.0,623.0,1304.0,1
1.645022952553811e+18,frame_596.jpeg,7850.0,595.0,1347.0,1
1.6450229526023163e+18,frame_597.jpeg,7986.0,545.0,1321.0,1
1.6450229526541023e+18,frame_598.jpeg,8343.0,542.0,1430.0,1
1.6450229527038313e+18,frame_599.jpeg,7711.0,599.0,953.0,1
1.645022952752123e+18,frame_600.jpeg,8013.0,631.0,1192.0,1
1.645022952801237e+18,frame_601.jpeg,8138.0,598.0,937.0,1
1.645022952852088e+18,frame_602.jpeg,8484.0,649.0,713.0,1
1.6450229529030464e+18,frame_603.jpeg,8183.0,476.0,683.0,1
1.6450229529530609e+18,frame_604.jpeg,8060.0,566.0,706.0,1
1.645022953003675e+18,frame_605.jpeg,7936.0,455.0,586.0,1
1.6450229530530941e+18,frame_606.jpeg,8313.0,410.0,324.0,1
1.6450229531033382e+18,frame_607.jpeg,7811.0,207.0,322.0,1
1.6450229531527867e+18,frame_608.jpeg,7603.0,125.0,524.0,1
1.6450229532026289e+18,frame_609.jpeg,8047.0,-364.0,506.0,1
1.6450229532533522e+18,frame_610.jpeg,9948.0,-668.0,1563.0,1
1.645022953303435e+18,frame_611.jpeg,7974.0,-758.0,828.0,1
1.6450229533519165e+18,frame_612.jpeg,6431.0,154.0,1042.0,1
1.6450229534031752e+18,frame_613.jpeg,6260.0,1219.0,3279.0,1
1.6450229534562253e+18,frame_614.jpeg,5851.0,1395.0,5263.0,1
1.645022953506776e+18,frame_615.jpeg,5284.0,983.0,6301.0,1
1.6450229535500902e+18,frame_616.jpeg,5523.0,915.0,6832.0,1
1.6450229536066734e+18,frame_617.jpeg,6143.0,586.0,6610.0,1
1.6450229536510116e+18,frame_618.jpeg,6660.0,634.0,6102.0,1
1.6450229537059512e+18,frame_619.jpeg,7620.0,402.0,4395.0,1
1.6450229537541184e+18,frame_620.jpeg,7434.0,458.0,3704.0,1
1.6450229538118193e+18,frame_621.jpeg,6838.0,233.0,3156.0,1
1.6450229538533338e+18,frame_622.jpeg,6688.0,223.0,3279.0,1
1.64502295390711e+18,frame_623.jpeg,6438.0,296.0,2544.0,1
1.6450229539549512e+18,frame_624.jpeg,6441.0,456.0,3439.0,1
1.645022954007074e+18,frame_625.jpeg,6391.0,714.0,5473.0,1
1.6450229540663296e+18,frame_626.jpeg,6413.0,764.0,5845.0,1
1.6450229540663296e+18,frame_627.jpeg,6413.0,764.0,5845.0,1
1.6450229541922168e+18,frame_628.jpeg,6420.0,824.0,6205.0,1
1.6450229541922168e+18,frame_629.jpeg,6420.0,824.0,6205.0,1
1.6450229542441452e+18,frame_630.jpeg,6285.0,839.0,6559.0,1
1.6450229542781583e+18,frame_631.jpeg,6149.0,860.0,6909.0,1
1.6450229543521818e+18,frame_632.jpeg,6085.0,933.0,7229.0,1
1.6450229544050796e+18,frame_633.jpeg,6007.0,1004.0,7503.0,1
1.645022954455745e+18,frame_634.jpeg,5862.0,1054.0,7734.0,1
1.645022954455745e+18,frame_635.jpeg,5862.0,1054.0,7734.0,1
1.6450229545688632e+18,frame_636.jpeg,5687.0,1102.0,7920.0,1
1.6450229546109732e+18,frame_637.jpeg,5503.0,1147.0,8094.0,1
1.6450229546270484e+18,frame_638.jpeg,5254.0,1155.0,8253.0,1
1.6450229547034757e+18,frame_639.jpeg,4777.0,1053.0,8574.0,1
1.6450229547491814e+18,frame_640.jpeg,3512.0,1190.0,9060.0,1
