timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, DELIVERY_RIGHT
1.645023135482142e+18,frame_4250.jpeg,1296.0,-2.0,-7895.0,1
1.6450231355337974e+18,frame_4251.jpeg,1325.0,97.0,-7898.0,1
1.6450231355775165e+18,frame_4252.jpeg,1252.0,-8.0,-7900.0,1
1.6450231356351442e+18,frame_4253.jpeg,1274.0,-32.0,-7933.0,1
1.6450231356795233e+18,frame_4254.jpeg,1314.0,-107.0,-7887.0,1
1.6450231357301107e+18,frame_4255.jpeg,1332.0,-97.0,-7895.0,1
1.6450231357789043e+18,frame_4256.jpeg,1262.0,42.0,-7911.0,1
1.6450231358334472e+18,frame_4257.jpeg,1375.0,11.0,-7879.0,1
1.6450231358841825e+18,frame_4258.jpeg,1304.0,10.0,-7927.0,1
1.6450231359332723e+18,frame_4259.jpeg,1392.0,17.0,-7874.0,1
1.645023135982418e+18,frame_4260.jpeg,1404.0,-64.0,-7890.0,1
1.645023136034279e+18,frame_4261.jpeg,1279.0,-107.0,-7907.0,1
1.6450231360818427e+18,frame_4262.jpeg,1248.0,-40.0,-7905.0,1
1.6450231361336325e+18,frame_4263.jpeg,1229.0,-64.0,-7901.0,1
1.6450231361821972e+18,frame_4264.jpeg,1340.0,-59.0,-7852.0,1
1.6450231362339433e+18,frame_4265.jpeg,1357.0,31.0,-7915.0,1
1.6450231362822167e+18,frame_4266.jpeg,1196.0,43.0,-7901.0,1
1.6450231363316936e+18,frame_4267.jpeg,1282.0,10.0,-7910.0,1
1.64502313638453e+18,frame_4268.jpeg,1314.0,-8.0,-7918.0,1
1.6450231364333906e+18,frame_4269.jpeg,1263.0,-6.0,-7909.0,1
1.6450231364855534e+18,frame_4270.jpeg,1232.0,-13.0,-7930.0,1
1.645023136535057e+18,frame_4271.jpeg,1276.0,4.0,-7900.0,1
1.6450231365878216e+18,frame_4272.jpeg,1311.0,33.0,-7902.0,1
1.6450231366338243e+18,frame_4273.jpeg,1229.0,-40.0,-7890.0,1
1.6450231366869138e+18,frame_4274.jpeg,1304.0,-45.0,-7889.0,1
1.6450231367332938e+18,frame_4275.jpeg,1245.0,-99.0,-7890.0,1
1.645023136787934e+18,frame_4276.jpeg,1303.0,-45.0,-7916.0,1
1.6450231368320973e+18,frame_4277.jpeg,1257.0,16.0,-7915.0,1
1.645023136886452e+18,frame_4278.jpeg,1334.0,-53.0,-7915.0,1
1.6450231369320704e+18,frame_4279.jpeg,1296.0,-71.0,-7913.0,1
1.6450231369826706e+18,frame_4280.jpeg,1293.0,-74.0,-7890.0,1
1.6450231370329815e+18,frame_4281.jpeg,1296.0,-42.0,-7909.0,1
1.6450231370868908e+18,frame_4282.jpeg,1341.0,13.0,-7904.0,1
1.6450231371323082e+18,frame_4283.jpeg,1304.0,32.0,-7917.0,1
1.6450231371872584e+18,frame_4284.jpeg,1331.0,-16.0,-7870.0,1
