timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, PICKUP_RIGHT
1.6450229496318707e+18,frame_538.jpeg,3379.0,1628.0,6896.0,1
1.6450229496716365e+18,frame_539.jpeg,3450.0,1667.0,6936.0,1
1.6450229497748562e+18,frame_540.jpeg,3526.0,1714.0,6993.0,1
1.6450229497933757e+18,frame_541.jpeg,3547.0,1754.0,7073.0,1
1.645022949846803e+18,frame_542.jpeg,3557.0,1809.0,7257.0,1
1.645022949901146e+18,frame_543.jpeg,3533.0,1884.0,7430.0,1
1.6450229499907195e+18,frame_544.jpeg,3508.0,1934.0,7523.0,1
1.6450229499907195e+18,frame_545.jpeg,3508.0,1934.0,7523.0,1
1.6450229500669176e+18,frame_546.jpeg,3404.0,2078.0,7676.0,1
1.6450229500849341e+18,frame_547.jpeg,3355.0,2235.0,7854.0,1
1.6450229501499845e+18,frame_548.jpeg,2656.0,2047.0,6215.0,1
1.6450229502018552e+18,frame_549.jpeg,5754.0,6390.0,4436.0,1
1.6450229502494966e+18,frame_550.jpeg,4804.0,5856.0,2512.0,1
1.6450229502981926e+18,frame_551.jpeg,4364.0,5712.0,2561.0,1
1.6450229503508577e+18,frame_552.jpeg,5321.0,5829.0,2642.0,1
1.6450229503982513e+18,frame_553.jpeg,5450.0,5614.0,2526.0,1
1.6450229504510554e+18,frame_554.jpeg,6709.0,5796.0,2707.0,1
1.6450229504987515e+18,frame_555.jpeg,7206.0,5494.0,2868.0,1
1.6450229505502264e+18,frame_556.jpeg,7317.0,5159.0,3080.0,1
1.6450229506014518e+18,frame_557.jpeg,7504.0,4634.0,3307.0,1
1.6450229506507712e+18,frame_558.jpeg,7151.0,3899.0,4094.0,1
1.6450229506999503e+18,frame_559.jpeg,5944.0,3612.0,4583.0,1
1.64502295073355e+18,frame_560.jpeg,6213.0,3172.0,4559.0,1
1.645022950802943e+18,frame_561.jpeg,6176.0,3078.0,4534.0,1
1.6450229508474412e+18,frame_562.jpeg,6068.0,3001.0,4492.0,1
1.64502295091918e+18,frame_563.jpeg,5885.0,2937.0,4459.0,1
1.6450229962084915e+18,frame_1468.jpeg,5616.0,4951.0,-4127.0,1
1.6450229962583898e+18,frame_1469.jpeg,5333.0,5219.0,-4259.0,1
1.645022996308889e+18,frame_1470.jpeg,4703.0,5049.0,-4302.0,1
1.6450229963564078e+18,frame_1471.jpeg,5030.0,5527.0,-4421.0,1
1.6450229964084703e+18,frame_1472.jpeg,4757.0,5692.0,-4492.0,1
1.645022996464662e+18,frame_1473.jpeg,5694.0,6177.0,-5224.0,1
1.6450229965111334e+18,frame_1474.jpeg,4940.0,5873.0,-6338.0,1
1.645022996558252e+18,frame_1475.jpeg,3492.0,4696.0,-6326.0,1
1.6450229966108424e+18,frame_1476.jpeg,2178.0,4969.0,-7359.0,1
1.6450229966707297e+18,frame_1477.jpeg,2444.0,4735.0,-7543.0,1
1.6450229967252572e+18,frame_1478.jpeg,2334.0,4334.0,-7253.0,1
1.645022996779536e+18,frame_1479.jpeg,2257.0,4208.0,-7111.0,1
1.6450229968280123e+18,frame_1480.jpeg,2194.0,4066.0,-6962.0,1
1.6450229968280123e+18,frame_1481.jpeg,2194.0,4066.0,-6962.0,1
1.6450229968280123e+18,frame_1482.jpeg,2194.0,4066.0,-6962.0,1
1.6450229968280123e+18,frame_1483.jpeg,2194.0,4066.0,-6962.0,1
1.6450229971653215e+18,frame_1484.jpeg,2127.0,3785.0,-6686.0,1
1.6450229971653215e+18,frame_1485.jpeg,2127.0,3785.0,-6686.0,1
1.645023229410933e+18,frame_6126.jpeg,11.0,1738.0,-7750.0,1
1.645023229410933e+18,frame_6127.jpeg,11.0,1738.0,-7750.0,1
1.6450232294950497e+18,frame_6128.jpeg,49.0,1723.0,-7746.0,1
1.6450232295577303e+18,frame_6129.jpeg,119.0,1694.0,-7759.0,1
1.6450232295577303e+18,frame_6130.jpeg,119.0,1694.0,-7759.0,1
1.6450232296719114e+18,frame_6131.jpeg,178.0,1652.0,-7790.0,1
1.6450232296719114e+18,frame_6132.jpeg,178.0,1652.0,-7790.0,1
1.645023229743363e+18,frame_6133.jpeg,192.0,1591.0,-7837.0,1
1.645023229826006e+18,frame_6134.jpeg,203.0,1529.0,-7882.0,1
1.6450232298473644e+18,frame_6135.jpeg,245.0,853.0,-8100.0,1
1.645023229901612e+18,frame_6136.jpeg,-2268.0,-229.0,-9051.0,1
1.6450232299465746e+18,frame_6137.jpeg,-2998.0,-1377.0,-8514.0,1
