timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY1_BIMANUAL
1.645022951903186e+18,-578.0,-7511.0,1825.0,1
1.6450229519542108e+18,-559.0,-7588.0,1985.0,1
1.645022952002674e+18,-638.0,-7736.0,1746.0,1
1.6450229520543954e+18,-885.0,-8269.0,1714.0,1
1.6450229521044416e+18,-742.0,-8370.0,1234.0,1
1.6450229521543178e+18,-385.0,-8280.0,1147.0,1
1.6450229522025894e+18,-341.0,-8214.0,1131.0,1
1.6450229522546353e+18,-589.0,-8237.0,1282.0,1
1.6450229523023782e+18,-775.0,-7863.0,1355.0,1
1.6450229523531087e+18,-753.0,-8120.0,1332.0,1
1.645022952403616e+18,-572.0,-7938.0,1305.0,1
1.6450229524523676e+18,-516.0,-7990.0,1326.0,1
1.6450229525028726e+18,-657.0,-8068.0,1402.0,1
1.645022952553253e+18,-630.0,-7937.0,1361.0,1
1.6450229526019727e+18,-511.0,-8086.0,1365.0,1
1.6450229526536965e+18,-454.0,-8362.0,1301.0,1
1.6450229527034104e+18,-669.0,-7762.0,1452.0,1
1.6450229527517937e+18,-474.0,-8150.0,1255.0,1
1.64502295280093e+18,-407.0,-7964.0,1323.0,1
1.645022952851747e+18,-586.0,-8380.0,1503.0,1
1.6450229529025733e+18,-664.0,-8179.0,1702.0,1
1.6450229529525645e+18,-658.0,-8120.0,1622.0,1
1.6450229530033196e+18,-466.0,-7902.0,1704.0,1
1.6450229530527311e+18,-554.0,-8135.0,1942.0,1
1.645022953098582e+18,-563.0,-7718.0,2088.0,1
1.6450229531568983e+18,-402.0,-7409.0,2012.0,1
1.6450229532022362e+18,-186.0,-7845.0,2367.0,1
1.6450229532527962e+18,580.0,-9559.0,2212.0,1
1.6450229533028982e+18,217.0,-7644.0,2377.0,1
1.645022953351584e+18,-673.0,-6460.0,1521.0,1
1.6450229534071452e+18,-350.0,-7186.0,-1064.0,1
1.6450229534559078e+18,29.0,-7410.0,-2665.0,1
1.645022953506567e+18,410.0,-7471.0,-3304.0,1
1.6450229535497313e+18,639.0,-7706.0,-3855.0,1
1.6450229536064317e+18,610.0,-8033.0,-3456.0,1
1.645022953650794e+18,455.0,-8221.0,-2968.0,1
1.6450229537055995e+18,26.0,-8669.0,-1030.0,1
1.6450229537537636e+18,15.0,-8368.0,-513.0,1
1.6450229538114734e+18,-29.0,-7305.0,85.0,1
1.645022953852702e+18,407.0,-7129.0,-526.0,1
1.64502295390685e+18,313.0,-6829.0,-333.0,1
1.6450229539546588e+18,-65.0,-6796.0,-550.0,1
1.6450229540067505e+18,-19.0,-7510.0,-1871.0,1
1.6450229540661501e+18,12.0,-7633.0,-2160.0,1
1.6450229540661501e+18,12.0,-7633.0,-2160.0,1
1.6450229541919475e+18,38.0,-7733.0,-2455.0,1
1.6450229541919475e+18,38.0,-7733.0,-2455.0,1
1.6450229542439048e+18,72.0,-7785.0,-2751.0,1
1.6450229543282476e+18,132.0,-7822.0,-3069.0,1
1.645022954351824e+18,205.0,-7838.0,-3398.0,1
1.6450229544047145e+18,294.0,-7828.0,-3718.0,1
1.645022954455384e+18,373.0,-7813.0,-4034.0,1
1.645022954455384e+18,373.0,-7813.0,-4034.0,1
1.64502295456865e+18,422.0,-7806.0,-4325.0,1
1.645022954610697e+18,474.0,-7779.0,-4591.0,1
1.6450229546269082e+18,537.0,-7696.0,-4815.0,1
1.6450229547030874e+18,712.0,-7473.0,-5212.0,1
1.6450229547488694e+18,1147.0,-6941.0,-6368.0,1
1.6450229548213473e+18,1223.0,-6705.0,-6811.0,1
1.6450229548569242e+18,1318.0,-2432.0,-7476.0,1
1.6450229549049976e+18,2264.0,-2096.0,-7521.0,1
1.6450229549550618e+18,2498.0,-1952.0,-7911.0,1
1.6450229550059456e+18,2437.0,-2795.0,-7361.0,1
1.645022955054194e+18,2165.0,-1796.0,-7530.0,1
1.6450229551054062e+18,1989.0,-1785.0,-7458.0,1
1.6450229551572452e+18,1978.0,-3049.0,-6597.0,1
1.6450229552050637e+18,1996.0,-2884.0,-7217.0,1
1.6450229552606986e+18,2082.0,-2689.0,-7571.0,1
1.6450229553042964e+18,2078.0,-2774.0,-7395.0,1
1.645022955359438e+18,2040.0,-2458.0,-7255.0,1
1.6450229554054336e+18,2037.0,-2483.0,-7072.0,1
1.6450229554601674e+18,2046.0,-2633.0,-6928.0,1
1.645022955504447e+18,1959.0,-2763.0,-7293.0,1
1.645022955558324e+18,1875.0,-2830.0,-7717.0,1
1.6450229556052477e+18,1918.0,-2523.0,-7762.0,1
1.6450229556582853e+18,1891.0,-2185.0,-7412.0,1
