timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY2_BIMANUAL
1.6450230568334236e+18,-5924.0,2944.0,-5248.0,1
1.645023056882836e+18,-5934.0,2883.0,-5096.0,1
1.6450230569319775e+18,-6061.0,2881.0,-5073.0,1
1.6450230569834806e+18,-6137.0,3006.0,-5254.0,1
1.6450230570326554e+18,-6121.0,3047.0,-5395.0,1
1.6450230570852344e+18,-5931.0,3056.0,-5403.0,1
1.6450230571339873e+18,-5743.0,2998.0,-5283.0,1
1.645023057185031e+18,-5730.0,2931.0,-5122.0,1
1.645023057232189e+18,-5834.0,2872.0,-5078.0,1
1.6450230572846615e+18,-6217.0,2827.0,-5184.0,1
1.6450230573305203e+18,-6356.0,2793.0,-5196.0,1
1.6450230573853468e+18,-6258.0,2520.0,-5107.0,1
1.645023057433094e+18,-6536.0,2421.0,-5144.0,1
1.6450230574852047e+18,-6667.0,2385.0,-5084.0,1
1.6450230575321692e+18,-7021.0,2672.0,-4446.0,1
1.6450230575826033e+18,-6795.0,2480.0,-3843.0,1
1.6450230576318822e+18,-6427.0,2613.0,-3274.0,1
1.645023057685769e+18,-5642.0,3044.0,-3620.0,1
1.6450230577352924e+18,-5650.0,3127.0,-3742.0,1
1.6450230577863767e+18,-2846.0,2538.0,-4621.0,1
1.6450230578389908e+18,-7324.0,490.0,-2201.0,1
1.6450230578851715e+18,-8427.0,1637.0,-737.0,1
1.6450230579383414e+18,-8875.0,565.0,-891.0,1
1.6450230579819827e+18,-7871.0,892.0,-574.0,1
1.6450230580353664e+18,-7967.0,1348.0,-1297.0,1
1.6450230580877601e+18,-8183.0,1327.0,-1998.0,1
1.6450230581373e+18,-7892.0,1546.0,-2649.0,1
1.645023058180505e+18,-7781.0,1967.0,-3115.0,1
1.6450230582339717e+18,-7474.0,2147.0,-3171.0,1
1.645023058282253e+18,-7210.0,1965.0,-3201.0,1
1.6450230583378627e+18,-7367.0,2029.0,-3392.0,1
1.6450230583837545e+18,-7348.0,2063.0,-3486.0,1
1.6450230584378048e+18,-7628.0,2042.0,-3731.0,1
1.6450230584841203e+18,-7258.0,2054.0,-3620.0,1
1.645023058535882e+18,-7497.0,1968.0,-3463.0,1
1.645023058582479e+18,-7417.0,2113.0,-3540.0,1
1.6450230586387395e+18,-7295.0,2162.0,-3547.0,1
1.6450230586831278e+18,-6743.0,2195.0,-3332.0,1
1.6450230587387927e+18,-7395.0,2350.0,-4274.0,1
1.645023058786904e+18,-6577.0,1914.0,-4694.0,1
1.645023058838989e+18,-5917.0,1941.0,-4570.0,1
1.6450230588832154e+18,-5926.0,1469.0,-4410.0,1
1.6450230589350193e+18,-6005.0,2291.0,-5511.0,1
1.6450230589821164e+18,-5759.0,1605.0,-6066.0,1
