timestamp,a_right_backPose,b_right_backPose,c_right_backPose, HANDOVER_RIGHT
1.6450233824385124e+18,-7812.0,-2828.0,-1254.0,1
1.6450233824911214e+18,-8543.0,-1040.0,547.0,1
1.6450233825402035e+18,-8138.0,1494.0,1528.0,1
1.6450233825946844e+18,-7141.0,2557.0,3386.0,1
1.645023382636541e+18,-6560.0,3041.0,4352.0,1
1.645023382694563e+18,-6731.0,3220.0,4888.0,1
1.64502338274174e+18,-6186.0,2541.0,5577.0,1
1.6450233827898504e+18,-6094.0,1792.0,5491.0,1
1.6450233828398979e+18,-5869.0,895.0,5757.0,1
1.6450233828904212e+18,-6040.0,659.0,5799.0,1
1.6450233829456527e+18,-5487.0,15.0,5400.0,1
1.645023382995691e+18,-5932.0,-478.0,5642.0,1
1.6450233830452306e+18,-6042.0,-366.0,5739.0,1
1.6450233830910912e+18,-5927.0,-217.0,5744.0,1
1.6450233831457871e+18,-5890.0,0.0,5864.0,1
1.6450233831880143e+18,-5880.0,82.0,5676.0,1
1.6450233832445376e+18,-6048.0,36.0,5704.0,1
1.6450233832906158e+18,-6128.0,53.0,5757.0,1
1.64502338334181e+18,-6175.0,-12.0,5796.0,1
1.6450233833899617e+18,-6031.0,70.0,5659.0,1
1.6450233834448686e+18,-6199.0,102.0,5790.0,1
1.645023383487788e+18,-6199.0,54.0,5798.0,1
1.6450233835446548e+18,-6281.0,65.0,5795.0,1
1.6450233835895258e+18,-6134.0,64.0,5802.0,1
1.645023383641419e+18,-6137.0,43.0,5652.0,1
1.6450233836911718e+18,-6092.0,86.0,5738.0,1
1.6450233837435192e+18,-6165.0,56.0,5597.0,1
1.645023383790433e+18,-6071.0,133.0,5598.0,1
1.645023383842698e+18,-6079.0,90.0,5562.0,1
1.6450233838898422e+18,-6086.0,131.0,5681.0,1
1.6450233839418877e+18,-6162.0,213.0,5645.0,1
1.6450233839913175e+18,-6068.0,278.0,5565.0,1
1.6450233840435576e+18,-5955.0,356.0,5470.0,1
1.6450233840921395e+18,-5987.0,621.0,5461.0,1
1.6450233841433856e+18,-5850.0,1154.0,5290.0,1
1.6450233841902164e+18,-5438.0,1297.0,5006.0,1
1.6450233842470449e+18,-5461.0,1978.0,4559.0,1
1.645023384291727e+18,-5092.0,2758.0,4145.0,1
1.645023384344686e+18,-5267.0,2697.0,3697.0,1
1.6450233843904118e+18,-6540.0,2588.0,2906.0,1
1.6450233844436682e+18,-7370.0,2127.0,2837.0,1
1.6450233844850688e+18,-7989.0,1006.0,2446.0,1
1.6450233845433613e+18,-9727.0,593.0,3658.0,1
1.645023384597128e+18,-9472.0,454.0,4090.0,1
1.6450233846397934e+18,-9275.0,367.0,3708.0,1
1.6450233846953943e+18,-9334.0,885.0,2738.0,1
1.645023384740811e+18,-9035.0,1478.0,2075.0,1
1.6450233847970135e+18,-8799.0,2437.0,1700.0,1
