timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_BIMANUAL
1.6450230568338824e+18,-3894.0,3507.0,6299.0,1
1.6450230568831585e+18,-3805.0,3573.0,6211.0,1
1.6450230569363983e+18,-3859.0,3675.0,6273.0,1
1.6450230569838794e+18,-3995.0,3667.0,6359.0,1
1.6450230570330348e+18,-4034.0,3622.0,6455.0,1
1.645023057085534e+18,-4004.0,3456.0,6387.0,1
1.6450230571343442e+18,-3897.0,3378.0,6239.0,1
1.6450230571854449e+18,-3841.0,3424.0,6153.0,1
1.6450230572327007e+18,-3789.0,3539.0,6186.0,1
1.6450230572851036e+18,-3830.0,3810.0,6390.0,1
1.6450230573341878e+18,-3714.0,3951.0,6418.0,1
1.645023057385712e+18,-3463.0,3964.0,6455.0,1
1.645023057433439e+18,-3295.0,4285.0,6575.0,1
1.645023057485562e+18,-3204.0,4560.0,6612.0,1
1.6450230575324572e+18,-2896.0,5160.0,5950.0,1
1.645023057582945e+18,-2522.0,5322.0,5571.0,1
1.645023057632289e+18,-2291.0,4865.0,5068.0,1
1.6450230576861885e+18,-2402.0,4171.0,4689.0,1
1.6450230577355274e+18,-2449.0,3961.0,4674.0,1
1.6450230577831096e+18,-2430.0,3401.0,4446.0,1
1.645023057839435e+18,-1955.0,7002.0,4445.0,1
1.6450230578855503e+18,-1582.0,8591.0,2097.0,1
1.645023057938863e+18,-1848.0,8075.0,3373.0,1
1.645023057982268e+18,-1744.0,7369.0,2680.0,1
1.6450230580388892e+18,-2010.0,7341.0,2872.0,1
1.6450230580881375e+18,-2271.0,7269.0,3658.0,1
1.6450230581376238e+18,-2547.0,6845.0,4121.0,1
1.645023058185304e+18,-2899.0,6608.0,4276.0,1
1.6450230582343987e+18,-3013.0,6419.0,4306.0,1
1.645023058282675e+18,-2900.0,6112.0,4434.0,1
1.6450230583380984e+18,-2917.0,6219.0,4526.0,1
1.6450230583841047e+18,-3018.0,6194.0,4602.0,1
1.645023058438229e+18,-3206.0,6177.0,4853.0,1
1.6450230584844554e+18,-2971.0,6078.0,4679.0,1
1.6450230585363215e+18,-2979.0,6393.0,4704.0,1
1.6450230585827487e+18,-3082.0,6206.0,4691.0,1
1.6450230586391058e+18,-3131.0,6040.0,4711.0,1
1.6450230586835676e+18,-3015.0,5774.0,4488.0,1
1.64502305873928e+18,-3271.0,5618.0,5302.0,1
