timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_BIMANUAL
1.6450229417357012e+18,-4297.0,7269.0,-1093.0,1
1.6450229417875464e+18,-4069.0,7200.0,-1126.0,1
1.64502294183673e+18,-4003.0,7076.0,-996.0,1
1.6450229418871836e+18,-3810.0,7150.0,-1095.0,1
1.6450229419405576e+18,-3757.0,6969.0,-992.0,1
1.645022941987239e+18,-3738.0,7178.0,-897.0,1
1.6450229420419177e+18,-3704.0,7256.0,-893.0,1
1.6450229420912899e+18,-3685.0,6909.0,-802.0,1
1.645022942141774e+18,-3682.0,7057.0,-911.0,1
1.6450229421907013e+18,-3741.0,7345.0,-1120.0,1
1.6450229422420703e+18,-3775.0,7405.0,-1258.0,1
1.6450229422878659e+18,-3755.0,7219.0,-1271.0,1
1.6450229423415037e+18,-3763.0,7215.0,-1253.0,1
1.6450229423895094e+18,-3767.0,7176.0,-1252.0,1
1.645022942440474e+18,-3833.0,7413.0,-1193.0,1
1.6450229424874158e+18,-3845.0,7028.0,-1163.0,1
1.6450229425427254e+18,-3783.0,6676.0,-1078.0,1
1.6450229425922243e+18,-3918.0,7001.0,-1196.0,1
1.6450229426413194e+18,-4044.0,7253.0,-1185.0,1
1.6450229426916308e+18,-3998.0,7340.0,-1033.0,1
1.645022942740457e+18,-4088.0,7090.0,-845.0,1
1.6450229427908244e+18,-4141.0,6887.0,-835.0,1
1.6450229428422815e+18,-4119.0,6773.0,-853.0,1
1.6450229428887946e+18,-4018.0,6807.0,-825.0,1
1.6450229429392207e+18,-3915.0,7046.0,-735.0,1
1.645022942986583e+18,-3912.0,7127.0,-709.0,1
1.645022943038788e+18,-3777.0,7276.0,-691.0,1
1.6450229430862802e+18,-3756.0,7472.0,-627.0,1
1.6450229431413002e+18,-3827.0,7655.0,-569.0,1
1.6450229431907057e+18,-3851.0,7454.0,-558.0,1
1.6450229432419886e+18,-3765.0,7282.0,-461.0,1
1.645022943291144e+18,-3768.0,7271.0,-384.0,1
1.6450229433390953e+18,-3772.0,7237.0,-347.0,1
1.6450229433897672e+18,-3771.0,7210.0,-384.0,1
1.6450229434389338e+18,-3789.0,7249.0,-409.0,1
1.6450229434866138e+18,-3791.0,7313.0,-320.0,1
1.6450229435416822e+18,-3781.0,7336.0,-264.0,1
1.6450229435941537e+18,-3786.0,7220.0,-309.0,1
1.6450229436436503e+18,-3816.0,7177.0,-253.0,1
1.6450229436918682e+18,-3823.0,7214.0,-218.0,1
1.6450229437417969e+18,-3777.0,7268.0,-269.0,1
1.6450229437944776e+18,-3755.0,7313.0,-303.0,1
1.6450229438411412e+18,-3817.0,7343.0,-349.0,1
1.6450229438937487e+18,-4052.0,7494.0,-455.0,1
1.6450229439394304e+18,-4252.0,7428.0,-277.0,1
1.6450229439939325e+18,-4014.0,7402.0,-299.0,1
1.6450229440399616e+18,-4135.0,6545.0,832.0,1
1.6450229440943204e+18,-3984.0,7283.0,834.0,1
1.6450229441414175e+18,-3866.0,6195.0,1738.0,1
