timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, HANDOVER_RIGHT
1.645023382438838e+18,2839.0,7419.0,4598.0,1
1.6450233824914875e+18,1522.0,7603.0,2894.0,1
1.6450233825406277e+18,91.0,8358.0,329.0,1
1.6450233825903675e+18,-632.0,7873.0,-1448.0,1
1.6450233826369224e+18,-550.0,7704.0,-3112.0,1
1.645023382694928e+18,-477.0,7940.0,-3560.0,1
1.645023382742022e+18,-631.0,7819.0,-3600.0,1
1.6450233827901983e+18,-431.0,7808.0,-3454.0,1
1.6450233828404214e+18,24.0,7925.0,-3472.0,1
1.6450233828911247e+18,119.0,7842.0,-3505.0,1
1.6450233829458995e+18,715.0,7689.0,-3245.0,1
1.6450233829911127e+18,969.0,7675.0,-2968.0,1
1.6450233830457792e+18,1119.0,7988.0,-3290.0,1
1.645023383091562e+18,1123.0,7709.0,-3382.0,1
1.6450233831412088e+18,1029.0,7666.0,-3516.0,1
1.6450233831916214e+18,970.0,7534.0,-3451.0,1
1.6450233832449677e+18,959.0,7705.0,-3466.0,1
1.6450233832911337e+18,1062.0,7750.0,-3604.0,1
1.6450233833422205e+18,1071.0,7824.0,-3593.0,1
1.645023383390317e+18,1009.0,7685.0,-3602.0,1
1.6450233834404915e+18,978.0,7792.0,-3656.0,1
1.6450233834917665e+18,1010.0,7805.0,-3693.0,1
1.6450233835450655e+18,955.0,7856.0,-3646.0,1
1.6450233835921283e+18,998.0,7770.0,-3702.0,1
1.6450233836418086e+18,970.0,7687.0,-3594.0,1
1.6450233836915423e+18,983.0,7690.0,-3700.0,1
1.645023383743829e+18,931.0,7598.0,-3497.0,1
1.6450233837911355e+18,906.0,7635.0,-3646.0,1
1.645023383843091e+18,941.0,7628.0,-3614.0,1
1.6450233838902418e+18,912.0,7652.0,-3662.0,1
1.645023383942276e+18,827.0,7652.0,-3647.0,1
1.645023383992381e+18,755.0,7552.0,-3641.0,1
1.645023384043939e+18,677.0,7475.0,-3620.0,1
1.6450233840924155e+18,418.0,7377.0,-3627.0,1
1.6450233841437796e+18,-185.0,7150.0,-3607.0,1
1.6450233841905856e+18,-236.0,6857.0,-3560.0,1
1.6450233842426422e+18,-1027.0,6678.0,-3292.0,1
1.6450233842920632e+18,-1799.0,6116.0,-3126.0,1
1.6450233843451323e+18,-1988.0,6319.0,-2672.0,1
1.64502338439081e+18,-2097.0,7262.0,-2039.0,1
1.6450233844441078e+18,-1609.0,8254.0,-1908.0,1
1.6450233844852196e+18,-633.0,8589.0,-1376.0,1
1.6450233845437965e+18,368.0,10716.0,-2076.0,1
1.6450233845936814e+18,591.0,9933.0,-2026.0,1
1.6450233846401021e+18,353.0,9768.0,-1442.0,1
1.6450233846958116e+18,-194.0,9505.0,-1008.0,1
1.6450233847411994e+18,-890.0,9240.0,-798.0,1
1.6450233847974223e+18,-1769.0,9054.0,-972.0,1
