timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, BOLT_RIGHT
1.645022003046431e+18,frame_5894.jpeg,4318.0,1692.0,-6366.0,1
1.6450220030959242e+18,frame_5895.jpeg,4214.0,1679.0,-6408.0,1
1.6450220031486129e+18,frame_5896.jpeg,4168.0,1780.0,-6595.0,1
1.645022003195385e+18,frame_5897.jpeg,3986.0,1793.0,-6624.0,1
1.6450220032516777e+18,frame_5898.jpeg,3972.0,1901.0,-6498.0,1
1.6450220032955087e+18,frame_5899.jpeg,4160.0,1821.0,-6613.0,1
1.645022003348251e+18,frame_5900.jpeg,4221.0,1730.0,-6583.0,1
1.6450220033978258e+18,frame_5901.jpeg,4111.0,1821.0,-6532.0,1
1.6450220034511532e+18,frame_5902.jpeg,4094.0,1799.0,-6666.0,1
1.645022003496546e+18,frame_5903.jpeg,4011.0,1793.0,-6705.0,1
1.645022003550146e+18,frame_5904.jpeg,3854.0,1882.0,-6702.0,1
1.6450220035959606e+18,frame_5905.jpeg,3953.0,1841.0,-6654.0,1
1.6450220036485048e+18,frame_5906.jpeg,4026.0,1711.0,-6667.0,1
1.6450220036978757e+18,frame_5907.jpeg,4054.0,1859.0,-6635.0,1
1.6450220037499302e+18,frame_5908.jpeg,3926.0,1852.0,-6676.0,1
1.6450220037956867e+18,frame_5909.jpeg,3945.0,1781.0,-6730.0,1
1.6450220038529759e+18,frame_5910.jpeg,3957.0,1874.0,-6666.0,1
1.6450220038982879e+18,frame_5911.jpeg,3951.0,1804.0,-6684.0,1
1.6450220039473062e+18,frame_5912.jpeg,3968.0,1824.0,-6659.0,1
1.6450220040005453e+18,frame_5913.jpeg,4053.0,1843.0,-6610.0,1
1.645022004050154e+18,frame_5914.jpeg,4001.0,1760.0,-6689.0,1
1.6450220041028372e+18,frame_5915.jpeg,3976.0,1818.0,-6653.0,1
1.6450220041475172e+18,frame_5916.jpeg,3835.0,1892.0,-6716.0,1
1.6450220042006226e+18,frame_5917.jpeg,3782.0,1853.0,-6806.0,1
1.645022004249578e+18,frame_5918.jpeg,3782.0,1873.0,-6742.0,1
1.645022004302877e+18,frame_5919.jpeg,3747.0,1939.0,-6791.0,1
1.6450220043476114e+18,frame_5920.jpeg,3703.0,1892.0,-6853.0,1
1.645022004401597e+18,frame_5921.jpeg,3790.0,1878.0,-6711.0,1
1.645022004449863e+18,frame_5922.jpeg,3861.0,1849.0,-6732.0,1
1.6450220044982556e+18,frame_5923.jpeg,3989.0,1789.0,-6600.0,1
1.6450220045438395e+18,frame_5924.jpeg,3978.0,1755.0,-6737.0,1
1.6450220046016814e+18,frame_5925.jpeg,3638.0,1839.0,-6861.0,1
1.6450220046467e+18,frame_5926.jpeg,3593.0,1918.0,-6891.0,1
1.6450220046988516e+18,frame_5927.jpeg,3540.0,2039.0,-6932.0,1
1.64502200474482e+18,frame_5928.jpeg,3626.0,1918.0,-6783.0,1
1.645022004802009e+18,frame_5929.jpeg,4006.0,1773.0,-6647.0,1
1.6450220048495104e+18,frame_5930.jpeg,4161.0,1741.0,-6571.0,1
1.6450220049034273e+18,frame_5931.jpeg,4021.0,1857.0,-6646.0,1
1.645022004949229e+18,frame_5932.jpeg,3675.0,1893.0,-6812.0,1
1.6450220050007913e+18,frame_5933.jpeg,3765.0,1931.0,-6810.0,1
1.6450220050466516e+18,frame_5934.jpeg,3879.0,1903.0,-6733.0,1
1.645022005100236e+18,frame_5935.jpeg,3917.0,1752.0,-6708.0,1
1.6450220051442537e+18,frame_5936.jpeg,3848.0,1840.0,-6762.0,1
