timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, HANDOVER_LEFT
1.6450222779461926e+18,frame_11385.jpeg,9372.0,3479.0,1099.0,1
1.6450222780112248e+18,frame_11386.jpeg,9026.0,2930.0,997.0,1
1.6450222780441178e+18,frame_11387.jpeg,8761.0,2277.0,925.0,1
1.6450222780917972e+18,frame_11388.jpeg,7589.0,1466.0,325.0,1
1.645022278141422e+18,frame_11389.jpeg,7333.0,619.0,-181.0,1
1.6450222781882903e+18,frame_11390.jpeg,6553.0,-597.0,-859.0,1
1.645022278243151e+18,frame_11391.jpeg,6394.0,-1537.0,-1787.0,1
1.6450222782901225e+18,frame_11392.jpeg,6014.0,-2090.0,-2258.0,1
1.6450222783435308e+18,frame_11393.jpeg,5297.0,-2842.0,-2959.0,1
1.6450222783903276e+18,frame_11394.jpeg,4592.0,-3430.0,-3394.0,1
1.645022278442064e+18,frame_11395.jpeg,4091.0,-3740.0,-3728.0,1
1.6450222784891978e+18,frame_11396.jpeg,3708.0,-4143.0,-3936.0,1
1.6450222785446006e+18,frame_11397.jpeg,3343.0,-4248.0,-4063.0,1
1.6450222785920768e+18,frame_11398.jpeg,3896.0,-4412.0,-4247.0,1
1.6450222786436365e+18,frame_11399.jpeg,4359.0,-4372.0,-4412.0,1
1.645022278691163e+18,frame_11400.jpeg,4224.0,-4283.0,-4467.0,1
1.6450222787448911e+18,frame_11401.jpeg,4170.0,-4320.0,-4594.0,1
1.645022278790413e+18,frame_11402.jpeg,4114.0,-4139.0,-4746.0,1
1.6450222788452145e+18,frame_11403.jpeg,4258.0,-3898.0,-4853.0,1
1.6450222788908646e+18,frame_11404.jpeg,4157.0,-3767.0,-5004.0,1
1.645022278945041e+18,frame_11405.jpeg,4140.0,-3381.0,-5273.0,1
1.6450222789955738e+18,frame_11406.jpeg,4020.0,-3014.0,-5428.0,1
1.645022279042731e+18,frame_11407.jpeg,4352.0,-2853.0,-5570.0,1
1.6450222790944655e+18,frame_11408.jpeg,4689.0,-2489.0,-5701.0,1
1.6450222791414136e+18,frame_11409.jpeg,4948.0,-2322.0,-5853.0,1
1.6450222791953787e+18,frame_11410.jpeg,5070.0,-1966.0,-5795.0,1
1.6450222792419e+18,frame_11411.jpeg,5580.0,-1741.0,-5736.0,1
1.645022279297338e+18,frame_11412.jpeg,5189.0,-1671.0,-5995.0,1
1.645022279340638e+18,frame_11413.jpeg,5117.0,-1566.0,-5952.0,1
1.6450222793962368e+18,frame_11414.jpeg,5311.0,-1064.0,-5821.0,1
1.6450222794441856e+18,frame_11415.jpeg,5212.0,-1014.0,-5957.0,1
1.645022279486528e+18,frame_11416.jpeg,4812.0,-732.0,-6125.0,1
1.6450222795435663e+18,frame_11417.jpeg,4798.0,-588.0,-6147.0,1
1.645022279596085e+18,frame_11418.jpeg,5101.0,-217.0,-6591.0,1
1.6450222796438917e+18,frame_11419.jpeg,5009.0,-143.0,-6888.0,1
1.6450222796960911e+18,frame_11420.jpeg,4047.0,-867.0,-6768.0,1
1.6450222797405522e+18,frame_11421.jpeg,4137.0,-1019.0,-6457.0,1
1.6450222797945638e+18,frame_11422.jpeg,5579.0,-1134.0,-6078.0,1
1.6450222798426273e+18,frame_11423.jpeg,5775.0,-1186.0,-5728.0,1
1.6450222798978726e+18,frame_11424.jpeg,5465.0,-1333.0,-5967.0,1
1.6450222799459894e+18,frame_11425.jpeg,5449.0,-1487.0,-5974.0,1
1.6450222799943398e+18,frame_11426.jpeg,5152.0,-1301.0,-6082.0,1
1.645022280046681e+18,frame_11427.jpeg,5274.0,-1244.0,-5858.0,1
1.6450222800959898e+18,frame_11428.jpeg,4778.0,-1515.0,-5543.0,1
1.6450222801442632e+18,frame_11429.jpeg,4814.0,-2012.0,-5799.0,1
1.645022280197714e+18,frame_11430.jpeg,4923.0,-2390.0,-5813.0,1
1.645022280244148e+18,frame_11431.jpeg,4147.0,-2709.0,-5940.0,1
1.6450222802948744e+18,frame_11432.jpeg,3998.0,-2999.0,-5936.0,1
1.6450222803411753e+18,frame_11433.jpeg,4050.0,-3011.0,-6023.0,1
1.645022280396156e+18,frame_11434.jpeg,4005.0,-3445.0,-6032.0,1
1.6450222804438072e+18,frame_11435.jpeg,4081.0,-3539.0,-5814.0,1
1.6450222804989143e+18,frame_11436.jpeg,4221.0,-3790.0,-5740.0,1
1.6450222805409426e+18,frame_11437.jpeg,4120.0,-3944.0,-5702.0,1
1.6450222805980252e+18,frame_11438.jpeg,3998.0,-4196.0,-5696.0,1
1.6450222806450934e+18,frame_11439.jpeg,3882.0,-4275.0,-5918.0,1
1.6450222806839741e+18,frame_11440.jpeg,4033.0,-4276.0,-5740.0,1
1.6450222807467976e+18,frame_11441.jpeg,4046.0,-4088.0,-5659.0,1
1.6450222807920788e+18,frame_11442.jpeg,3972.0,-3989.0,-5542.0,1
1.645022280847724e+18,frame_11443.jpeg,3840.0,-4121.0,-5685.0,1
1.6450222808965414e+18,frame_11444.jpeg,3798.0,-4116.0,-5681.0,1
1.645022280947585e+18,frame_11445.jpeg,3715.0,-4105.0,-5688.0,1
1.6450222809956452e+18,frame_11446.jpeg,3681.0,-4135.0,-5800.0,1
1.645022281027812e+18,frame_11447.jpeg,3602.0,-4024.0,-6054.0,1
1.6450222810758912e+18,frame_11448.jpeg,3697.0,-4095.0,-6084.0,1
1.6450222811260954e+18,frame_11449.jpeg,3820.0,-4147.0,-6072.0,1
1.6450222812403901e+18,frame_11450.jpeg,3871.0,-4166.0,-6066.0,1
1.6450222812403901e+18,frame_11451.jpeg,3871.0,-4166.0,-6066.0,1
1.6450222813021153e+18,frame_11452.jpeg,3863.0,-4170.0,-6054.0,1
1.6450222813395402e+18,frame_11453.jpeg,3880.0,-4158.0,-6033.0,1
1.645022281397567e+18,frame_11454.jpeg,3951.0,-4036.0,-5974.0,1
1.6450222814473403e+18,frame_11455.jpeg,4246.0,-1981.0,-6386.0,1
1.6450222814939044e+18,frame_11456.jpeg,3932.0,-2651.0,-5291.0,1
1.6450222815478886e+18,frame_11457.jpeg,3371.0,-3486.0,-3342.0,1
1.645022281597718e+18,frame_11458.jpeg,3410.0,-4681.0,-1826.0,1
1.645022281647985e+18,frame_11459.jpeg,2639.0,-5132.0,-561.0,1
1.6450222816939622e+18,frame_11460.jpeg,1915.0,-4494.0,860.0,1
1.6450222817465439e+18,frame_11461.jpeg,2736.0,-3917.0,1559.0,1
1.6450222817968627e+18,frame_11462.jpeg,3464.0,-1465.0,3390.0,1
1.6450222818478659e+18,frame_11463.jpeg,6844.0,854.0,4665.0,1
1.6450222818982034e+18,frame_11464.jpeg,9434.0,2246.0,5258.0,1
1.6450222819303836e+18,frame_11465.jpeg,7754.0,4102.0,6475.0,1
1.6450222819805212e+18,frame_11466.jpeg,8526.0,4735.0,6394.0,1
