timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.6450220396938138e+18,1202.0,-7778.0,1963.0,1
1.645022039746831e+18,1030.0,-8307.0,2062.0,1
1.645022039793947e+18,1100.0,-7430.0,2480.0,1
1.6450220398463772e+18,1359.0,-8173.0,2774.0,1
1.6450220398906862e+18,1175.0,-6785.0,3568.0,1
1.6450220399456256e+18,1390.0,-7907.0,3238.0,1
1.64502203999241e+18,1318.0,-6756.0,3713.0,1
1.6450220400456056e+18,1246.0,-5442.0,4591.0,1
1.6450220400954621e+18,1309.0,-6653.0,4257.0,1
1.6450220401459996e+18,1281.0,-6033.0,4995.0,1
1.6450220401939753e+18,1014.0,-7089.0,5435.0,1
1.645022040244949e+18,339.0,-5852.0,6174.0,1
1.645022040292993e+18,304.0,-5982.0,6268.0,1
1.6450220403442253e+18,321.0,-5451.0,6155.0,1
1.645022040394217e+18,615.0,-7118.0,5858.0,1
1.6450220404442296e+18,1024.0,-6382.0,4522.0,1
1.6450220404902313e+18,1040.0,-7065.0,2774.0,1
1.645022040545051e+18,1384.0,-8586.0,1470.0,1
1.6450220405923866e+18,1336.0,-6969.0,1034.0,1
1.6450220406464297e+18,1786.0,-8915.0,-1582.0,1
1.6450220406900308e+18,1972.0,-7833.0,-2502.0,1
1.6450220407422979e+18,1952.0,-7159.0,-3119.0,1
1.6450220407941924e+18,1442.0,-7206.0,-4015.0,1
1.6450220408421056e+18,813.0,-5330.0,-3811.0,1
1.6450220408950054e+18,1227.0,-6758.0,-4177.0,1
1.6450220409470034e+18,1633.0,-6470.0,-3747.0,1
1.6450220409968046e+18,1893.0,-8758.0,-3438.0,1
1.6450220410425267e+18,1385.0,-8033.0,-2462.0,1
1.6450220410926313e+18,1864.0,-8168.0,-2531.0,1
1.6450220411466e+18,2210.0,-6947.0,-179.0,1
1.645022041194317e+18,1604.0,-3944.0,5228.0,1
1.645022041246636e+18,999.0,-2929.0,7660.0,1
1.6450220412999055e+18,168.0,-1098.0,7961.0,1
1.6450220413435338e+18,-585.0,-348.0,8888.0,1
1.6450220413981722e+18,-1617.0,-136.0,9150.0,1
1.6450220414437092e+18,-2305.0,91.0,8949.0,1
1.6450220414947346e+18,-2283.0,-706.0,8309.0,1
1.645022041542874e+18,-1867.0,134.0,8245.0,1
1.6450220415987244e+18,-1387.0,9.0,8601.0,1
1.6450220416433718e+18,-816.0,-584.0,8852.0,1
1.6450220416960632e+18,-643.0,-1749.0,8252.0,1
1.6450220417433124e+18,-965.0,-1549.0,7333.0,1
1.64502204179612e+18,-24.0,-5556.0,7275.0,1
1.6450220418438518e+18,518.0,-4809.0,6995.0,1
1.645022041898602e+18,1067.0,-7689.0,5126.0,1
1.6450220419429617e+18,773.0,-8003.0,3528.0,1
1.6450220419965988e+18,-489.0,-5900.0,3331.0,1
1.6450220420437778e+18,84.0,-9278.0,1787.0,1
1.6450220420961649e+18,832.0,-9544.0,982.0,1
1.6450220421439409e+18,871.0,-9179.0,1672.0,1
1.6450220421981489e+18,499.0,-8949.0,866.0,1
1.645022042240562e+18,-100.0,-7598.0,1467.0,1
1.645022042297893e+18,620.0,-3670.0,3720.0,1
1.6450220423448648e+18,946.0,-3562.0,4578.0,1
