timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, PICKUP_LEFT
1.6450217487274511e+18,-4373.0,-1845.0,5786.0,1
1.6450217487796664e+18,-5142.0,-829.0,6124.0,1
1.6450217488247862e+18,-5761.0,-996.0,6296.0,1
1.6450217488793687e+18,-6300.0,-298.0,5976.0,1
1.6450217489296876e+18,-7036.0,-339.0,7103.0,1
1.6450217489845253e+18,-7152.0,-1285.0,8178.0,1
1.6450217490314675e+18,-7520.0,-3633.0,9197.0,1
1.6450217490815363e+18,-6332.0,-2967.0,8537.0,1
1.6450217491296136e+18,-4701.0,-3856.0,7880.0,1
1.6450217491791716e+18,-3157.0,-5120.0,6585.0,1
1.6450217492309985e+18,-1569.0,-4544.0,5712.0,1
1.6450217499297677e+18,889.0,-5087.0,6410.0,1
1.645021749983777e+18,739.0,-5524.0,6713.0,1
1.6450217500293816e+18,937.0,-5585.0,6797.0,1
1.6450217500813796e+18,1413.0,-4880.0,6223.0,1
1.6450217501260654e+18,751.0,-4812.0,6402.0,1
1.6450217501813187e+18,1048.0,-5784.0,6356.0,1
1.6450217502281308e+18,856.0,-4447.0,6593.0,1
1.6450217502813494e+18,1310.0,-5751.0,6450.0,1
1.645021750331931e+18,1167.0,-5442.0,6310.0,1
1.6450217503804488e+18,779.0,-5445.0,6325.0,1
1.6450217504313533e+18,528.0,-5444.0,6436.0,1
1.6450217504828268e+18,604.0,-4947.0,6361.0,1
1.6450217505363392e+18,758.0,-4782.0,6376.0,1
1.6450217505832538e+18,627.0,-5313.0,6340.0,1
1.6450217506329656e+18,685.0,-5892.0,7001.0,1
1.6450217506829468e+18,791.0,-5171.0,6108.0,1
1.6450217507336192e+18,292.0,-5089.0,6767.0,1
1.6450217507835057e+18,309.0,-5116.0,6662.0,1
1.6450217508352061e+18,969.0,-6666.0,4407.0,1
1.6450217508848742e+18,1273.0,-7778.0,3092.0,1
1.6450217509374956e+18,1246.0,-7983.0,1430.0,1
1.6450217509795948e+18,1337.0,-8246.0,-244.0,1
1.6450217510348014e+18,1582.0,-8390.0,-1498.0,1
1.645021751083376e+18,1557.0,-8048.0,-1820.0,1
1.645021751135127e+18,1677.0,-7218.0,-2446.0,1
1.6450217511819192e+18,1820.0,-7095.0,-2574.0,1
1.645021751233565e+18,2298.0,-6606.0,-2955.0,1
1.645021751280525e+18,2488.0,-6592.0,-3181.0,1
1.6450217513334656e+18,2370.0,-6366.0,-3661.0,1
1.6450217513799424e+18,2397.0,-6479.0,-3937.0,1
1.645021751436974e+18,2412.0,-6319.0,-4174.0,1
1.6450217514817242e+18,2351.0,-6386.0,-4458.0,1
1.6450217515337106e+18,2346.0,-5495.0,-5013.0,1
1.6450217515793106e+18,2357.0,-4910.0,-5684.0,1
1.6450217516347515e+18,2084.0,-4311.0,-6417.0,1
1.645021751681929e+18,2129.0,-4205.0,-6846.0,1
1.6450217517344325e+18,2215.0,-3918.0,-6899.0,1
1.64502175177934e+18,2238.0,-3853.0,-6917.0,1
1.6450217518349322e+18,2202.0,-3912.0,-6804.0,1
1.6450217518784696e+18,2196.0,-3816.0,-6745.0,1
1.6450217519360297e+18,2191.0,-3791.0,-6696.0,1
1.6450217519830858e+18,2241.0,-3583.0,-6762.0,1
1.645021752034013e+18,2430.0,-3941.0,-6423.0,1
1.6450217520865078e+18,2576.0,-3973.0,-6424.0,1
1.6450217521358743e+18,2602.0,-4291.0,-5961.0,1
1.6450217521884244e+18,2667.0,-4125.0,-6174.0,1
1.6450217522323366e+18,2801.0,-4123.0,-6198.0,1
1.645021752288993e+18,3124.0,-3860.0,-6466.0,1
1.645021752332775e+18,3028.0,-3964.0,-6438.0,1
1.6450217523832942e+18,2786.0,-4197.0,-6529.0,1
1.6450217524322004e+18,2780.0,-4788.0,-5563.0,1
1.6450217524846444e+18,2903.0,-4856.0,-5681.0,1
1.6450217525336044e+18,2843.0,-4913.0,-5623.0,1
1.645021752590332e+18,2835.0,-5328.0,-4896.0,1
1.6450217526332124e+18,2847.0,-5484.0,-5083.0,1
1.6450217526828534e+18,3358.0,-5482.0,-5577.0,1
1.6450217527333396e+18,3077.0,-5119.0,-5169.0,1
1.6450217527862239e+18,2718.0,-5449.0,-4675.0,1
1.6450217528335163e+18,2720.0,-5020.0,-4871.0,1
1.6450217528881203e+18,2880.0,-5230.0,-5080.0,1
1.6450217529324792e+18,2791.0,-5392.0,-4899.0,1
1.645021752981457e+18,2871.0,-5436.0,-4959.0,1
1.645021753032263e+18,2936.0,-5578.0,-4970.0,1
1.6450217530831956e+18,2967.0,-5610.0,-5159.0,1
1.64502175313272e+18,2963.0,-5527.0,-5329.0,1
1.6450217531877983e+18,2886.0,-5604.0,-5022.0,1
1.6450217532307218e+18,2898.0,-5726.0,-4935.0,1
1.6450217532861304e+18,2807.0,-5540.0,-4999.0,1
1.645021753330771e+18,2828.0,-5239.0,-5233.0,1
1.6450217533860319e+18,2881.0,-4967.0,-5545.0,1
1.6450217534314957e+18,2967.0,-5040.0,-5287.0,1
1.645021753486202e+18,2864.0,-5201.0,-5173.0,1
1.6450217535322944e+18,2820.0,-5314.0,-5252.0,1
1.645021753585795e+18,2929.0,-5448.0,-5115.0,1
1.645021753631869e+18,2866.0,-5532.0,-5138.0,1
1.6450217536881405e+18,2722.0,-5986.0,-4534.0,1
1.6450217537358264e+18,2607.0,-5967.0,-4541.0,1
1.6450217537866852e+18,2767.0,-5803.0,-4813.0,1
1.6450217538355174e+18,2808.0,-5873.0,-4728.0,1
1.6450217538860777e+18,2811.0,-5909.0,-4627.0,1
1.645021753936605e+18,2796.0,-5909.0,-4593.0,1
1.6450217539851515e+18,2779.0,-5913.0,-4555.0,1
1.6450217540368236e+18,2684.0,-6094.0,-4165.0,1
1.6450217540865661e+18,2772.0,-6316.0,-4031.0,1
1.645021754136423e+18,3014.0,-6216.0,-4584.0,1
1.6450217541853123e+18,2877.0,-5963.0,-4606.0,1
1.6450217542411249e+18,2690.0,-5957.0,-4523.0,1
1.6450217542857395e+18,2582.0,-5951.0,-4084.0,1
1.6450217543371287e+18,2561.0,-6390.0,-3710.0,1
1.6450217543870884e+18,2414.0,-7349.0,-2564.0,1
1.6450217544373517e+18,2195.0,-7570.0,-998.0,1
1.6450217544864653e+18,2172.0,-8086.0,-144.0,1
1.64502175453657e+18,2404.0,-7845.0,-291.0,1
1.6450217545850294e+18,2844.0,-7756.0,-1354.0,1
1.6450217546324196e+18,3020.0,-6521.0,-2611.0,1
1.6450217546819046e+18,3078.0,-6595.0,-3668.0,1
1.6450217547381757e+18,2939.0,-6332.0,-3886.0,1
1.6450217547859668e+18,2842.0,-6647.0,-3344.0,1
1.645021754834979e+18,2870.0,-6420.0,-3345.0,1
1.6450217548851525e+18,2845.0,-6460.0,-3244.0,1
1.64502175494038e+18,2708.0,-6646.0,-3049.0,1
1.6450217549853412e+18,2927.0,-6623.0,-3297.0,1
1.6450217550374513e+18,2966.0,-6302.0,-3895.0,1
1.6450217550857592e+18,3238.0,-6204.0,-4365.0,1
1.645021755138183e+18,3187.0,-6129.0,-4153.0,1
1.645021755184508e+18,2982.0,-5927.0,-4191.0,1
1.6450217552355325e+18,2949.0,-5909.0,-4330.0,1
1.645021755288605e+18,3062.0,-5924.0,-4665.0,1
1.6450217553409393e+18,3120.0,-5685.0,-5024.0,1
1.6450217553881344e+18,3064.0,-5549.0,-4853.0,1
1.645021755438833e+18,3095.0,-5655.0,-4717.0,1
1.645021755489674e+18,2955.0,-5771.0,-4412.0,1
1.6450217555384988e+18,2826.0,-5940.0,-4158.0,1
1.645021755590521e+18,2808.0,-5850.0,-4106.0,1
1.6450217556395901e+18,2230.0,-5389.0,-4301.0,1
1.645021755689172e+18,1302.0,-5041.0,-3699.0,1
1.6450217557405043e+18,627.0,-4729.0,-3609.0,1
1.6450217557893594e+18,-145.0,-4670.0,-3813.0,1
1.6450217558374938e+18,-880.0,-4719.0,-4442.0,1
1.6450217558886385e+18,-1497.0,-7129.0,-4611.0,1
1.645021755940988e+18,-1469.0,-8789.0,-4030.0,1
1.6450217559880586e+18,-1664.0,-9921.0,-1922.0,1
1.6450217560393428e+18,-2525.0,-9803.0,-768.0,1
