timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_LEFT
1.6450220396909064e+18,-2502.0,1867.0,-7689.0,1
1.6450220397459164e+18,-2493.0,1918.0,-7616.0,1
1.6450220397922988e+18,-2558.0,1886.0,-7600.0,1
1.6450220398473452e+18,-2485.0,1772.0,-7669.0,1
1.645022039891331e+18,-2484.0,1673.0,-7731.0,1
1.6450220399463375e+18,-2459.0,1647.0,-7728.0,1
1.645022039992156e+18,-2412.0,1594.0,-7730.0,1
1.6450220400446013e+18,-2343.0,1552.0,-7766.0,1
1.645022040093999e+18,-2435.0,1584.0,-7675.0,1
1.6450220401422034e+18,-2391.0,1578.0,-7659.0,1
1.6450220401942664e+18,-2254.0,1562.0,-7874.0,1
1.645022040246171e+18,-2482.0,1480.0,-7829.0,1
1.6450220402939791e+18,-2500.0,1499.0,-7731.0,1
1.6450220403456722e+18,-2531.0,1495.0,-7676.0,1
1.6450220403915812e+18,-2420.0,1538.0,-7790.0,1
1.6450220404434685e+18,-2528.0,1533.0,-7642.0,1
1.6450220404929428e+18,-2521.0,1441.0,-7641.0,1
1.6450220405439114e+18,-2631.0,1379.0,-7838.0,1
1.645022040592274e+18,-2604.0,1311.0,-7784.0,1
1.6450220406442284e+18,-2700.0,1351.0,-7680.0,1
1.6450220406943488e+18,-2662.0,1418.0,-7811.0,1
1.645022040745178e+18,-2401.0,1425.0,-7722.0,1
1.64502204079351e+18,-2383.0,1398.0,-7739.0,1
1.6450220408453645e+18,-2599.0,1359.0,-7724.0,1
1.645022040894802e+18,-2646.0,1466.0,-7582.0,1
1.6450220409462164e+18,-2668.0,1411.0,-7626.0,1
1.645022040991332e+18,-2805.0,1359.0,-7591.0,1
1.6450220410352788e+18,-2866.0,1371.0,-7818.0,1
1.645022041097645e+18,-2773.0,1353.0,-7908.0,1
1.6450220411457242e+18,-3110.0,1205.0,-7583.0,1
1.6450220411984678e+18,-3102.0,1135.0,-7840.0,1
1.645022041244539e+18,-2765.0,1306.0,-7672.0,1
1.6450220412972303e+18,-2615.0,1455.0,-7555.0,1
1.6450220413440975e+18,-2641.0,1266.0,-7554.0,1
1.6450220413944963e+18,-2723.0,1234.0,-7852.0,1
1.64502204144214e+18,-2745.0,1281.0,-7643.0,1
1.645022041494544e+18,-3048.0,1350.0,-7505.0,1
1.6450220415433705e+18,-3064.0,1405.0,-7556.0,1
1.645022041598409e+18,-3146.0,1309.0,-7420.0,1
1.6450220416446628e+18,-3240.0,1324.0,-7652.0,1
1.6450220416968973e+18,-3321.0,1304.0,-7534.0,1
1.645022041744299e+18,-3326.0,1309.0,-7523.0,1
1.6450220417990986e+18,-3419.0,1248.0,-7312.0,1
1.645022041845022e+18,-3379.0,1242.0,-7410.0,1
1.6450220418971428e+18,-3579.0,1337.0,-7544.0,1
1.6450220419370202e+18,-3595.0,1347.0,-7413.0,1
1.6450220420003456e+18,-3505.0,1248.0,-7353.0,1
1.645022042042685e+18,-3875.0,1315.0,-7125.0,1
1.6450220420990582e+18,-3481.0,1381.0,-7272.0,1
1.645022042144793e+18,-3528.0,1438.0,-7394.0,1
1.64502204219976e+18,-3713.0,1432.0,-7316.0,1
1.6450220422443415e+18,-3686.0,1222.0,-7284.0,1
1.6450220422991388e+18,-3789.0,1197.0,-7230.0,1
1.6450220423444664e+18,-3675.0,1384.0,-7261.0,1
1.6450220423988764e+18,-3753.0,1377.0,-7136.0,1
1.6450220424438195e+18,-3761.0,1447.0,-7310.0,1
1.6450220424947103e+18,-3842.0,1426.0,-7266.0,1
1.6450220425478065e+18,-3854.0,1230.0,-7145.0,1
1.645022042595363e+18,-3811.0,1136.0,-7291.0,1
1.645022042650384e+18,-3781.0,1261.0,-7450.0,1
1.645022042695728e+18,-3782.0,1465.0,-7053.0,1
