timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_BIMANUAL
1.6450217277037847e+18,-5652.0,4916.0,3377.0,1
1.6450217277523261e+18,-5698.0,5038.0,3392.0,1
1.645021727803419e+18,-5693.0,5046.0,3363.0,1
1.6450217278534735e+18,-5669.0,5011.0,3414.0,1
1.6450217278970058e+18,-5758.0,5122.0,3353.0,1
1.6450217279529882e+18,-5126.0,5100.0,3261.0,1
1.6450217280010432e+18,-5106.0,5074.0,3162.0,1
1.645021728054285e+18,-5439.0,5305.0,3488.0,1
1.6450217281019405e+18,-5600.0,5477.0,3631.0,1
1.6450217281547817e+18,-5535.0,5513.0,3403.0,1
1.645021728204367e+18,-5216.0,5713.0,3345.0,1
1.6450217282525082e+18,-5257.0,5888.0,3072.0,1
1.6450217283012751e+18,-5246.0,5800.0,2511.0,1
1.6450217283548385e+18,-5233.0,5787.0,2501.0,1
1.6450217284027215e+18,-5913.0,5919.0,2127.0,1
1.6450217284548616e+18,-6312.0,5805.0,1762.0,1
1.6450217285070725e+18,-6197.0,5681.0,1811.0,1
1.64502172855223e+18,-6333.0,5220.0,1216.0,1
1.6450217285999598e+18,-6819.0,5228.0,926.0,1
1.645021728652925e+18,-6358.0,4627.0,183.0,1
1.6450217287021453e+18,-6804.0,4856.0,-308.0,1
1.645021728753122e+18,-6796.0,4749.0,-526.0,1
1.6450217288070385e+18,-6544.0,4708.0,-631.0,1
1.6450217288548943e+18,-6834.0,4852.0,-663.0,1
1.6450217289080525e+18,-6545.0,4847.0,-733.0,1
1.6450217289524754e+18,-6388.0,4981.0,-810.0,1
1.6450217290063237e+18,-6379.0,5114.0,-951.0,1
1.645021729053211e+18,-6589.0,5287.0,-1094.0,1
1.6450217291072827e+18,-6177.0,5111.0,-1227.0,1
1.645021729158575e+18,-6195.0,5119.0,-1287.0,1
1.6450217292077046e+18,-6333.0,5122.0,-1230.0,1
1.6450217292562762e+18,-6410.0,5194.0,-1151.0,1
1.645021729304813e+18,-6355.0,5214.0,-1163.0,1
1.6450217293523361e+18,-6331.0,5178.0,-1111.0,1
1.6450217294062264e+18,-6375.0,5195.0,-1132.0,1
1.6450217294524196e+18,-6513.0,5363.0,-1179.0,1
1.6450217295069706e+18,-6787.0,5515.0,-1447.0,1
1.6450217295534305e+18,-6441.0,5298.0,-1889.0,1
1.645021729607215e+18,-6175.0,5212.0,-2712.0,1
1.6450217296544146e+18,-5858.0,4920.0,-3709.0,1
1.645021729704596e+18,-4157.0,3687.0,-4537.0,1
1.6450217297532224e+18,-4453.0,3979.0,-5312.0,1
1.6450217298002015e+18,-3867.0,4095.0,-5297.0,1
1.6450217298536115e+18,-3691.0,4707.0,-6341.0,1
1.6450217299080225e+18,-4212.0,4784.0,-6841.0,1
1.645021729955222e+18,-3811.0,4741.0,-8283.0,1
1.6450217300061181e+18,-4455.0,5239.0,-9093.0,1
1.6450217300549148e+18,-4461.0,4516.0,-9513.0,1
1.6450217301075005e+18,-4860.0,3694.0,-8657.0,1
1.6450217301530102e+18,-4804.0,2671.0,-8058.0,1
1.6450217302067564e+18,-5127.0,1518.0,-6807.0,1
1.6450217302527657e+18,-4228.0,147.0,-6255.0,1
1.64502173030622e+18,-4230.0,-363.0,-5692.0,1
1.6450217303551012e+18,-4557.0,-1053.0,-5442.0,1
1.6450217304072957e+18,-3844.0,-2021.0,-5142.0,1
1.6450217304599212e+18,-4049.0,-2981.0,-4820.0,1
1.6450217305031923e+18,-3700.0,-3757.0,-4594.0,1
1.6450217305572209e+18,-3750.0,-4283.0,-4476.0,1
1.6450217306061862e+18,-3498.0,-4465.0,-4918.0,1
1.6450217306585137e+18,-3277.0,-4710.0,-4898.0,1
1.6450217307064927e+18,-3459.0,-5329.0,-4848.0,1
1.645021730758262e+18,-4566.0,-5551.0,-4860.0,1
1.6450217308073528e+18,-3905.0,-6267.0,-4576.0,1
1.6450217308563305e+18,-3222.0,-5977.0,-4283.0,1
1.6450217309077107e+18,-1667.0,-4674.0,-5402.0,1
1.6450217309582205e+18,-690.0,-3711.0,-6565.0,1
1.645021731007768e+18,175.0,-2176.0,-7519.0,1
1.6450217310565217e+18,702.0,-1432.0,-7582.0,1
