timestamp,a_right_backPose,b_right_backPose,c_right_backPose, PICKUP_RIGHT
1.645021741069149e+18,-4906.0,2979.0,-5820.0,1
1.6450217411164221e+18,-5320.0,3802.0,-6349.0,1
1.6450217411686753e+18,-3800.0,4276.0,-7102.0,1
1.6450217412167432e+18,-2895.0,3820.0,-7774.0,1
1.64502174126835e+18,-3966.0,4211.0,-7236.0,1
1.6450217413153157e+18,-3272.0,3436.0,-6840.0,1
1.6450217413674376e+18,-4525.0,3355.0,-7107.0,1
1.645021741416722e+18,-5362.0,2454.0,-7153.0,1
1.645021741469716e+18,-7481.0,2477.0,-6065.0,1
1.6450217415164756e+18,-8434.0,1491.0,-4658.0,1
1.6450217415728945e+18,-8896.0,662.0,-2158.0,1
1.6450217416199255e+18,-8206.0,-451.0,-1638.0,1
1.6450217416682186e+18,-8046.0,-889.0,-1103.0,1
1.6450217417243955e+18,-7579.0,-310.0,-976.0,1
1.6450217417691914e+18,-7110.0,-845.0,-1219.0,1
1.645021741819304e+18,-6924.0,-924.0,-1370.0,1
1.6450217418685315e+18,-7058.0,-284.0,-1938.0,1
