timestamp,a_right_backPose,b_right_backPose,c_right_backPose, SCREW_RIGHT
1.645021933364226e+18,-8423.0,-2757.0,796.0,1
1.6450219334084943e+18,-7725.0,-3043.0,818.0,1
1.645021933461987e+18,-7634.0,-2843.0,850.0,1
1.645021933510163e+18,-7851.0,-3037.0,1149.0,1
1.6450219335616422e+18,-7983.0,-3102.0,1107.0,1
1.6450219336065605e+18,-7635.0,-3135.0,910.0,1
1.645021933658602e+18,-8072.0,-2874.0,675.0,1
1.645021933707725e+18,-7584.0,-3110.0,395.0,1
1.6450219337624824e+18,-7765.0,-2957.0,231.0,1
1.6450219338115174e+18,-7708.0,-3017.0,88.0,1
1.6450219338624407e+18,-7740.0,-3077.0,-83.0,1
1.6450219339121254e+18,-7812.0,-3089.0,-101.0,1
1.6450219339638103e+18,-7971.0,-3523.0,442.0,1
1.645021934017882e+18,-7375.0,-2801.0,-835.0,1
1.645021934061126e+18,-7661.0,-3433.0,-927.0,1
1.6450219341126377e+18,-7718.0,-3245.0,-831.0,1
1.6450219341627474e+18,-6989.0,-3391.0,-1116.0,1
1.6450219342115448e+18,-7116.0,-3313.0,-1657.0,1
1.6450219342580385e+18,-7012.0,-3351.0,-1831.0,1
1.645021934312589e+18,-7953.0,-3236.0,-1232.0,1
1.6450219343588434e+18,-7106.0,-2740.0,-1790.0,1
1.645021934412958e+18,-7110.0,-2727.0,-1935.0,1
1.6450219344623255e+18,-7930.0,-2076.0,-1253.0,1
1.6450219345131484e+18,-8419.0,-1822.0,-1405.0,1
1.6450219345624604e+18,-7075.0,-2146.0,-1001.0,1
1.6450219346115272e+18,-7867.0,-1207.0,-1003.0,1
1.6450219346564457e+18,-8235.0,-847.0,-1116.0,1
1.6450219347127846e+18,-8559.0,-551.0,-613.0,1
1.6450219347592271e+18,-8448.0,-448.0,-267.0,1
1.6450219348145992e+18,-8220.0,-231.0,-305.0,1
1.6450219348643197e+18,-8108.0,-407.0,-804.0,1
