timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_BIMANUAL
1.6450218415966333e+18,4549.0,758.0,7042.0,1
1.6450218416453942e+18,3756.0,152.0,7585.0,1
1.645021841695701e+18,3429.0,205.0,6901.0,1
1.6450218417456402e+18,2683.0,527.0,7726.0,1
1.645021841795385e+18,2618.0,362.0,7519.0,1
1.6450218418460362e+18,2601.0,1306.0,7298.0,1
1.6450218418971067e+18,2424.0,928.0,7605.0,1
1.645021841945142e+18,2242.0,788.0,7884.0,1
1.645021841997026e+18,1780.0,745.0,8047.0,1
1.6450218420460585e+18,1392.0,778.0,8708.0,1
1.6450218420971517e+18,1475.0,500.0,8481.0,1
1.6450218421452462e+18,1531.0,479.0,8367.0,1
1.6450218421999657e+18,1649.0,615.0,8286.0,1
1.6450218422497213e+18,1690.0,698.0,8300.0,1
1.6450218422962747e+18,1557.0,477.0,8550.0,1
1.6450218423456573e+18,1477.0,353.0,8526.0,1
1.645021842396228e+18,1661.0,209.0,8758.0,1
1.6450218424452884e+18,1860.0,148.0,8810.0,1
1.6450218424964465e+18,1962.0,120.0,8273.0,1
1.6450218425459497e+18,2262.0,56.0,7698.0,1
1.645021842596972e+18,2294.0,-307.0,8025.0,1
1.6450218426465234e+18,2411.0,440.0,7826.0,1
1.645021842700164e+18,3024.0,3395.0,6732.0,1
1.645021842745538e+18,3298.0,4073.0,6454.0,1
1.6450218428005276e+18,3155.0,3696.0,6838.0,1
1.645021842846843e+18,3079.0,4218.0,6021.0,1
1.6450218429009843e+18,2958.0,4321.0,5721.0,1
1.6450218429456758e+18,2827.0,7017.0,5824.0,1
1.6450218429965676e+18,2785.0,4760.0,4728.0,1
1.6450218430517496e+18,2300.0,6105.0,4820.0,1
1.6450218430963254e+18,2124.0,5966.0,4947.0,1
1.6450218431500677e+18,1458.0,6673.0,5525.0,1
1.64502184319314e+18,999.0,7093.0,4541.0,1
1.6450218432509699e+18,596.0,8007.0,3838.0,1
1.6450218432953242e+18,369.0,8679.0,4006.0,1
1.6450218433514365e+18,955.0,8140.0,2894.0,1
1.645021843400341e+18,1521.0,7369.0,1834.0,1
1.645021843448309e+18,2379.0,5829.0,-378.0,1
1.6450218434985815e+18,3261.0,5442.0,-1539.0,1
1.6450218435543918e+18,4264.0,5282.0,-2621.0,1
1.6450218435972142e+18,5019.0,6449.0,-3295.0,1
1.645021843648601e+18,5427.0,6466.0,-3351.0,1
1.6450218436964728e+18,5788.0,6332.0,-3597.0,1
1.6450218437481042e+18,6036.0,6824.0,-3613.0,1
1.645021843796219e+18,5960.0,6765.0,-3533.0,1
1.645021843848478e+18,5721.0,6746.0,-3268.0,1
1.6450218438929795e+18,5451.0,7024.0,-3294.0,1
1.6450218439490573e+18,5438.0,6964.0,-3398.0,1
1.645021844001181e+18,5329.0,6917.0,-3474.0,1
1.645021844050765e+18,4896.0,7176.0,-3378.0,1
1.6450218440983444e+18,4705.0,6936.0,-3239.0,1
1.6450218441513718e+18,4650.0,7079.0,-3485.0,1
1.645021844198189e+18,4662.0,7034.0,-3557.0,1
1.6450218442493245e+18,4739.0,7104.0,-3737.0,1
1.64502184429414e+18,4660.0,7206.0,-3831.0,1
1.6450218443524603e+18,4638.0,7157.0,-4064.0,1
1.6450218443903828e+18,4567.0,7014.0,-4022.0,1
1.6450218444517043e+18,4649.0,8066.0,-3721.0,1
1.645021844500783e+18,4995.0,8807.0,-4213.0,1
1.6450218445493975e+18,5105.0,8875.0,-3512.0,1
1.6450218446003523e+18,5792.0,8512.0,-3039.0,1
1.645021844651583e+18,6079.0,8405.0,-2647.0,1
1.6450218446881746e+18,6072.0,8947.0,-2298.0,1
1.6450218447514716e+18,6379.0,7454.0,-2662.0,1
1.6450218448006561e+18,6153.0,8587.0,-2555.0,1
1.6450218448553654e+18,5961.0,8211.0,-2018.0,1
1.6450218448992668e+18,5736.0,6682.0,-722.0,1
1.645021844946335e+18,5673.0,6430.0,-549.0,1
1.645021844989157e+18,4484.0,2153.0,670.0,1
1.6450218450497144e+18,3236.0,202.0,2668.0,1
1.6450218451011082e+18,1685.0,1741.0,5654.0,1
1.6450218451479977e+18,1090.0,1413.0,7101.0,1
1.64502184520163e+18,624.0,1706.0,8076.0,1
1.6450218452447936e+18,127.0,720.0,8467.0,1
1.6450218453019354e+18,-392.0,-144.0,8836.0,1
1.6450218453517522e+18,-31.0,-697.0,8398.0,1
1.6450218454048538e+18,585.0,236.0,8343.0,1
1.645021845449802e+18,766.0,636.0,8147.0,1
1.6450218454993441e+18,403.0,495.0,8215.0,1
1.6450218455487278e+18,310.0,655.0,8112.0,1
1.6450218456003643e+18,396.0,714.0,8151.0,1
1.6450218456490621e+18,654.0,882.0,8273.0,1
1.6450218456997612e+18,727.0,1293.0,8244.0,1
1.645021845749058e+18,706.0,907.0,8413.0,1
1.6450218457994348e+18,822.0,1474.0,8283.0,1
1.6450218458493727e+18,797.0,1215.0,8202.0,1
1.6450218459037755e+18,479.0,887.0,8582.0,1
1.6450218459478044e+18,673.0,1530.0,8134.0,1
1.6450218459993216e+18,690.0,1602.0,8235.0,1
1.6450218460529126e+18,714.0,1457.0,8098.0,1
1.6450218460993446e+18,713.0,1192.0,8087.0,1
1.6450218461490092e+18,553.0,1315.0,8259.0,1
1.6450218462004493e+18,424.0,927.0,8540.0,1
1.6450218462542587e+18,403.0,1420.0,8042.0,1
1.6450218463035305e+18,427.0,1142.0,8443.0,1
1.6450218463549486e+18,510.0,641.0,8136.0,1
1.645021846399575e+18,402.0,671.0,8042.0,1
1.6450218464532127e+18,382.0,733.0,8166.0,1
1.6450218464994995e+18,350.0,474.0,8277.0,1
