timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_LEFT
1.6450220396914232e+18,-1002.0,177.0,8125.0,1
1.6450220397463168e+18,-1020.0,201.0,8027.0,1
1.6450220397927037e+18,-996.0,274.0,7991.0,1
1.6450220398438467e+18,-989.0,195.0,8040.0,1
1.6450220398918326e+18,-1021.0,240.0,8133.0,1
1.6450220399422228e+18,-1104.0,244.0,8140.0,1
1.645022039992553e+18,-1101.0,276.0,8103.0,1
1.6450220400449912e+18,-1084.0,238.0,8084.0,1
1.6450220400942692e+18,-1137.0,345.0,8018.0,1
1.6450220401426033e+18,-1091.0,314.0,7992.0,1
1.645022040189549e+18,-1161.0,184.0,8153.0,1
1.6450220402466327e+18,-1077.0,356.0,8139.0,1
1.6450220402943944e+18,-1079.0,390.0,8032.0,1
1.645022040345962e+18,-1063.0,414.0,8005.0,1
1.6450220403920049e+18,-1194.0,297.0,8128.0,1
1.6450220404438556e+18,-1119.0,479.0,7948.0,1
1.645022040493245e+18,-1099.0,426.0,7998.0,1
1.645022040544229e+18,-1103.0,546.0,8181.0,1
1.645022040596762e+18,-1036.0,518.0,8149.0,1
1.6450220406445967e+18,-1046.0,682.0,8061.0,1
1.6450220406895698e+18,-1147.0,604.0,8154.0,1
1.6450220407456387e+18,-1111.0,408.0,7982.0,1
1.6450220407939564e+18,-1077.0,402.0,8049.0,1
1.6450220408457546e+18,-1017.0,572.0,8085.0,1
1.6450220408951304e+18,-1006.0,661.0,7938.0,1
1.6450220409466514e+18,-991.0,598.0,8024.0,1
1.64502204099165e+18,-945.0,715.0,8019.0,1
1.6450220410365716e+18,-1020.0,733.0,8242.0,1
1.6450220410980529e+18,-1031.0,622.0,8309.0,1
1.6450220411461007e+18,-844.0,994.0,8089.0,1
1.645022041194173e+18,-944.0,1014.0,8362.0,1
1.6450220412450033e+18,-1018.0,731.0,8018.0,1
1.6450220412975892e+18,-1150.0,640.0,7916.0,1
1.645022041344346e+18,-971.0,674.0,7932.0,1
1.6450220413947753e+18,-1048.0,650.0,8217.0,1
1.645022041447372e+18,-1067.0,774.0,8050.0,1
1.6450220414949614e+18,-1071.0,930.0,7965.0,1
1.645022041543757e+18,-1139.0,943.0,8039.0,1
1.6450220415939208e+18,-979.0,1034.0,7915.0,1
1.6450220416449802e+18,-1076.0,1043.0,8166.0,1
1.6450220416971886e+18,-1017.0,1134.0,8105.0,1
1.6450220417446543e+18,-1049.0,1064.0,8130.0,1
1.6450220417995095e+18,-914.0,1160.0,7903.0,1
1.6450220418454717e+18,-974.0,1084.0,8051.0,1
1.6450220418942188e+18,-1118.0,1205.0,8233.0,1
1.645022041937193e+18,-1076.0,1273.0,8113.0,1
1.645022041996336e+18,-1051.0,1092.0,8127.0,1
1.645022042045712e+18,-948.0,1593.0,7857.0,1
1.6450220420946404e+18,-1014.0,1228.0,7869.0,1
1.6450220421451459e+18,-1141.0,1180.0,8081.0,1
1.645022042194781e+18,-1117.0,1350.0,8077.0,1
1.645022042244704e+18,-901.0,1306.0,8029.0,1
1.6450220422950446e+18,-946.0,1400.0,8074.0,1
1.6450220423448658e+18,-1066.0,1290.0,7988.0,1
1.6450220423944233e+18,-1016.0,1420.0,7875.0,1
1.6450220424442719e+18,-1148.0,1364.0,8067.0,1
1.6450220424951588e+18,-1107.0,1420.0,8040.0,1
1.6450220425510313e+18,-897.0,1400.0,7952.0,1
1.6450220425958016e+18,-835.0,1328.0,8099.0,1
1.6450220426506826e+18,-1029.0,1273.0,8231.0,1
1.64502204269605e+18,-1082.0,1432.0,7816.0,1
1.6450220427510817e+18,-1013.0,1350.0,7878.0,1
1.6450220427973783e+18,-801.0,1310.0,7949.0,1
1.6450220428462047e+18,-890.0,1445.0,8156.0,1
1.6450220428966147e+18,-912.0,1469.0,8115.0,1
1.6450220429456637e+18,-994.0,1360.0,8168.0,1
1.6450220429973156e+18,-1080.0,1335.0,8012.0,1
1.6450220430497792e+18,-798.0,1616.0,7756.0,1
1.6450220430955937e+18,-935.0,1474.0,8109.0,1
1.6450220431484157e+18,-1129.0,1285.0,8140.0,1
1.6450220431970534e+18,-1098.0,1554.0,7957.0,1
1.645022043248968e+18,-1064.0,1637.0,7988.0,1
1.6450220432966226e+18,-927.0,1383.0,7972.0,1
1.6450220433498924e+18,-1040.0,1377.0,7994.0,1
1.6450220433953805e+18,-859.0,1621.0,7834.0,1
1.6450220434495158e+18,-1015.0,1681.0,8218.0,1
1.64502204349598e+18,-1099.0,1522.0,8062.0,1
1.6450220435502735e+18,-1155.0,1912.0,7887.0,1
1.645022043595089e+18,-923.0,1679.0,8052.0,1
1.6450220436512282e+18,-791.0,1473.0,8029.0,1
1.6450220436958958e+18,-848.0,1449.0,8036.0,1
1.6450220437489815e+18,-901.0,1143.0,8190.0,1
1.6450220437991567e+18,-809.0,1407.0,7887.0,1
1.6450220438495283e+18,-834.0,1397.0,7904.0,1
1.645022043897434e+18,-788.0,1450.0,7877.0,1
1.6450220439496067e+18,-935.0,1429.0,8147.0,1
1.645022043994556e+18,-852.0,1578.0,8095.0,1
