timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.6450220030507694e+18,1359.0,7467.0,-1392.0,1
1.6450220030974615e+18,1454.0,7994.0,-1758.0,1
1.645022003145189e+18,1486.0,8387.0,-2122.0,1
1.6450220031947748e+18,1291.0,8472.0,-2297.0,1
1.6450220032491825e+18,1101.0,8417.0,-1744.0,1
1.6450220032940296e+18,1691.0,8719.0,-1504.0,1
1.64502200334684e+18,2148.0,8673.0,-1038.0,1
1.6450220033944591e+18,2024.0,9825.0,-613.0,1
1.6450220034502292e+18,2254.0,9166.0,275.0,1
1.6450220034989335e+18,1963.0,6415.0,3508.0,1
1.6450220035490102e+18,1703.0,4724.0,5853.0,1
1.6450220035938762e+18,1752.0,3723.0,6914.0,1
1.6450220036468895e+18,1825.0,3284.0,6826.0,1
1.6450220036944937e+18,1627.0,3523.0,6989.0,1
1.645022003749739e+18,1548.0,3156.0,7519.0,1
1.6450220037952015e+18,1647.0,3162.0,7606.0,1
1.6450220038490506e+18,1715.0,2757.0,7845.0,1
1.645022003901768e+18,1856.0,2616.0,7790.0,1
1.6450220039470167e+18,1863.0,2320.0,7793.0,1
1.6450220040019005e+18,1932.0,2362.0,8062.0,1
1.645022004049899e+18,2052.0,2767.0,8129.0,1
1.6450220041024717e+18,2239.0,2432.0,8243.0,1
1.64502200414708e+18,2560.0,2312.0,8302.0,1
1.6450220042001935e+18,2825.0,2574.0,8294.0,1
1.6450220042500273e+18,3086.0,2947.0,7784.0,1
1.645022004302665e+18,2696.0,3030.0,7134.0,1
1.6450220043477176e+18,2412.0,3387.0,6062.0,1
1.645022004400674e+18,1630.0,4311.0,5582.0,1
1.6450220044531054e+18,1461.0,5018.0,4771.0,1
1.6450220045028797e+18,1633.0,6007.0,3599.0,1
1.6450220045481556e+18,1212.0,6872.0,3749.0,1
1.645022004601279e+18,954.0,7083.0,3070.0,1
1.6450220046468288e+18,236.0,8341.0,2825.0,1
1.6450220047031201e+18,-497.0,7081.0,2728.0,1
1.6450220047475517e+18,-1120.0,7593.0,2394.0,1
1.6450220048037059e+18,-1180.0,8184.0,2482.0,1
1.6450220048495265e+18,-1119.0,8019.0,2682.0,1
1.6450220049042153e+18,-830.0,9078.0,2799.0,1
1.6450220049477345e+18,-810.0,7669.0,4204.0,1
1.6450220050013893e+18,-763.0,8644.0,4562.0,1
1.6450220050476137e+18,-737.0,7835.0,4931.0,1
1.645022005101752e+18,-361.0,8020.0,5063.0,1
1.6450220051449057e+18,-191.0,8521.0,4701.0,1
1.6450220052049981e+18,170.0,7682.0,3412.0,1
1.6450220052466317e+18,428.0,8982.0,1983.0,1
1.6450220052982554e+18,610.0,8708.0,1839.0,1
1.645022005346626e+18,1358.0,8506.0,1032.0,1
1.64502200540225e+18,1701.0,8575.0,-512.0,1
1.6450220054468221e+18,1737.0,7890.0,-976.0,1
1.645022005502404e+18,1475.0,8200.0,-1982.0,1
1.645022005551527e+18,1911.0,8335.0,-2674.0,1
1.6450220055980454e+18,2432.0,8315.0,-2543.0,1
1.645022005653324e+18,2813.0,7935.0,-2248.0,1
1.6450220057026337e+18,2943.0,8204.0,-1854.0,1
1.6450220057586417e+18,2719.0,8582.0,-1729.0,1
1.6450220058027438e+18,2616.0,7149.0,-475.0,1
1.645022005852425e+18,2560.0,6676.0,809.0,1
1.6450220059015447e+18,1814.0,7142.0,1238.0,1
1.6450220059516541e+18,1554.0,7659.0,1189.0,1
1.6450220060015616e+18,1311.0,5922.0,1546.0,1
1.6450220060531804e+18,828.0,7889.0,1472.0,1
1.645022006103305e+18,532.0,6802.0,1814.0,1
1.6450220061526226e+18,-158.0,7992.0,1349.0,1
1.6450220062014802e+18,-718.0,8735.0,1702.0,1
1.6450220062539569e+18,-1289.0,8498.0,2212.0,1
