timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_BIMANUAL
1.645021727704216e+18,-2899.0,7352.0,-2300.0,1
1.6450217277527114e+18,-3011.0,7384.0,-2305.0,1
1.6450217278038129e+18,-3007.0,7360.0,-2274.0,1
1.645021727853949e+18,-2970.0,7358.0,-2310.0,1
1.6450217278972797e+18,-3084.0,7387.0,-2274.0,1
1.6450217279533486e+18,-3191.0,6945.0,-2262.0,1
1.6450217280013806e+18,-3093.0,6854.0,-2258.0,1
1.6450217280546145e+18,-3222.0,7225.0,-2392.0,1
1.6450217281022671e+18,-3348.0,7509.0,-2490.0,1
1.6450217281552233e+18,-3399.0,7442.0,-2338.0,1
1.6450217281981466e+18,-3551.0,7257.0,-2447.0,1
1.6450217282529946e+18,-3714.0,7338.0,-2247.0,1
1.6450217283015685e+18,-3703.0,6892.0,-1681.0,1
1.6450217283552049e+18,-3594.0,7057.0,-1690.0,1
1.6450217284030835e+18,-3526.0,7667.0,-1405.0,1
1.6450217284552868e+18,-3360.0,7950.0,-1151.0,1
1.6450217285074122e+18,-3172.0,7928.0,-1159.0,1
1.645021728552646e+18,-2901.0,7811.0,-426.0,1
1.6450217286049518e+18,-2624.0,8233.0,-356.0,1
1.6450217286534054e+18,-2569.0,7299.0,770.0,1
1.645021728702707e+18,-2609.0,7867.0,955.0,1
1.6450217287534106e+18,-2569.0,7738.0,1260.0,1
1.6450217288074148e+18,-2565.0,7469.0,1398.0,1
1.6450217288518408e+18,-2605.0,7856.0,1386.0,1
1.6450217289034422e+18,-2665.0,7596.0,1450.0,1
1.645021728953174e+18,-2899.0,7340.0,1566.0,1
1.645021729006695e+18,-3058.0,7445.0,1651.0,1
1.6450217290535683e+18,-3118.0,7686.0,1674.0,1
1.6450217291075663e+18,-3146.0,7123.0,1963.0,1
1.6450217291588787e+18,-3142.0,7132.0,1999.0,1
1.6450217292032108e+18,-3083.0,7328.0,1919.0,1
1.6450217292521203e+18,-3134.0,7402.0,1881.0,1
1.6450217293082516e+18,-3184.0,7364.0,1847.0,1
1.645021729352658e+18,-3146.0,7370.0,1799.0,1
1.64502172940671e+18,-3183.0,7393.0,1826.0,1
1.645021729452795e+18,-3281.0,7622.0,1829.0,1
1.6450217295073544e+18,-3321.0,7968.0,1989.0,1
1.645021729553806e+18,-3228.0,7692.0,2360.0,1
1.6450217296075464e+18,-3317.0,6791.0,3193.0,1
1.645021729654806e+18,-3149.0,6593.0,3932.0,1
1.6450217297093281e+18,-3073.0,4497.0,5310.0,1
1.645021729753504e+18,-3049.0,5126.0,5690.0,1
1.6450217298003712e+18,-2892.0,4503.0,5418.0,1
1.6450217298539878e+18,-3382.0,4331.0,6111.0,1
1.645021729903129e+18,-3571.0,5076.0,6964.0,1
1.6450217299554885e+18,-3501.0,4378.0,8341.0,1
1.6450217300064038e+18,-2998.0,4715.0,8708.0,1
1.6450217300552893e+18,-2368.0,4070.0,9394.0,1
1.6450217301078538e+18,-1626.0,4426.0,8790.0,1
1.6450217301534305e+18,-1157.0,3877.0,8614.0,1
1.6450217302070853e+18,-110.0,3993.0,7641.0,1
1.6450217302531832e+18,572.0,3054.0,7240.0,1
1.6450217303065761e+18,1050.0,2952.0,6581.0,1
1.6450217303553503e+18,1282.0,3005.0,6892.0,1
1.6450217304076035e+18,2114.0,2218.0,6403.0,1
1.6450217304602726e+18,2783.0,2382.0,6495.0,1
1.6450217305034253e+18,3344.0,1969.0,6427.0,1
1.645021730557534e+18,3757.0,2032.0,6447.0,1
1.645021730606622e+18,3850.0,1650.0,6539.0,1
1.645021730659176e+18,3889.0,1551.0,6711.0,1
1.6450217307070948e+18,4209.0,1433.0,7019.0,1
1.6450217307586744e+18,4544.0,2391.0,7262.0,1
1.6450217308029693e+18,4844.0,2134.0,7543.0,1
1.6450217308567747e+18,5189.0,1269.0,6932.0,1
1.6450217309034506e+18,5110.0,22.0,6131.0,1
1.6450217309587674e+18,4422.0,-933.0,6985.0,1
1.6450217310032266e+18,4129.0,-1956.0,6208.0,1
1.6450217310569006e+18,3622.0,-2411.0,6476.0,1
1.6450217311056594e+18,3264.0,-2243.0,6519.0,1
1.6450217311575516e+18,3247.0,-2068.0,6775.0,1
1.6450217312044777e+18,3527.0,-2028.0,6775.0,1
1.6450217312577859e+18,3891.0,-1825.0,6984.0,1
1.64502173130715e+18,3958.0,-2406.0,7005.0,1
1.645021731358418e+18,3893.0,-1918.0,6984.0,1
1.6450217314074243e+18,3940.0,-1529.0,7404.0,1
1.645021731458604e+18,4124.0,-1476.0,7100.0,1
1.645021731503247e+18,4024.0,-1703.0,7320.0,1
1.6450217315589164e+18,3975.0,-1639.0,7418.0,1
1.6450217316039667e+18,3549.0,-2643.0,6961.0,1
1.645021731657357e+18,3285.0,-2298.0,7257.0,1
1.6450217317041572e+18,3181.0,-2637.0,7369.0,1
1.6450217317581002e+18,3428.0,-2293.0,7115.0,1
1.6450217318046595e+18,3508.0,-2232.0,7481.0,1
1.6450217318587098e+18,3460.0,-1715.0,7335.0,1
1.645021731902085e+18,3422.0,-1865.0,7398.0,1
1.645021731958632e+18,3419.0,-1683.0,7372.0,1
1.6450217320091154e+18,3606.0,-2010.0,7427.0,1
1.6450217320588022e+18,3645.0,-1936.0,7335.0,1
1.6450217321091633e+18,3418.0,-1847.0,7637.0,1
1.645021732158293e+18,3117.0,-683.0,7984.0,1
1.645021732210197e+18,3292.0,-1015.0,7420.0,1
1.6450217322555405e+18,3473.0,-1450.0,7312.0,1
1.6450217323121016e+18,3219.0,-1567.0,7557.0,1
1.6450217323579656e+18,3357.0,-1664.0,7309.0,1
1.6450217324071058e+18,3364.0,-1740.0,7410.0,1
1.6450217324554747e+18,3283.0,-1366.0,7482.0,1
1.645021732507858e+18,3274.0,-1506.0,7428.0,1
1.6450217325588124e+18,3430.0,-1286.0,7837.0,1
1.645021732612088e+18,3579.0,-1471.0,7635.0,1
1.6450217326579249e+18,3751.0,-1123.0,7359.0,1
1.645021732705669e+18,3656.0,-1417.0,7463.0,1
1.6450217327583767e+18,3492.0,-794.0,7423.0,1
1.6450217328133647e+18,3567.0,-1219.0,7551.0,1
1.6450217328557148e+18,3482.0,-1016.0,7779.0,1
1.6450217329107261e+18,3279.0,-1296.0,7952.0,1
1.645021732957022e+18,3271.0,-1765.0,7595.0,1
1.6450217330084872e+18,3229.0,-1120.0,7628.0,1
1.6450217330590418e+18,3079.0,-540.0,7601.0,1
1.6450217331083087e+18,3386.0,-651.0,7451.0,1
1.6450217331559706e+18,3280.0,-642.0,7248.0,1
1.6450217332085437e+18,3222.0,-853.0,7391.0,1
1.6450217332558006e+18,3319.0,-957.0,7679.0,1
1.6450217333084838e+18,3335.0,-630.0,7829.0,1
1.6450217333556856e+18,3287.0,-729.0,7931.0,1
1.6450217334081124e+18,3198.0,18.0,8102.0,1
1.6450217334575078e+18,3254.0,506.0,8045.0,1
1.645021733506427e+18,3701.0,351.0,7394.0,1
1.6450217335607014e+18,3596.0,41.0,7365.0,1
1.64502173361128e+18,3307.0,-337.0,7590.0,1
1.6450217336611085e+18,3108.0,-1505.0,8214.0,1
1.645021733708428e+18,3208.0,-608.0,7812.0,1
1.6450217337613668e+18,3290.0,-861.0,7638.0,1
1.645021733813983e+18,3083.0,-308.0,7839.0,1
1.6450217338627187e+18,2972.0,103.0,7569.0,1
1.6450217339113126e+18,3047.0,2.0,8000.0,1
1.645021733963167e+18,3257.0,-473.0,7604.0,1
1.645021734011173e+18,3114.0,85.0,7488.0,1
1.6450217340623043e+18,2921.0,330.0,7514.0,1
1.645021734110888e+18,2792.0,1353.0,7223.0,1
1.6450217341599895e+18,2963.0,722.0,7418.0,1
1.6450217342114084e+18,3272.0,228.0,7122.0,1
1.6450217342626476e+18,3771.0,700.0,7131.0,1
1.645021734315776e+18,3828.0,-464.0,7716.0,1
1.645021734362257e+18,3702.0,-1306.0,8564.0,1
1.645021734410967e+18,3091.0,-2675.0,8714.0,1
1.6450217344613435e+18,2979.0,-1794.0,9614.0,1
1.645021734511791e+18,3689.0,-449.0,9030.0,1
1.6450217345624381e+18,4161.0,1359.0,8823.0,1
1.6450217346120883e+18,4413.0,-1236.0,6935.0,1
1.6450217346623027e+18,4174.0,-518.0,6605.0,1
1.6450217347107768e+18,3355.0,-984.0,7940.0,1
1.6450217347560584e+18,2962.0,-795.0,6578.0,1
1.645021734810511e+18,3100.0,-1177.0,6906.0,1
1.6450217348622423e+18,3249.0,-1485.0,7155.0,1
1.645021734910743e+18,3096.0,-1818.0,7120.0,1
1.6450217349632914e+18,3070.0,-1411.0,7442.0,1
1.645021735011716e+18,3254.0,-1712.0,7148.0,1
1.6450217350652723e+18,3367.0,-2658.0,7263.0,1
1.645021735111677e+18,3279.0,-2281.0,7845.0,1
1.6450217351613166e+18,3427.0,-2992.0,7582.0,1
1.6450217352160955e+18,3402.0,-2306.0,7197.0,1
1.6450217352601766e+18,3390.0,-2305.0,6913.0,1
1.6450217353152765e+18,3319.0,-2408.0,7243.0,1
1.6450217353611884e+18,3371.0,-2730.0,7172.0,1
1.6450217354168865e+18,3296.0,-2907.0,7105.0,1
1.6450217354602637e+18,3378.0,-2407.0,6791.0,1
1.645021735511508e+18,3361.0,-3118.0,6994.0,1
1.64502173556056e+18,3340.0,-3013.0,7207.0,1
1.6450217356090445e+18,3098.0,-2717.0,7081.0,1
1.64502173566237e+18,3052.0,-2763.0,6827.0,1
1.6450217357157238e+18,3089.0,-3130.0,6980.0,1
1.6450217357620303e+18,3156.0,-3035.0,7139.0,1
1.6450217358148183e+18,3231.0,-3132.0,6903.0,1
1.64502173586127e+18,3238.0,-3079.0,6868.0,1
1.6450217359120356e+18,3192.0,-3089.0,6736.0,1
1.6450217359609928e+18,3037.0,-2993.0,7237.0,1
1.645021736011484e+18,2878.0,-3215.0,7441.0,1
1.6450217360607767e+18,2543.0,-3011.0,7307.0,1
1.6450217361118886e+18,2264.0,-2618.0,7287.0,1
1.6450217361611218e+18,2343.0,-2712.0,7158.0,1
1.6450217362126886e+18,2215.0,-2892.0,7455.0,1
1.6450217362628163e+18,2945.0,-2508.0,6967.0,1
1.6450217363162924e+18,4022.0,-2596.0,6151.0,1
1.6450217363623357e+18,4436.0,-1972.0,5722.0,1
1.6450217364136292e+18,3970.0,-3258.0,7012.0,1
1.6450217364602022e+18,3742.0,-4767.0,7052.0,1
1.64502173651587e+18,2905.0,-4963.0,9195.0,1
1.6450217365606633e+18,3008.0,-3062.0,9012.0,1
