timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, BOLT_LEFT
1.6455434852194394e+18,frame_8293.jpeg,1137.0,-810.0,-5623.0,1
1.6455434852697226e+18,frame_8294.jpeg,2060.0,2944.0,-7558.0,1
1.6455434853279245e+18,frame_8295.jpeg,4465.0,3914.0,-6778.0,1
1.6455434853667796e+18,frame_8296.jpeg,4459.0,3725.0,-6999.0,1
1.6455434854235848e+18,frame_8297.jpeg,3724.0,1601.0,-6394.0,1
1.645543485463079e+18,frame_8298.jpeg,4134.0,1668.0,-6340.0,1
1.6455434855233085e+18,frame_8299.jpeg,4162.0,1529.0,-6615.0,1
1.645543485574064e+18,frame_8300.jpeg,3841.0,1812.0,-6566.0,1
1.6455434856212713e+18,frame_8301.jpeg,4556.0,2052.0,-7049.0,1
1.6455434856690816e+18,frame_8302.jpeg,3972.0,1990.0,-6980.0,1
1.645543485722124e+18,frame_8303.jpeg,4614.0,1723.0,-6223.0,1
1.645543485768803e+18,frame_8304.jpeg,5368.0,2629.0,-6246.0,1
1.6455434858215954e+18,frame_8305.jpeg,4855.0,4121.0,-6258.0,1
1.6455434858689492e+18,frame_8306.jpeg,3452.0,3587.0,-5580.0,1
1.6455434859207864e+18,frame_8307.jpeg,1667.0,4481.0,-6678.0,1
1.645543485970898e+18,frame_8308.jpeg,-362.0,3561.0,-7349.0,1
1.6455434860195233e+18,frame_8309.jpeg,-2639.0,1298.0,-8248.0,1
1.645543486067735e+18,frame_8310.jpeg,-1224.0,394.0,-8337.0,1
1.6455434861243978e+18,frame_8311.jpeg,1794.0,-1811.0,-8776.0,1
1.6455434861759642e+18,frame_8312.jpeg,2199.0,-2605.0,-7350.0,1
1.6455434862241997e+18,frame_8313.jpeg,2562.0,-1973.0,-7499.0,1
1.6455434862739474e+18,frame_8314.jpeg,1492.0,-1646.0,-7288.0,1
1.6455434863337147e+18,frame_8315.jpeg,1745.0,-941.0,-7433.0,1
1.6455434863727104e+18,frame_8316.jpeg,3615.0,4770.0,-6761.0,1
1.6455434864229284e+18,frame_8317.jpeg,5401.0,7291.0,-6617.0,1
1.6455434864744888e+18,frame_8318.jpeg,549.0,7339.0,-6421.0,1
1.6455434865229865e+18,frame_8319.jpeg,-999.0,6760.0,-8415.0,1
1.6455434865728835e+18,frame_8320.jpeg,-2818.0,3104.0,-8098.0,1
1.6455434866216207e+18,frame_8321.jpeg,-3398.0,671.0,-7823.0,1
1.645543486672017e+18,frame_8322.jpeg,-2881.0,-1356.0,-8086.0,1
1.645543486722215e+18,frame_8323.jpeg,299.0,-1208.0,-8544.0,1
1.6455434867740995e+18,frame_8324.jpeg,2363.0,-2452.0,-9206.0,1
1.6455434868237386e+18,frame_8325.jpeg,3066.0,-696.0,-8181.0,1
1.6455434868811535e+18,frame_8326.jpeg,4366.0,936.0,-7713.0,1
1.6455434869233846e+18,frame_8327.jpeg,3735.0,3668.0,-5635.0,1
1.645543486970321e+18,frame_8328.jpeg,4932.0,6385.0,-5953.0,1
1.6455434870247818e+18,frame_8329.jpeg,1527.0,6760.0,-6381.0,1
1.6455434870719025e+18,frame_8330.jpeg,121.0,6561.0,-7507.0,1
1.6455434871219346e+18,frame_8331.jpeg,-949.0,5426.0,-8775.0,1
1.6455434871597537e+18,frame_8332.jpeg,-2905.0,2689.0,-9162.0,1
1.645543487205876e+18,frame_8333.jpeg,-3109.0,2376.0,-9200.0,1
1.6455434872764262e+18,frame_8334.jpeg,-2329.0,-3253.0,-9349.0,1
1.6455434873266186e+18,frame_8335.jpeg,3851.0,-1378.0,-8103.0,1
1.6455434873891113e+18,frame_8336.jpeg,4185.0,-1339.0,-8042.0,1
1.6455434874265856e+18,frame_8337.jpeg,5080.0,-290.0,-7605.0,1
1.645543487472011e+18,frame_8338.jpeg,3234.0,4545.0,-5437.0,1
1.6455434875189404e+18,frame_8339.jpeg,2469.0,7101.0,-6587.0,1
1.645543487573805e+18,frame_8340.jpeg,-552.0,7960.0,-7877.0,1
1.645543487621621e+18,frame_8341.jpeg,-2342.0,5511.0,-7912.0,1
1.6455434876732485e+18,frame_8342.jpeg,-3411.0,2338.0,-8487.0,1
1.6455434877200553e+18,frame_8343.jpeg,-3235.0,132.0,-8916.0,1
1.645543487773646e+18,frame_8344.jpeg,-681.0,-2167.0,-8919.0,1
1.645543487827828e+18,frame_8345.jpeg,4825.0,-3171.0,-8749.0,1
1.645543487874241e+18,frame_8346.jpeg,5478.0,-887.0,-7912.0,1
1.6455434879266143e+18,frame_8347.jpeg,2592.0,3129.0,-7800.0,1
1.6455434879765174e+18,frame_8348.jpeg,-17.0,4525.0,-6778.0,1
1.6455434880266417e+18,frame_8349.jpeg,-3775.0,3058.0,-4932.0,1
1.6455434880742781e+18,frame_8350.jpeg,-2594.0,1858.0,-5438.0,1
1.6455434881267464e+18,frame_8351.jpeg,-609.0,554.0,-6697.0,1
1.6455434881745423e+18,frame_8352.jpeg,-316.0,4525.0,-7526.0,1
1.6455434882302671e+18,frame_8353.jpeg,-89.0,6517.0,-9046.0,1
1.645543488277099e+18,frame_8354.jpeg,-1676.0,3417.0,-7270.0,1
1.6455434883319493e+18,frame_8355.jpeg,-987.0,3492.0,-6642.0,1
1.6455434883763215e+18,frame_8356.jpeg,1782.0,4056.0,-6342.0,1
1.6455434884264627e+18,frame_8357.jpeg,2677.0,4038.0,-6327.0,1
1.64554348847267e+18,frame_8358.jpeg,2270.0,3908.0,-5630.0,1
1.6455434885270367e+18,frame_8359.jpeg,3498.0,5209.0,-7487.0,1
1.6455434885753357e+18,frame_8360.jpeg,5317.0,5867.0,-7714.0,1
1.6455434886267574e+18,frame_8361.jpeg,987.0,3588.0,-4634.0,1
1.6455434886745354e+18,frame_8362.jpeg,-365.0,4218.0,-4873.0,1
1.6455434887269988e+18,frame_8363.jpeg,774.0,5835.0,-5913.0,1
1.6455434887755116e+18,frame_8364.jpeg,-321.0,5177.0,-6002.0,1
1.645543488828137e+18,frame_8365.jpeg,-2597.0,4770.0,-6802.0,1
1.645543488872806e+18,frame_8366.jpeg,-4792.0,4238.0,-6341.0,1
1.6455434889266263e+18,frame_8367.jpeg,-1868.0,4874.0,-6380.0,1
1.6455434889746798e+18,frame_8368.jpeg,-2637.0,3578.0,-6241.0,1
1.645543489026667e+18,frame_8369.jpeg,-2585.0,2160.0,-6011.0,1
1.645543489073658e+18,frame_8370.jpeg,1805.0,1512.0,-6499.0,1
1.6455434891311145e+18,frame_8371.jpeg,738.0,71.0,-7247.0,1
1.6455434891745283e+18,frame_8372.jpeg,3599.0,9.0,-8825.0,1
1.645543489227183e+18,frame_8373.jpeg,1345.0,357.0,-7834.0,1
1.645543489275614e+18,frame_8374.jpeg,1032.0,-692.0,-11000.0,1
1.6455434893263227e+18,frame_8375.jpeg,-1255.0,-2843.0,-7947.0,1
1.6455434893805596e+18,frame_8376.jpeg,-2768.0,-1890.0,-8692.0,1
1.6455434894281692e+18,frame_8377.jpeg,-1432.0,-1173.0,-9546.0,1
