timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY2_RIGHT
1.6455431728791078e+18,-6976.0,2608.0,1352.0,1
1.6455431729337782e+18,-7886.0,3028.0,1650.0,1
1.6455431729795185e+18,-6463.0,3464.0,1021.0,1
1.6455431730285955e+18,-7262.0,4131.0,103.0,1
1.645543173080998e+18,-7175.0,4399.0,-18.0,1
1.6455431731341967e+18,-7355.0,4020.0,164.0,1
1.6455431731771597e+18,-7337.0,4393.0,216.0,1
1.645543173229752e+18,-7827.0,4462.0,188.0,1
1.6455431732774927e+18,-7063.0,4720.0,-19.0,1
1.645543173330663e+18,-7284.0,4274.0,-153.0,1
1.645543173376185e+18,-7788.0,4245.0,-422.0,1
1.6455431734350126e+18,-7914.0,3764.0,-185.0,1
1.645543173481322e+18,-7818.0,4443.0,95.0,1
1.645543173534575e+18,-8591.0,4295.0,-412.0,1
1.6455431735791598e+18,-7537.0,3845.0,-571.0,1
1.6455431736327288e+18,-7145.0,2899.0,-1121.0,1
1.6455431736829742e+18,-7722.0,2754.0,-1774.0,1
1.6455431737335764e+18,-8098.0,3345.0,-2677.0,1
1.6455431737778563e+18,-6831.0,3000.0,-2223.0,1
1.6455431738306668e+18,-6479.0,2576.0,-2603.0,1
1.6455431738828992e+18,-7762.0,2907.0,-3028.0,1
1.6455431739343677e+18,-6730.0,2537.0,-2842.0,1
1.6455431739874934e+18,-7411.0,3596.0,-3254.0,1
1.6455431740350387e+18,-6286.0,3229.0,-2846.0,1
1.6455431740825096e+18,-6517.0,4199.0,-3347.0,1
1.6455431741304847e+18,-6062.0,4461.0,-2979.0,1
1.645543174181867e+18,-5096.0,4232.0,-2456.0,1
1.6455431742308147e+18,-6108.0,5442.0,-2754.0,1
1.6455431742824082e+18,-5101.0,4952.0,-1934.0,1
1.645543174329063e+18,-6861.0,5163.0,-1441.0,1
1.6455431743875822e+18,-6934.0,5023.0,-2401.0,1
1.6455431744353178e+18,-4671.0,4095.0,-3352.0,1
1.645543174483908e+18,-4960.0,4108.0,-5265.0,1
1.6455431745329085e+18,-4586.0,3171.0,-4275.0,1
1.645543174582866e+18,-6976.0,3957.0,-3421.0,1
1.6455431746323912e+18,-7557.0,4902.0,-3312.0,1
1.6455431746789097e+18,-7165.0,4590.0,-2832.0,1
1.6455431747326236e+18,-6708.0,4784.0,-2141.0,1
1.6455431747838781e+18,-6757.0,5136.0,-1827.0,1
1.645543174832746e+18,-6390.0,5065.0,-1916.0,1
1.645543174883405e+18,-5774.0,5024.0,-2618.0,1
1.6455431749327232e+18,-5184.0,4968.0,-3124.0,1
1.645543174984376e+18,-5127.0,5257.0,-3282.0,1
1.6455431750294185e+18,-5248.0,5282.0,-3255.0,1
1.6455431750843922e+18,-5392.0,4794.0,-3029.0,1
1.6455431751329805e+18,-6331.0,4954.0,-2972.0,1
1.6455431751855345e+18,-6314.0,4830.0,-3122.0,1
1.6455431752319247e+18,-5743.0,4906.0,-3343.0,1
1.6455431752842816e+18,-5771.0,4856.0,-3164.0,1
1.6455431753287524e+18,-6621.0,4622.0,-3394.0,1
1.645543175383897e+18,-6722.0,3978.0,-3252.0,1
1.6455431754336013e+18,-6096.0,3899.0,-3626.0,1
1.6455431754848466e+18,-5602.0,4163.0,-4272.0,1
1.6455431755338255e+18,-5280.0,4245.0,-3795.0,1
1.645543175585087e+18,-5912.0,4288.0,-3714.0,1
1.6455431756389064e+18,-6477.0,4251.0,-3658.0,1
1.6455431756828357e+18,-6789.0,3946.0,-4003.0,1
1.645543175737798e+18,-6257.0,3570.0,-3996.0,1
1.6455431757871227e+18,-6234.0,3528.0,-4189.0,1
1.6455431758362742e+18,-6272.0,3597.0,-4087.0,1
1.645543175880675e+18,-6297.0,3472.0,-4375.0,1
1.6455431759359332e+18,-5945.0,3554.0,-4393.0,1
1.6455431759876503e+18,-6285.0,3397.0,-4286.0,1
1.645543176033254e+18,-6339.0,3395.0,-4331.0,1
1.6455431760887885e+18,-6257.0,3397.0,-4403.0,1
1.6455431761362148e+18,-5679.0,3381.0,-4533.0,1
1.645543176181259e+18,-5778.0,3547.0,-4371.0,1
1.645543176236643e+18,-6359.0,3217.0,-4387.0,1
1.6455431762866524e+18,-6299.0,3206.0,-4295.0,1
1.6455431763341133e+18,-6729.0,2920.0,-4366.0,1
1.6455431763855734e+18,-6769.0,3372.0,-3834.0,1
1.6455431764356705e+18,-6131.0,3112.0,-4439.0,1
1.645543176483928e+18,-5999.0,3372.0,-4386.0,1
1.6455431765362066e+18,-6179.0,3325.0,-4146.0,1
1.645543176581308e+18,-6265.0,3171.0,-4370.0,1
1.6455431766341742e+18,-5899.0,3689.0,-4144.0,1
1.6455431766813414e+18,-6825.0,2830.0,-3988.0,1
1.6455431767355512e+18,-7975.0,1005.0,-4849.0,1
1.6455431767854874e+18,-7269.0,1991.0,-3955.0,1
1.645543176836563e+18,-6748.0,4203.0,-2653.0,1
1.6455431768860582e+18,-5792.0,3940.0,-4178.0,1
1.6455431769373517e+18,-5924.0,3650.0,-4331.0,1
1.6455431769785564e+18,-6052.0,3018.0,-4269.0,1
1.6455431770366743e+18,-7271.0,1689.0,-4229.0,1
1.6455431770841303e+18,-7097.0,2529.0,-4050.0,1
1.645543177139299e+18,-6462.0,2498.0,-4326.0,1
1.6455431771889733e+18,-7858.0,3504.0,-2765.0,1
1.6455431772342152e+18,-6455.0,2410.0,-3811.0,1
1.6455431772908278e+18,-7040.0,1808.0,-4794.0,1
1.645543177337637e+18,-5770.0,2678.0,-5018.0,1
1.6455431773869612e+18,-6226.0,2158.0,-5032.0,1
1.6455431774337306e+18,-7575.0,3551.0,-2522.0,1
1.6455431774876365e+18,-6932.0,374.0,-5516.0,1
1.6455431775373944e+18,-8575.0,3031.0,-2301.0,1
1.6455431775871823e+18,-5736.0,4616.0,-3389.0,1
1.6455431776370688e+18,-5723.0,2634.0,-4342.0,1
1.6455431776927084e+18,-7702.0,1602.0,-4726.0,1
1.6455431777325312e+18,-5570.0,2824.0,-4587.0,1
1.6455431777869614e+18,-7249.0,2159.0,-3841.0,1
1.6455431778339361e+18,-7610.0,4027.0,-2777.0,1
1.6455431778870838e+18,-6270.0,2023.0,-4771.0,1
1.6455431779359967e+18,-7332.0,2282.0,-4017.0,1
1.645543177974207e+18,-6572.0,2270.0,-3410.0,1
1.6455431780257034e+18,-8648.0,2287.0,-3914.0,1
1.6455431780919995e+18,-6791.0,4268.0,-3213.0,1
1.6455431781498993e+18,-6434.0,4173.0,-2112.0,1
1.6455431781885486e+18,-6512.0,2517.0,-2692.0,1
1.6455431782259005e+18,-7145.0,2120.0,-2584.0,1
1.645543178286844e+18,-6889.0,2412.0,-4585.0,1
1.645543178329677e+18,-7983.0,2005.0,-3969.0,1
1.6455431783887885e+18,-5201.0,3994.0,-4220.0,1
1.6455431784307525e+18,-6648.0,2328.0,-3755.0,1
1.6455431784860616e+18,-6331.0,3756.0,-4075.0,1
1.6455431785381092e+18,-8374.0,2004.0,-3444.0,1
1.6455431785871378e+18,-5727.0,3360.0,-3619.0,1
1.645543178618649e+18,-7890.0,3430.0,-3219.0,1
1.645543178688457e+18,-6627.0,3112.0,-3526.0,1
1.6455431787366077e+18,-7455.0,1621.0,-4740.0,1
1.6455431787876646e+18,-5587.0,3056.0,-4278.0,1
1.6455431788422252e+18,-3644.0,5648.0,-3908.0,1
1.6455431788874593e+18,-5769.0,6959.0,-4199.0,1
1.6455431789365724e+18,-4500.0,4529.0,-2431.0,1
1.6455431789873595e+18,-4836.0,3123.0,-1449.0,1
1.6455431790455872e+18,-6792.0,4298.0,-2681.0,1
1.645543179088936e+18,-7361.0,5453.0,-4702.0,1
1.6455431791410954e+18,-6409.0,4781.0,-5739.0,1
1.6455431832468093e+18,-5525.0,3623.0,3212.0,1
1.6455431832933793e+18,-3679.0,4154.0,1380.0,1
1.6455431833447985e+18,-2804.0,4638.0,282.0,1
1.6455431833902126e+18,-2865.0,4554.0,-140.0,1
1.6455431834472637e+18,-4165.0,7796.0,-858.0,1
1.645543183488559e+18,-4445.0,9149.0,-2360.0,1
1.6455431835389384e+18,-4322.0,7650.0,-2335.0,1
1.6455431835908306e+18,-4725.0,2068.0,358.0,1
1.645543183645536e+18,-6986.0,-1801.0,4635.0,1
1.645543183696992e+18,-6812.0,-274.0,6684.0,1
1.6455431837417213e+18,-4196.0,2972.0,3020.0,1
1.6455431837973711e+18,-9884.0,4474.0,-1071.0,1
1.645543183844721e+18,-8627.0,4251.0,-1182.0,1
1.6455431838969523e+18,-7053.0,4821.0,-839.0,1
1.6455431839440579e+18,-7375.0,3585.0,-53.0,1
1.645543183996782e+18,-7603.0,4688.0,67.0,1
1.645543184045059e+18,-6405.0,3656.0,273.0,1
1.6455431840963615e+18,-6146.0,4922.0,392.0,1
1.6455431841382548e+18,-6655.0,4986.0,464.0,1
1.6455431841967186e+18,-7217.0,5803.0,342.0,1
1.6455431842451474e+18,-7302.0,5584.0,882.0,1
1.6455431842970831e+18,-6953.0,5463.0,641.0,1
1.645543184345112e+18,-6748.0,5782.0,980.0,1
1.6455431843964736e+18,-6310.0,5864.0,1937.0,1
1.6455431844442555e+18,-6029.0,5937.0,2364.0,1
1.645543184496093e+18,-6901.0,6163.0,2563.0,1
1.645543184545479e+18,-7020.0,5632.0,2585.0,1
1.6455431845971397e+18,-7025.0,6068.0,2757.0,1
1.6455431846464548e+18,-6835.0,5513.0,1677.0,1
1.6455431846978941e+18,-6839.0,5378.0,1887.0,1
1.645543184746254e+18,-7110.0,4820.0,1540.0,1
1.6455431847929846e+18,-7431.0,4997.0,1079.0,1
1.6455431848435195e+18,-7276.0,4433.0,472.0,1
1.6455431848963476e+18,-7670.0,3702.0,-341.0,1
1.6455431849433434e+18,-7899.0,2663.0,-1665.0,1
1.6455431849966518e+18,-6330.0,2812.0,-2619.0,1
1.6455431850472983e+18,-5147.0,1654.0,-4188.0,1
1.6455431851004552e+18,-5403.0,2146.0,-4496.0,1
1.6455431851408545e+18,-6136.0,1827.0,-5129.0,1
1.6455431851951987e+18,-4569.0,1565.0,-5220.0,1
1.6455431852477245e+18,-5915.0,968.0,-5963.0,1
1.6455431852939023e+18,-6446.0,799.0,-5736.0,1
