timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_LEFT
1.6455434852232906e+18,-2058.0,1896.0,-8303.0,1
1.6455434852702707e+18,-1015.0,5025.0,-9585.0,1
1.645543485320867e+18,-242.0,5121.0,-7472.0,1
1.6455434853697828e+18,-1870.0,3205.0,-4284.0,1
1.645543485423933e+18,-3067.0,-1311.0,-1646.0,1
1.6455434854699886e+18,-5621.0,3266.0,-5047.0,1
1.6455434855220403e+18,-5020.0,6811.0,-4668.0,1
1.6455434855778724e+18,-6303.0,8198.0,-4155.0,1
1.6455434856253425e+18,-9042.0,8678.0,-1642.0,1
1.6455434856696412e+18,-5320.0,7183.0,-2070.0,1
1.645543485723424e+18,-7070.0,7436.0,-3314.0,1
1.6455434857702912e+18,-6530.0,5394.0,-3575.0,1
1.6455434858232796e+18,-5600.0,5295.0,-1853.0,1
1.645543485870988e+18,-6507.0,5112.0,-1091.0,1
1.6455434859247365e+18,-6310.0,5009.0,-1013.0,1
1.6455434859717243e+18,-6192.0,4925.0,-775.0,1
1.6455434860203272e+18,-7204.0,5626.0,87.0,1
1.645543486070865e+18,-6717.0,5074.0,-534.0,1
1.645543486124616e+18,-6647.0,4924.0,-172.0,1
1.6455434861759764e+18,-6526.0,4768.0,-732.0,1
1.645543486220135e+18,-7214.0,4964.0,-328.0,1
1.645543486275867e+18,-6439.0,4477.0,-720.0,1
1.6455434863201984e+18,-7294.0,4685.0,-561.0,1
1.6455434863715745e+18,-6790.0,4797.0,-809.0,1
1.6455434864201882e+18,-6732.0,4933.0,-684.0,1
1.645543486475566e+18,-6583.0,4675.0,-713.0,1
1.645543486524801e+18,-6954.0,4707.0,-876.0,1
1.6455434865760545e+18,-6716.0,4450.0,-856.0,1
1.6455434866209544e+18,-7321.0,4829.0,-705.0,1
1.645543486675349e+18,-6835.0,4732.0,-749.0,1
1.645543486718896e+18,-6686.0,4501.0,-799.0,1
1.64554348677552e+18,-6869.0,4292.0,-986.0,1
1.645543486820948e+18,-7281.0,4856.0,-665.0,1
1.645543486876009e+18,-6498.0,4890.0,-898.0,1
1.6455434869231227e+18,-6660.0,4634.0,-610.0,1
1.6455434869694758e+18,-6895.0,4606.0,-762.0,1
1.645543487025662e+18,-6808.0,4650.0,-760.0,1
1.645543487069343e+18,-7026.0,4754.0,-827.0,1
1.6455434871214602e+18,-6974.0,4725.0,-787.0,1
1.645543487178585e+18,-6762.0,4534.0,-640.0,1
1.6455434872197837e+18,-6912.0,4500.0,-1011.0,1
1.6455434872770708e+18,-6918.0,4493.0,-820.0,1
1.6455434873252316e+18,-7066.0,4776.0,-734.0,1
1.645543487372842e+18,-6611.0,4779.0,-935.0,1
1.6455434874208376e+18,-6460.0,4611.0,-713.0,1
1.645543487470046e+18,-6852.0,4598.0,-893.0,1
1.6455434875213878e+18,-6787.0,4710.0,-1009.0,1
1.64554348757467e+18,-6713.0,4715.0,-980.0,1
1.6455434876250504e+18,-7056.0,4683.0,-747.0,1
1.645543487675555e+18,-6819.0,4469.0,-1125.0,1
1.6455434877215135e+18,-7071.0,4711.0,-816.0,1
1.6455434877754207e+18,-6720.0,4604.0,-950.0,1
1.6455434878247642e+18,-6905.0,4552.0,-919.0,1
1.6455434878730977e+18,-7095.0,4746.0,-1017.0,1
1.6455434879253414e+18,-6521.0,4621.0,-849.0,1
1.64554348796899e+18,-6526.0,4518.0,-1072.0,1
1.645543488026772e+18,-7169.0,4597.0,-1130.0,1
1.6455434880731612e+18,-6646.0,4552.0,-1080.0,1
1.6455434881273047e+18,-6744.0,4675.0,-999.0,1
1.6455434881761009e+18,-7135.0,4890.0,-1003.0,1
1.6455434882287677e+18,-6850.0,4601.0,-972.0,1
1.6455434882760177e+18,-6620.0,4748.0,-1034.0,1
1.645543488326715e+18,-7143.0,4687.0,-1368.0,1
1.6455434883698908e+18,-6995.0,4644.0,-1693.0,1
1.645543488426264e+18,-6127.0,5009.0,-1688.0,1
1.6455434884782226e+18,-6499.0,3877.0,-2363.0,1
1.6455434885265723e+18,-6588.0,4186.0,-2302.0,1
1.645543488575851e+18,-6717.0,4260.0,-1937.0,1
1.6455434886238618e+18,-7093.0,4839.0,-2083.0,1
1.6455434886756562e+18,-6455.0,4317.0,-2052.0,1
1.6455434887268854e+18,-6265.0,4390.0,-2081.0,1
1.6455434887714665e+18,-6789.0,4682.0,-1674.0,1
1.6455434888251945e+18,-6611.0,4609.0,-1976.0,1
1.6455434888735468e+18,-7025.0,4600.0,-1926.0,1
1.6455434889260838e+18,-6540.0,4521.0,-1734.0,1
1.645543488972845e+18,-6877.0,4855.0,-1965.0,1
1.6455434890262932e+18,-6332.0,4620.0,-2177.0,1
1.6455434890716257e+18,-6577.0,4604.0,-2167.0,1
1.6455434891228124e+18,-6305.0,4647.0,-1894.0,1
1.6455434891734554e+18,-6619.0,4779.0,-2453.0,1
1.6455434892311357e+18,-6773.0,4965.0,-1998.0,1
1.6455434892736276e+18,-5960.0,4912.0,-2445.0,1
1.6455434893245002e+18,-5997.0,4926.0,-2106.0,1
1.6455434893761006e+18,-6144.0,5307.0,-2078.0,1
1.6455434894290785e+18,-6065.0,7388.0,-2557.0,1
