timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_RIGHT
1.645543172879623e+18,-1489.0,7814.0,291.0,1
1.645543172929426e+18,-1683.0,8845.0,40.0,1
1.6455431729798863e+18,-1868.0,7432.0,197.0,1
1.645543173029079e+18,-2197.0,7833.0,518.0,1
1.6455431730813123e+18,-2154.0,7636.0,258.0,1
1.6455431731345887e+18,-2467.0,8333.0,587.0,1
1.645543173177578e+18,-2590.0,8103.0,485.0,1
1.6455431732300367e+18,-2647.0,8518.0,496.0,1
1.6455431732777362e+18,-2631.0,7991.0,207.0,1
1.6455431733311373e+18,-2706.0,7949.0,766.0,1
1.6455431733764892e+18,-2816.0,8309.0,1133.0,1
1.6455431734353864e+18,-2806.0,8125.0,1661.0,1
1.645543173476863e+18,-2446.0,8654.0,886.0,1
1.6455431735348849e+18,-2143.0,8734.0,1505.0,1
1.6455431735795039e+18,-2198.0,7817.0,1885.0,1
1.6455431736331128e+18,-2268.0,7063.0,2941.0,1
1.645543173683398e+18,-2451.0,7176.0,3973.0,1
1.645543173734198e+18,-2388.0,7560.0,4043.0,1
1.6455431737781484e+18,-1967.0,6765.0,3802.0,1
1.6455431738309714e+18,-1748.0,5946.0,4446.0,1
1.6455431738782374e+18,-1953.0,7204.0,5069.0,1
1.6455431739346414e+18,-1600.0,6041.0,5317.0,1
1.6455431739834227e+18,-1595.0,6874.0,5211.0,1
1.645543174035509e+18,-1821.0,5780.0,5883.0,1
1.6455431740828022e+18,-1649.0,5815.0,5498.0,1
1.6455431741308723e+18,-1408.0,5197.0,5356.0,1
1.6455431741822838e+18,-1511.0,3994.0,5914.0,1
1.6455431742311642e+18,-1623.0,5735.0,5204.0,1
1.6455431742827054e+18,-1772.0,4376.0,5483.0,1
1.645543174329511e+18,-1627.0,6738.0,5762.0,1
1.6455431743878098e+18,-784.0,6333.0,4623.0,1
1.64554317443571e+18,-841.0,4772.0,5722.0,1
1.6455431744842918e+18,-1560.0,3354.0,7860.0,1
1.6455431745332823e+18,-1583.0,4408.0,7046.0,1
1.6455431745831785e+18,-1312.0,5800.0,6335.0,1
1.645543174632679e+18,-1898.0,6919.0,6378.0,1
1.6455431746792653e+18,-1610.0,6190.0,6114.0,1
1.6455431747329615e+18,-1669.0,6274.0,5443.0,1
1.6455431747843154e+18,-1673.0,6702.0,4986.0,1
1.6455431748330547e+18,-1586.0,6114.0,4883.0,1
1.6455431748838152e+18,-1767.0,5371.0,5709.0,1
1.6455431749330017e+18,-1706.0,5058.0,5643.0,1
1.6455431749847693e+18,-2084.0,5140.0,6039.0,1
1.6455431750346445e+18,-2101.0,5100.0,5874.0,1
1.645543175084681e+18,-1753.0,5032.0,5910.0,1
1.645543175128543e+18,-1523.0,6020.0,5662.0,1
1.6455431751858463e+18,-1626.0,5846.0,5945.0,1
1.6455431752323907e+18,-1869.0,5315.0,5698.0,1
1.645543175284576e+18,-1813.0,5554.0,5364.0,1
1.6455431753289364e+18,-1700.0,6660.0,5833.0,1
1.6455431753842463e+18,-1142.0,6043.0,5893.0,1
1.645543175429041e+18,-1517.0,5331.0,6027.0,1
1.6455431754851773e+18,-1682.0,5465.0,5979.0,1
1.6455431755294566e+18,-1748.0,5407.0,5250.0,1
1.6455431755856525e+18,-1847.0,5677.0,5245.0,1
1.645543175639297e+18,-2004.0,5991.0,5595.0,1
1.64554317568325e+18,-2061.0,6168.0,6125.0,1
1.6455431757334482e+18,-1668.0,5773.0,5648.0,1
1.6455431757876127e+18,-1680.0,5863.0,5633.0,1
1.645543175836603e+18,-1917.0,5863.0,5547.0,1
1.6455431758811036e+18,-1901.0,5814.0,5784.0,1
1.645543175936418e+18,-2080.0,5513.0,5605.0,1
1.6455431759879534e+18,-1846.0,5835.0,5710.0,1
1.6455431760366976e+18,-1906.0,5804.0,5633.0,1
1.6455431760890918e+18,-2091.0,5759.0,5753.0,1
1.645543176136528e+18,-2042.0,5141.0,5401.0,1
1.645543176181619e+18,-2354.0,5550.0,5532.0,1
1.645543176236837e+18,-2088.0,5618.0,5711.0,1
1.6455431762869921e+18,-2002.0,5894.0,5613.0,1
1.645543176334533e+18,-1894.0,5795.0,5929.0,1
1.645543176385932e+18,-2036.0,6075.0,5252.0,1
1.6455431764360438e+18,-2263.0,5262.0,5709.0,1
1.6455431764843922e+18,-2519.0,5282.0,5596.0,1
1.6455431765364746e+18,-2269.0,5473.0,5320.0,1
1.6455431765815347e+18,-2426.0,5337.0,5769.0,1
1.6455431766391606e+18,-3140.0,5168.0,5382.0,1
1.6455431766816466e+18,-1959.0,5699.0,5515.0,1
1.6455431767358234e+18,-1061.0,5942.0,7498.0,1
1.6455431767859392e+18,-1434.0,5873.0,6252.0,1
1.6455431768368963e+18,-2818.0,5885.0,4033.0,1
1.6455431768863716e+18,-3485.0,4665.0,5399.0,1
1.6455431769377288e+18,-3455.0,4809.0,5472.0,1
1.645543176982397e+18,-2605.0,4791.0,5468.0,1
1.6455431770370301e+18,-1466.0,5815.0,6191.0,1
1.6455431770808005e+18,-2556.0,5790.0,5978.0,1
1.6455431771322458e+18,-2478.0,4891.0,5736.0,1
1.6455431771894193e+18,-2966.0,6310.0,4813.0,1
1.6455431772344714e+18,-2148.0,4790.0,5266.0,1
1.645543177286488e+18,-2322.0,5135.0,6563.0,1
1.6455431773379914e+18,-3299.0,4390.0,5960.0,1
1.6455431773871997e+18,-3134.0,4726.0,6206.0,1
1.645543177434102e+18,-2925.0,6834.0,4243.0,1
1.6455431774880317e+18,-2027.0,4566.0,7591.0,1
1.6455431775377485e+18,-2454.0,6959.0,4568.0,1
1.6455431775876884e+18,-4320.0,5150.0,4374.0,1
1.6455431776375058e+18,-2703.0,3788.0,5575.0,1
1.6455431776929933e+18,-2951.0,5814.0,7475.0,1
1.64554317773282e+18,-3440.0,3937.0,5411.0,1
1.6455431777873567e+18,-2703.0,5108.0,6141.0,1
1.645543177834381e+18,-4125.0,5922.0,4446.0,1
1.6455431778876503e+18,-3100.0,4128.0,6868.0,1
1.6455431779363796e+18,-2821.0,5380.0,5923.0,1
1.6455431779717978e+18,-1970.0,4525.0,4861.0,1
1.645543178025414e+18,-3161.0,7279.0,6620.0,1
1.6455431780922066e+18,-3817.0,6000.0,4061.0,1
1.645543178127476e+18,-3869.0,6235.0,3370.0,1
1.6455431781888983e+18,-1906.0,5911.0,4019.0,1
1.6455431782260598e+18,-1198.0,6713.0,4010.0,1
1.6455431782872602e+18,-2652.0,6234.0,5241.0,1
