timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_RIGHT
1.6455431701764104e+18,-3540.0,4572.0,5662.0,1
1.6455431702247314e+18,-3548.0,4636.0,5680.0,1
1.6455431702746906e+18,-3520.0,4492.0,5623.0,1
1.645543170325263e+18,-3547.0,4568.0,5660.0,1
1.6455431703748675e+18,-3573.0,4517.0,5717.0,1
1.645543170428998e+18,-3511.0,4584.0,5665.0,1
1.6455431704787185e+18,-3624.0,4569.0,5745.0,1
1.645543170529525e+18,-3491.0,4416.0,5765.0,1
1.645543170574106e+18,-3662.0,4431.0,5611.0,1
1.6455431706279516e+18,-3632.0,4406.0,5761.0,1
1.645543170676316e+18,-3939.0,4574.0,5896.0,1
1.6455431707297144e+18,-3820.0,4939.0,6293.0,1
1.6455431707793034e+18,-3456.0,4814.0,6336.0,1
1.6455431708285553e+18,-3104.0,4908.0,6006.0,1
1.64554317087906e+18,-3106.0,5131.0,5648.0,1
1.645543170928015e+18,-2938.0,4414.0,5803.0,1
1.6455431709788928e+18,-2429.0,5207.0,5482.0,1
1.645543171028206e+18,-2519.0,4909.0,5682.0,1
1.6455431710839726e+18,-2607.0,5218.0,5878.0,1
1.6455431711282627e+18,-2502.0,4352.0,5712.0,1
1.645543171180917e+18,-2443.0,5431.0,5601.0,1
1.6455431712306084e+18,-2596.0,5317.0,5737.0,1
1.6455431712755346e+18,-2423.0,5205.0,5390.0,1
1.645543171328531e+18,-2511.0,4615.0,5247.0,1
1.64554317138023e+18,-2537.0,5968.0,3439.0,1
1.6455431714303532e+18,-2538.0,7043.0,2551.0,1
1.6455431714809155e+18,-2307.0,8894.0,252.0,1
1.6455431715285074e+18,-2396.0,8383.0,126.0,1
1.6455431715848814e+18,-2442.0,7944.0,-273.0,1
1.6455431716271468e+18,-2591.0,8533.0,-700.0,1
1.6455431716835267e+18,-2451.0,7714.0,-307.0,1
1.645543171727464e+18,-2457.0,7740.0,-505.0,1
1.6455431717782182e+18,-2286.0,7708.0,-551.0,1
1.6455431718286784e+18,-1943.0,8969.0,-1285.0,1
1.6455431718761021e+18,-1779.0,8229.0,-1231.0,1
1.6455431719280684e+18,-2318.0,8038.0,-862.0,1
1.6455431719788196e+18,-2412.0,8099.0,-1188.0,1
1.6455431720277043e+18,-2348.0,8086.0,-1356.0,1
1.6455431720806446e+18,-2420.0,8285.0,-733.0,1
1.6455431721284959e+18,-2257.0,8411.0,-1291.0,1
