timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, DELIVERY_BIMANUAL
1.64554467977681e+18,frame_1132.jpeg,3369.0,-1834.0,1756.0,1
1.6455446798213696e+18,frame_1133.jpeg,2980.0,-2523.0,893.0,1
1.6455446798803558e+18,frame_1134.jpeg,3050.0,-2519.0,736.0,1
1.6455446799241636e+18,frame_1135.jpeg,3370.0,-2679.0,-2805.0,1
1.645544679977994e+18,frame_1136.jpeg,1783.0,-2277.0,-5780.0,1
1.6455446800230584e+18,frame_1137.jpeg,2093.0,-2038.0,-7284.0,1
1.6455446800759777e+18,frame_1138.jpeg,913.0,-2748.0,-7066.0,1
1.6455446801214712e+18,frame_1139.jpeg,1022.0,-2894.0,-6888.0,1
1.645544680176092e+18,frame_1140.jpeg,840.0,-3098.0,-7372.0,1
1.6455446802224297e+18,frame_1141.jpeg,920.0,-3151.0,-7621.0,1
1.64554468027424e+18,frame_1142.jpeg,1427.0,-3101.0,-7780.0,1
1.645544680320389e+18,frame_1143.jpeg,971.0,-2628.0,-7779.0,1
1.6455446803711434e+18,frame_1144.jpeg,1246.0,-2028.0,-7288.0,1
1.645544680422752e+18,frame_1145.jpeg,1227.0,-1827.0,-7185.0,1
1.645544680476817e+18,frame_1146.jpeg,1466.0,-1269.0,-7924.0,1
1.6455446805233231e+18,frame_1147.jpeg,1664.0,-1502.0,-7628.0,1
1.645544680578966e+18,frame_1148.jpeg,1649.0,-2005.0,-7259.0,1
1.6455446806215803e+18,frame_1149.jpeg,1997.0,-2049.0,-7205.0,1
1.645544680678916e+18,frame_1150.jpeg,1947.0,-1957.0,-7343.0,1
1.645544680773133e+18,frame_1151.jpeg,1883.0,-1970.0,-7314.0,1
1.6455446807758267e+18,frame_1152.jpeg,1840.0,-1971.0,-7277.0,1
1.6455446807776346e+18,frame_1153.jpeg,1780.0,-1979.0,-7230.0,1
1.6455446807776346e+18,frame_1154.jpeg,1780.0,-1979.0,-7230.0,1
1.6455446810586148e+18,frame_1155.jpeg,1668.0,-1988.0,-7216.0,1
1.6455446810586148e+18,frame_1156.jpeg,1668.0,-1988.0,-7216.0,1
1.6455446810586148e+18,frame_1157.jpeg,1668.0,-1988.0,-7216.0,1
1.6455446810825446e+18,frame_1158.jpeg,1569.0,-2013.0,-7237.0,1
1.645544681131441e+18,frame_1159.jpeg,1502.0,-6389.0,-6098.0,1
1.645544681175919e+18,frame_1160.jpeg,1891.0,-5981.0,-5620.0,1
1.6455446812338844e+18,frame_1161.jpeg,2550.0,-6427.0,-5544.0,1
1.6455446812634867e+18,frame_1162.jpeg,1314.0,-5457.0,-6021.0,1
1.6455446813316708e+18,frame_1163.jpeg,0.0,-5592.0,-5947.0,1
1.645544681379355e+18,frame_1164.jpeg,5449.0,-6209.0,-3135.0,1
1.6455446814241485e+18,frame_1165.jpeg,4446.0,-4384.0,-4619.0,1
1.645544681475875e+18,frame_1166.jpeg,5154.0,-3836.0,-6044.0,1
1.6455446815315866e+18,frame_1167.jpeg,2307.0,-3289.0,-6433.0,1
1.6455446815716096e+18,frame_1168.jpeg,2504.0,-3070.0,-7069.0,1
1.645544681631611e+18,frame_1169.jpeg,1519.0,-3466.0,-7216.0,1
1.6455446816775788e+18,frame_1170.jpeg,1760.0,-3934.0,-6630.0,1
1.6455446817259054e+18,frame_1171.jpeg,2063.0,-3369.0,-6973.0,1
1.645544681776985e+18,frame_1172.jpeg,2913.0,-3569.0,-7315.0,1
1.6455446818323924e+18,frame_1173.jpeg,2239.0,-3744.0,-6181.0,1
1.6455446818768366e+18,frame_1174.jpeg,1687.0,-4038.0,-6029.0,1
1.6455446819318106e+18,frame_1175.jpeg,2373.0,-3527.0,-7251.0,1
1.6455446819740288e+18,frame_1176.jpeg,2014.0,-3595.0,-7181.0,1
1.645544682023983e+18,frame_1177.jpeg,1289.0,-4119.0,-6193.0,1
1.6455446820767434e+18,frame_1178.jpeg,3528.0,-2933.0,-6577.0,1
1.645544682132212e+18,frame_1179.jpeg,2576.0,-3620.0,-6954.0,1
1.6455446821758487e+18,frame_1180.jpeg,2296.0,-3808.0,-6906.0,1
1.6455446822328783e+18,frame_1181.jpeg,2254.0,-3887.0,-7056.0,1
1.645544682280602e+18,frame_1182.jpeg,2194.0,-3235.0,-6267.0,1
1.645544682316247e+18,frame_1183.jpeg,3546.0,-2652.0,-6708.0,1
1.6455446823802857e+18,frame_1184.jpeg,2988.0,-3208.0,-7207.0,1
1.6455446824262164e+18,frame_1185.jpeg,2458.0,-3564.0,-6795.0,1
1.6455446824799398e+18,frame_1186.jpeg,2791.0,-3090.0,-7099.0,1
1.6455446825244465e+18,frame_1187.jpeg,3482.0,-2599.0,-6637.0,1
