timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_BIMANUAL
1.6455446797764257e+18,1823.0,-3957.0,1237.0,1
1.6455446798226483e+18,2602.0,-2998.0,1476.0,1
1.6455446798800343e+18,2682.0,-3151.0,1553.0,1
1.6455446799239995e+18,2952.0,-3220.0,3756.0,1
1.6455446799776978e+18,3255.0,-1565.0,5630.0,1
1.6455446800224643e+18,3489.0,-2145.0,6622.0,1
1.645544680075664e+18,4047.0,-854.0,6902.0,1
1.6455446801241367e+18,4376.0,-579.0,6765.0,1
1.6455446801757394e+18,4671.0,-537.0,6865.0,1
1.6455446802220664e+18,4914.0,-624.0,7033.0,1
1.6455446802738435e+18,5092.0,-1112.0,7356.0,1
1.6455446803308856e+18,4740.0,-573.0,6934.0,1
1.645544680370978e+18,4422.0,-1156.0,6775.0,1
1.6455446804221394e+18,4041.0,-872.0,6662.0,1
1.6455446804764756e+18,3923.0,-1327.0,7119.0,1
1.6455446805227832e+18,4236.0,-1597.0,6787.0,1
1.6455446805785308e+18,4586.0,-1555.0,6538.0,1
1.645544680623944e+18,4529.0,-1872.0,6637.0,1
1.6455446806785116e+18,4489.0,-2068.0,6658.0,1
1.6455446807726687e+18,4476.0,-1951.0,6655.0,1
1.645544680775393e+18,4470.0,-1812.0,6647.0,1
1.6455446807772836e+18,4463.0,-1673.0,6647.0,1
1.6455446807772836e+18,4463.0,-1673.0,6647.0,1
1.6455446807772836e+18,4463.0,-1673.0,6647.0,1
1.6455446810815406e+18,4459.0,-1509.0,6627.0,1
1.6455446810815406e+18,4459.0,-1509.0,6627.0,1
1.6455446810815406e+18,4459.0,-1509.0,6627.0,1
1.6455446811311634e+18,5904.0,-2233.0,7290.0,1
1.6455446811754998e+18,5352.0,-1794.0,6685.0,1
1.645544681233623e+18,4506.0,-2808.0,7517.0,1
1.6455446812632701e+18,4506.0,-3144.0,7011.0,1
1.645544681331273e+18,4245.0,-319.0,6767.0,1
1.6455446813789358e+18,5371.0,-4591.0,5911.0,1
1.6455446814313216e+18,5146.0,-3011.0,5023.0,1
1.6455446814754798e+18,4562.0,-4895.0,6090.0,1
1.6455446815313871e+18,3664.0,-1528.0,6526.0,1
1.6455446815768732e+18,3665.0,-2904.0,7005.0,1
1.6455446816313636e+18,3663.0,-1613.0,7430.0,1
1.6455446816772221e+18,4371.0,-1562.0,7158.0,1
1.6455446817255447e+18,3947.0,-1920.0,7081.0,1
1.6455446817765734e+18,4191.0,-3294.0,7185.0,1
1.64554468183201e+18,4491.0,-1913.0,6397.0,1
1.6455446818764782e+18,4693.0,-1342.0,6564.0,1
1.6455446819315617e+18,4267.0,-2025.0,7092.0,1
1.6455446819784036e+18,4244.0,-1702.0,7188.0,1
1.6455446820236918e+18,4542.0,-797.0,6542.0,1
1.645544682076198e+18,4150.0,-3609.0,6325.0,1
