timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, HANDOVER_LEFT
1.6455450810773962e+18,1902.0,-7466.0,5772.0,1
1.6455450811275533e+18,2672.0,-7368.0,4287.0,1
1.6455450811775027e+18,3435.0,-7904.0,3973.0,1
1.6455450812266422e+18,3389.0,-5842.0,3813.0,1
1.6455450812781883e+18,3284.0,-6839.0,5445.0,1
1.6455450813321925e+18,4170.0,-5305.0,4832.0,1
1.6455450813782607e+18,3708.0,-3255.0,5101.0,1
1.6455450814304049e+18,3462.0,-2423.0,4539.0,1
1.6455450814776335e+18,3657.0,-4304.0,4664.0,1
1.6455450815312556e+18,2237.0,-3389.0,5192.0,1
1.6455450815767956e+18,1941.0,-5577.0,5581.0,1
1.6455450816320745e+18,2903.0,-5019.0,5588.0,1
1.645545081679266e+18,3439.0,-4100.0,5349.0,1
1.6455450817320558e+18,3351.0,-5018.0,5684.0,1
1.6455450817797276e+18,4297.0,-5290.0,5359.0,1
1.6455450818294694e+18,4217.0,-4911.0,5490.0,1
1.6455450818816095e+18,3512.0,-3950.0,5530.0,1
1.6455450819296105e+18,4188.0,-4644.0,6029.0,1
1.645545081987548e+18,3900.0,-4827.0,6593.0,1
1.6455450820263557e+18,2906.0,-4645.0,6183.0,1
1.645545082084888e+18,2016.0,-5082.0,5880.0,1
1.6455450821321618e+18,1405.0,-5210.0,5807.0,1
1.6455450821792148e+18,3026.0,-4669.0,6105.0,1
1.6455450822314442e+18,3641.0,-3887.0,6739.0,1
1.6455450822748198e+18,2936.0,-3778.0,7176.0,1
1.6455450823242637e+18,3816.0,-4872.0,6638.0,1
1.6455450823685e+18,3903.0,-4838.0,6683.0,1
1.6455450824121853e+18,3978.0,-4687.0,6753.0,1
1.6455450824121853e+18,3978.0,-4687.0,6753.0,1
1.6455450824121853e+18,3978.0,-4687.0,6753.0,1
1.64554508271413e+18,4029.0,-4505.0,6845.0,1
1.64554508271413e+18,4029.0,-4505.0,6845.0,1
1.64554508271413e+18,4029.0,-4505.0,6845.0,1
1.6455450827286264e+18,2799.0,-4312.0,6702.0,1
1.6455450827786186e+18,3778.0,-4183.0,6362.0,1
1.6455450828286313e+18,3870.0,-4250.0,6081.0,1
1.6455450828780278e+18,3712.0,-4106.0,6122.0,1
1.6455450829328778e+18,3804.0,-4189.0,6107.0,1
1.6455450829844275e+18,3951.0,-4038.0,6060.0,1
1.6455450830290913e+18,3865.0,-3998.0,6249.0,1
1.6455450830829903e+18,3898.0,-4302.0,6270.0,1
1.6455450831279488e+18,3871.0,-3905.0,6422.0,1
1.6455450831869007e+18,3326.0,-4182.0,6648.0,1
1.6455450832297925e+18,3360.0,-4494.0,6979.0,1
1.645545083283385e+18,3372.0,-4688.0,6534.0,1
1.6455450833277888e+18,3790.0,-4401.0,6327.0,1
1.645545083383431e+18,4417.0,-3465.0,5665.0,1
1.645545083429927e+18,4854.0,-3327.0,4905.0,1
1.645545083482697e+18,5728.0,-3525.0,4898.0,1
1.6455450835287862e+18,5918.0,-3258.0,4353.0,1
1.6455450835820782e+18,6143.0,-3104.0,3803.0,1
1.6455450836286623e+18,6311.0,-3027.0,3564.0,1
1.6455450836834545e+18,5802.0,-3757.0,3518.0,1
1.6455450837330826e+18,6482.0,-3289.0,2830.0,1
1.645545083782519e+18,6543.0,-3305.0,2623.0,1
1.645545083829979e+18,6564.0,-2396.0,2411.0,1
1.6455450838826427e+18,7357.0,-4179.0,1732.0,1
