timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.6455449061089021e+18,-4445.0,3222.0,-7733.0,1
1.6455449061608476e+18,-2353.0,1146.0,-8204.0,1
1.6455449062046438e+18,-1191.0,78.0,-6982.0,1
1.6455449062621763e+18,-2625.0,503.0,-8676.0,1
1.6455449063070623e+18,-3326.0,892.0,-8780.0,1
1.6455449063530465e+18,-2896.0,795.0,-8639.0,1
1.6455449064074465e+18,-2621.0,929.0,-8332.0,1
1.645544906458599e+18,941.0,-890.0,-7858.0,1
1.6455449065071355e+18,-2162.0,640.0,-8247.0,1
1.6455449065590715e+18,-1692.0,1555.0,-8570.0,1
1.645544906605155e+18,-495.0,1006.0,-8251.0,1
1.6455449066603028e+18,-2773.0,1145.0,-8753.0,1
1.6455449067072842e+18,-5623.0,2152.0,-6226.0,1
1.6455449067641308e+18,-3495.0,2188.0,-6769.0,1
1.645544906809284e+18,-1765.0,2955.0,-6591.0,1
1.6455449068525962e+18,-1585.0,3616.0,-6630.0,1
1.645544906911988e+18,-1840.0,4411.0,-7798.0,1
1.645544906962642e+18,-3336.0,3681.0,-6919.0,1
1.6455449070123924e+18,-4132.0,4627.0,-6047.0,1
1.6455449070640655e+18,-3047.0,3465.0,-4873.0,1
1.6455449071119923e+18,-3526.0,3585.0,-6421.0,1
1.6455449071600978e+18,-4419.0,4556.0,-6646.0,1
1.645544907209806e+18,-3043.0,4062.0,-6221.0,1
1.6455449072543053e+18,-3340.0,3859.0,-6335.0,1
1.645544907312546e+18,-3654.0,2809.0,-6686.0,1
1.6455449073694746e+18,-2588.0,2905.0,-7187.0,1
1.6455449074102252e+18,-2656.0,2258.0,-7507.0,1
1.645544907458825e+18,1711.0,1659.0,-8890.0,1
1.6455449075106e+18,298.0,1152.0,-9091.0,1
1.645544907559628e+18,1398.0,232.0,-7623.0,1
1.6455449076099725e+18,921.0,901.0,-6885.0,1
1.6455449076597806e+18,3324.0,1154.0,-7041.0,1
1.6455449077039834e+18,5103.0,1431.0,-7634.0,1
1.6455449077597837e+18,4051.0,2285.0,-6540.0,1
1.6455449078103068e+18,-3163.0,5939.0,-6980.0,1
