timestamp,a_right_backPose,b_right_backPose,c_right_backPose, HANDOVER_LEFT
1.6455450810764086e+18,-12565.0,8507.0,-2189.0,1
1.6455450811252065e+18,-10397.0,5631.0,717.0,1
1.6455450811786757e+18,-10307.0,2364.0,3277.0,1
1.64554508122624e+18,-4751.0,657.0,3946.0,1
1.6455450812784586e+18,-675.0,-175.0,2771.0,1
1.645545081331125e+18,-2653.0,1759.0,6507.0,1
1.6455450813810593e+18,-5085.0,1120.0,8477.0,1
1.6455450814311972e+18,-4223.0,640.0,7136.0,1
1.645545081477107e+18,-2682.0,-351.0,7446.0,1
1.645545081530932e+18,-2709.0,348.0,8129.0,1
1.645545081584065e+18,-3711.0,745.0,7720.0,1
1.645545081630113e+18,-4417.0,543.0,6894.0,1
1.645545081679521e+18,-4019.0,-13.0,6917.0,1
1.6455450817332224e+18,-3954.0,-260.0,7170.0,1
1.6455450817754153e+18,-4060.0,-642.0,7053.0,1
1.6455450818309594e+18,-3726.0,-636.0,7267.0,1
1.6455450818760074e+18,-3848.0,-435.0,7422.0,1
1.6455450819284498e+18,-4001.0,356.0,7552.0,1
1.645545081981844e+18,-4213.0,612.0,6952.0,1
1.6455450820320556e+18,-4396.0,321.0,7230.0,1
1.6455450820813304e+18,-4625.0,34.0,7528.0,1
1.6455450821337083e+18,-4217.0,-237.0,7381.0,1
1.6455450821744645e+18,-4101.0,-280.0,7431.0,1
1.6455450822297444e+18,-4152.0,152.0,7720.0,1
1.6455450822757952e+18,-4454.0,659.0,7702.0,1
1.6455450823358141e+18,-4687.0,1137.0,7128.0,1
1.6455450823733473e+18,-4701.0,1262.0,6846.0,1
1.6455450824070072e+18,-4696.0,1145.0,6663.0,1
1.6455450824811617e+18,-4685.0,1123.0,6653.0,1
1.6455450825307118e+18,-4729.0,959.0,6784.0,1
1.6455450825795384e+18,-4586.0,868.0,6781.0,1
1.6455450826318828e+18,-4766.0,931.0,6837.0,1
1.6455450826810903e+18,-4850.0,855.0,6739.0,1
1.6455450827283384e+18,-4921.0,860.0,6742.0,1
1.645545082779067e+18,-4806.0,766.0,6683.0,1
1.6455450828310769e+18,-4852.0,879.0,6841.0,1
1.6455450828788966e+18,-4936.0,873.0,6860.0,1
1.6455450829337e+18,-4956.0,951.0,6709.0,1
1.64554508298361e+18,-4999.0,902.0,6734.0,1
1.6455450830325284e+18,-5117.0,1024.0,6862.0,1
1.6455450830834565e+18,-5129.0,1096.0,6698.0,1
1.6455450831292508e+18,-5130.0,1162.0,6552.0,1
1.6455450831831352e+18,-5559.0,1469.0,6582.0,1
1.645545083230112e+18,-6281.0,1969.0,7048.0,1
1.64554508328304e+18,-7519.0,2023.0,7253.0,1
1.6455450833300948e+18,-6688.0,1583.0,6347.0,1
1.6455450833837348e+18,-6568.0,1059.0,7336.0,1
1.6455450834300096e+18,-6364.0,12.0,6424.0,1
1.6455450834838031e+18,-5674.0,-934.0,4715.0,1
1.6455450835290742e+18,-5006.0,-2018.0,3274.0,1
1.6455450835829806e+18,-7102.0,-2921.0,5709.0,1
1.6455450836307172e+18,-7134.0,-2830.0,6229.0,1
1.6455450836823168e+18,-5087.0,-2633.0,2805.0,1
1.6455450837303754e+18,-5347.0,-2043.0,-213.0,1
1.645545083783914e+18,-4022.0,-2182.0,1359.0,1
1.6455450838298284e+18,-3766.0,-2433.0,4419.0,1
1.6455450838838733e+18,-6143.0,-2148.0,7363.0,1
