timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, HANDOVER_LEFT
1.6455450810768458e+18,2372.0,12086.0,3562.0,1
1.6455450811256507e+18,4141.0,10210.0,-389.0,1
1.64554508117894e+18,5450.0,10270.0,-2881.0,1
1.6455450812227843e+18,3742.0,7584.0,-4653.0,1
1.6455450812788864e+18,1689.0,3748.0,-3112.0,1
1.6455450813280978e+18,1309.0,5633.0,-4665.0,1
1.6455450813812652e+18,2563.0,5929.0,-4780.0,1
1.645545081428137e+18,4067.0,5936.0,-5617.0,1
1.6455450814776497e+18,3947.0,6192.0,-5084.0,1
1.6455450815312722e+18,3329.0,6085.0,-5876.0,1
1.645545081584448e+18,3126.0,6050.0,-5338.0,1
1.6455450816306135e+18,3459.0,6221.0,-4912.0,1
1.6455450816799634e+18,3754.0,5855.0,-4741.0,1
1.6455450817284977e+18,3993.0,5682.0,-4831.0,1
1.645545081775724e+18,4251.0,5473.0,-4730.0,1
1.645545081831229e+18,4450.0,5546.0,-5320.0,1
1.6455450818764042e+18,4269.0,5733.0,-5235.0,1
1.6455450819288328e+18,3583.0,6131.0,-5034.0,1
1.6455450819822129e+18,3385.0,6206.0,-4727.0,1
1.6455450820278615e+18,3898.0,6045.0,-4881.0,1
1.6455450820816092e+18,4166.0,6339.0,-4927.0,1
1.6455450821296479e+18,4426.0,5914.0,-5165.0,1
1.6455450821747648e+18,4369.0,5932.0,-5172.0,1
1.6455450822302016e+18,4105.0,6190.0,-5440.0,1
1.6455450822762235e+18,3676.0,6426.0,-5240.0,1
1.6455450823361958e+18,3296.0,6611.0,-4819.0,1
1.6455450823799626e+18,3107.0,6600.0,-4544.0,1
1.645545082407204e+18,3228.0,6556.0,-4458.0,1
1.6455450824815212e+18,3265.0,6533.0,-4473.0,1
1.6455450825262653e+18,3397.0,6453.0,-4599.0,1
1.6455450825799506e+18,3456.0,6305.0,-4629.0,1
1.645545082623759e+18,3510.0,6544.0,-4635.0,1
1.6455450826814766e+18,3547.0,6479.0,-4500.0,1
1.64554508272873e+18,3597.0,6496.0,-4579.0,1
1.6455450827795717e+18,3664.0,6338.0,-4562.0,1
1.6455450828279383e+18,3618.0,6518.0,-4661.0,1
1.6455450828792627e+18,3624.0,6557.0,-4598.0,1
1.6455450829295846e+18,3579.0,6530.0,-4596.0,1
1.6455450829839598e+18,3651.0,6574.0,-4544.0,1
1.6455450830328248e+18,3584.0,6746.0,-4577.0,1
1.645545083083903e+18,3524.0,6709.0,-4503.0,1
1.6455450831298163e+18,3428.0,6702.0,-4370.0,1
1.6455450831835602e+18,3494.0,7196.0,-4323.0,1
1.645545083230421e+18,3590.0,8090.0,-4657.0,1
1.645545083283487e+18,4025.0,8552.0,-4347.0,1
1.6455450833306025e+18,3973.0,7478.0,-3791.0,1
1.6455450833841142e+18,4058.0,7487.0,-4098.0,1
1.645545083430352e+18,4418.0,6697.0,-3737.0,1
1.6455450834841403e+18,4942.0,5449.0,-3239.0,1
1.6455450835296497e+18,5793.0,4451.0,-3800.0,1
1.6455450835834235e+18,6372.0,6388.0,-3781.0,1
1.6455450836308908e+18,6126.0,5519.0,-2965.0,1
1.6455450836826463e+18,5914.0,3744.0,-2866.0,1
1.6455450837308923e+18,5344.0,3846.0,-2077.0,1
1.6455450837841155e+18,5026.0,3831.0,-2530.0,1
1.645545083830224e+18,5017.0,4136.0,-3010.0,1
1.6455450838812362e+18,5509.0,6322.0,-3234.0,1
