timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, SCREW_RIGHT
1.645545112719973e+18,-5696.0,-3004.0,4952.0,1
1.6455451127685353e+18,-5230.0,-2138.0,4946.0,1
1.6455451128194004e+18,-5783.0,-2569.0,5248.0,1
1.645545112863778e+18,-5652.0,-2525.0,4750.0,1
1.6455451129198333e+18,-4911.0,-2113.0,3028.0,1
1.6455451129654185e+18,-5638.0,-2698.0,4322.0,1
1.6455451130170058e+18,-6585.0,-3014.0,5232.0,1
1.6455451130655178e+18,-6529.0,-4070.0,4677.0,1
1.6455451131193446e+18,-6440.0,-1391.0,4667.0,1
1.6455451131644416e+18,-5321.0,-2471.0,3705.0,1
1.64554511321632e+18,-6748.0,-3044.0,5098.0,1
1.6455451132686666e+18,-6088.0,-1044.0,3570.0,1
1.645545113313984e+18,-5779.0,-3217.0,3212.0,1
1.6455451133623158e+18,-5680.0,-2414.0,3567.0,1
1.6455451134199672e+18,-6782.0,-2552.0,4112.0,1
1.6455451134696525e+18,-6616.0,-2717.0,3651.0,1
1.6455451135173348e+18,-7057.0,-3124.0,4734.0,1
1.6455451135745152e+18,-5250.0,-2725.0,2586.0,1
1.645545113620072e+18,-5797.0,-1119.0,5353.0,1
1.6455451136724262e+18,-5523.0,-1695.0,4907.0,1
1.6455451137241615e+18,-5645.0,-1571.0,4029.0,1
1.6455451137722575e+18,-6484.0,-2758.0,2977.0,1
1.6455451138247363e+18,-6131.0,-2079.0,3542.0,1
1.6455451138674212e+18,-7156.0,-394.0,4394.0,1
1.6455451139188628e+18,-6598.0,-4494.0,4391.0,1
1.6455451139734835e+18,-5781.0,-2550.0,2131.0,1
1.6455451140151035e+18,-5874.0,-779.0,3016.0,1
1.6455451140683318e+18,-7910.0,-1995.0,4313.0,1
1.6455451141222413e+18,-6658.0,-2484.0,4183.0,1
1.645545114169576e+18,-5836.0,-507.0,2995.0,1
1.6455451142226903e+18,-5702.0,-1509.0,2921.0,1
1.6455451142700096e+18,-7254.0,-2633.0,4760.0,1
1.645545114318284e+18,-6112.0,-1555.0,1401.0,1
1.6455451143274972e+18,-6126.0,149.0,1114.0,1
1.6455451144648584e+18,-6197.0,1380.0,1058.0,1
1.6455451144687434e+18,-8725.0,-2225.0,3532.0,1
1.6455451145003156e+18,-7245.0,-1518.0,2222.0,1
1.6455451145703117e+18,-6929.0,-2358.0,2407.0,1
1.645545114614711e+18,-6465.0,-2191.0,1632.0,1
1.6455451146688282e+18,-6704.0,-2845.0,1856.0,1
1.6455451147197632e+18,-7991.0,-3452.0,2425.0,1
1.6455451147694807e+18,-6610.0,-3138.0,967.0,1
1.6455451148199076e+18,-7241.0,-741.0,2076.0,1
1.645545114871475e+18,-6545.0,-2645.0,571.0,1
1.6455451149191485e+18,-7210.0,-2556.0,1497.0,1
1.6455451149704666e+18,-7498.0,-2574.0,1558.0,1
1.645545115019228e+18,-7186.0,-2732.0,1617.0,1
1.645545115070193e+18,-7056.0,-2868.0,2060.0,1
1.6455451151199235e+18,-6756.0,-191.0,975.0,1
1.6455451151756564e+18,-7708.0,-5727.0,654.0,1
1.6455451152233592e+18,-6925.0,-2616.0,678.0,1
1.645545115271604e+18,-7594.0,-3138.0,2270.0,1
1.6455451153201518e+18,-6769.0,-5342.0,2086.0,1
1.645545115370802e+18,-5242.0,5986.0,1801.0,1
1.6455451154181018e+18,-8980.0,-1065.0,2279.0,1
1.645545115470678e+18,-8311.0,-1862.0,396.0,1
1.6455451155235187e+18,-7185.0,-3484.0,-244.0,1
1.6455451155690406e+18,-6914.0,-1801.0,-385.0,1
1.6455451156197501e+18,-7732.0,285.0,861.0,1
1.6455451156710958e+18,-7410.0,-3052.0,445.0,1
1.6455451157205046e+18,-6567.0,-3105.0,1506.0,1
1.6455451157669489e+18,-6621.0,-2787.0,1756.0,1
1.645545115815835e+18,-7661.0,-2009.0,2559.0,1
1.6455451158745403e+18,-7528.0,-1666.0,337.0,1
1.6455451159198246e+18,-7144.0,3576.0,327.0,1
1.645545115966659e+18,-7720.0,-2384.0,1640.0,1
1.6455451160199493e+18,-8390.0,-3288.0,68.0,1
1.645545116067658e+18,-7549.0,-2684.0,-1433.0,1
1.6455451161201705e+18,-7217.0,-1024.0,143.0,1
1.645545116161623e+18,-7371.0,-1888.0,1444.0,1
1.6455451162246892e+18,-7216.0,-1953.0,2050.0,1
1.645545116268021e+18,-6964.0,-1885.0,2177.0,1
1.645545116324508e+18,-8000.0,-4659.0,-677.0,1
1.6455451163668692e+18,-7776.0,3999.0,-2729.0,1
1.645545116422158e+18,-7431.0,-2574.0,919.0,1
1.6455451164694377e+18,-7188.0,947.0,-754.0,1
1.645545116522454e+18,-7408.0,-3776.0,-101.0,1
1.645545116571682e+18,-7934.0,-2116.0,440.0,1
1.6455451166251456e+18,-7294.0,-1807.0,-200.0,1
1.645545116672329e+18,-7040.0,-3264.0,559.0,1
1.6455451167228099e+18,-8059.0,-4678.0,2765.0,1
