timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, HANDOVER_LEFT
1.6461503467878587e+18,frame_3547.jpeg,5239.0,-3807.0,-3849.0,1
1.646150346841923e+18,frame_3548.jpeg,8326.0,-3308.0,-1983.0,1
1.6461503468924739e+18,frame_3549.jpeg,8608.0,-3206.0,-354.0,1
1.6461503469408507e+18,frame_3550.jpeg,6722.0,-2027.0,-912.0,1
1.6461503469928758e+18,frame_3551.jpeg,7846.0,-212.0,-1784.0,1
1.6461503470429317e+18,frame_3552.jpeg,7568.0,839.0,-1931.0,1
1.6461503470884977e+18,frame_3553.jpeg,7069.0,2076.0,-2377.0,1
1.6461503471432712e+18,frame_3554.jpeg,6989.0,2083.0,-2619.0,1
1.6461503471949773e+18,frame_3555.jpeg,7647.0,2031.0,-1861.0,1
1.6461503472442324e+18,frame_3556.jpeg,8201.0,2766.0,-2294.0,1
1.646150347292596e+18,frame_3557.jpeg,7627.0,1926.0,-1406.0,1
1.6461503473375311e+18,frame_3558.jpeg,6640.0,1295.0,-1519.0,1
1.6461503473918587e+18,frame_3559.jpeg,7724.0,3095.0,-2194.0,1
1.6461503474419922e+18,frame_3560.jpeg,7144.0,1375.0,-1085.0,1
1.6461503474925033e+18,frame_3561.jpeg,7223.0,1140.0,-1215.0,1
1.646150347539625e+18,frame_3562.jpeg,7943.0,2205.0,-1028.0,1
1.646150347592741e+18,frame_3563.jpeg,8421.0,2248.0,-140.0,1
1.6461503476433495e+18,frame_3564.jpeg,7818.0,1761.0,-767.0,1
1.646150347694923e+18,frame_3565.jpeg,7825.0,1359.0,-848.0,1
1.6461503477421128e+18,frame_3566.jpeg,7277.0,1622.0,-628.0,1
1.646150347791794e+18,frame_3567.jpeg,7727.0,1799.0,-712.0,1
1.6461503478391196e+18,frame_3568.jpeg,7668.0,1819.0,-377.0,1
1.6461503478912983e+18,frame_3569.jpeg,7983.0,1852.0,-524.0,1
1.6461503479419868e+18,frame_3570.jpeg,8001.0,2049.0,-423.0,1
1.6461503479924157e+18,frame_3571.jpeg,7760.0,1960.0,-455.0,1
1.646150348043888e+18,frame_3572.jpeg,7601.0,1589.0,-566.0,1
1.6461503480934715e+18,frame_3573.jpeg,7775.0,1977.0,-389.0,1
1.6461503481407004e+18,frame_3574.jpeg,7797.0,1970.0,-301.0,1
1.64615034819083e+18,frame_3575.jpeg,7757.0,1817.0,-407.0,1
1.6461503482364288e+18,frame_3576.jpeg,7957.0,1993.0,-354.0,1
1.6461503482926428e+18,frame_3577.jpeg,7768.0,1919.0,-352.0,1
1.646150348339519e+18,frame_3578.jpeg,7960.0,2019.0,-294.0,1
1.6461503483947523e+18,frame_3579.jpeg,7770.0,1623.0,-226.0,1
1.6461503484437967e+18,frame_3580.jpeg,7979.0,2165.0,-300.0,1
1.6461503484913418e+18,frame_3581.jpeg,7862.0,2312.0,-356.0,1
1.6461503485473725e+18,frame_3582.jpeg,7403.0,2318.0,-561.0,1
1.6461503485941496e+18,frame_3583.jpeg,7337.0,3303.0,-862.0,1
1.6461503486454858e+18,frame_3584.jpeg,7022.0,3496.0,-435.0,1
1.6461503486917194e+18,frame_3585.jpeg,7127.0,3059.0,-852.0,1
1.6461503487435471e+18,frame_3586.jpeg,5958.0,1462.0,-1280.0,1
1.6461503487933143e+18,frame_3587.jpeg,5854.0,284.0,-1720.0,1
1.6461503488451028e+18,frame_3588.jpeg,8254.0,-211.0,1421.0,1
1.6461503488945766e+18,frame_3589.jpeg,6845.0,-594.0,1733.0,1
1.6461503489456428e+18,frame_3590.jpeg,7792.0,-1712.0,431.0,1
1.6461503489971702e+18,frame_3591.jpeg,8138.0,-1821.0,-1337.0,1
1.6461503490487117e+18,frame_3592.jpeg,9324.0,-1507.0,-3450.0,1
1.6461503490924375e+18,frame_3593.jpeg,8389.0,-1815.0,-4156.0,1
1.646150349147335e+18,frame_3594.jpeg,6873.0,12.0,-2787.0,1
1.6461503491946435e+18,frame_3595.jpeg,9637.0,1220.0,-1569.0,1
1.646150349245579e+18,frame_3596.jpeg,8845.0,760.0,886.0,1
1.6461503492914796e+18,frame_3597.jpeg,8778.0,1128.0,1893.0,1
1.6461503493459085e+18,frame_3598.jpeg,8528.0,99.0,1090.0,1
1.646150349394446e+18,frame_3599.jpeg,7273.0,-258.0,640.0,1
1.6461508600355026e+18,frame_13799.jpeg,7419.0,769.0,-1089.0,1
1.646150860081311e+18,frame_13800.jpeg,7644.0,691.0,-1407.0,1
1.6461508601374664e+18,frame_13801.jpeg,7647.0,-107.0,-1660.0,1
1.646150860183871e+18,frame_13802.jpeg,7657.0,-593.0,-1945.0,1
1.6461508602424056e+18,frame_13803.jpeg,7535.0,-859.0,-2239.0,1
1.6461508602832238e+18,frame_13804.jpeg,6978.0,-1806.0,-1660.0,1
1.646150860336139e+18,frame_13805.jpeg,7145.0,-1705.0,-1739.0,1
1.6461508603827638e+18,frame_13806.jpeg,8284.0,-1509.0,-1948.0,1
1.646150860437689e+18,frame_13807.jpeg,7009.0,-2050.0,-2643.0,1
1.6461508604830607e+18,frame_13808.jpeg,6238.0,-2499.0,-3256.0,1
1.6461508605314737e+18,frame_13809.jpeg,5543.0,-3074.0,-4007.0,1
1.6461508605853181e+18,frame_13810.jpeg,5158.0,-2981.0,-4187.0,1
1.6461508606369764e+18,frame_13811.jpeg,6056.0,-2488.0,-4847.0,1
1.646150860685232e+18,frame_13812.jpeg,5466.0,-2697.0,-5106.0,1
1.6461508607376404e+18,frame_13813.jpeg,4713.0,-2479.0,-4490.0,1
1.646150860785719e+18,frame_13814.jpeg,4964.0,-2234.0,-4117.0,1
1.6461508608376448e+18,frame_13815.jpeg,5757.0,-1758.0,-4237.0,1
1.6461508608838167e+18,frame_13816.jpeg,5789.0,-1407.0,-4253.0,1
1.646150860935853e+18,frame_13817.jpeg,5972.0,-1992.0,-4132.0,1
1.6461508609818867e+18,frame_13818.jpeg,6320.0,-1800.0,-4422.0,1
1.6461508610370796e+18,frame_13819.jpeg,7119.0,-2478.0,-3876.0,1
1.6461508610853512e+18,frame_13820.jpeg,6030.0,-3273.0,-3619.0,1
1.6461508611358671e+18,frame_13821.jpeg,6431.0,-3663.0,-3361.0,1
1.6461508611863519e+18,frame_13822.jpeg,6837.0,-3294.0,-3183.0,1
1.6461508612367478e+18,frame_13823.jpeg,6323.0,-3329.0,-3302.0,1
1.6461508612916045e+18,frame_13824.jpeg,6424.0,-3284.0,-3289.0,1
1.6461508613365486e+18,frame_13825.jpeg,6462.0,-3290.0,-3364.0,1
1.6461508613869612e+18,frame_13826.jpeg,6556.0,-3195.0,-3342.0,1
1.6461508614356785e+18,frame_13827.jpeg,6721.0,-3168.0,-3432.0,1
1.6461508614864563e+18,frame_13828.jpeg,6345.0,-3272.0,-3336.0,1
1.646150861535366e+18,frame_13829.jpeg,6439.0,-3371.0,-3274.0,1
1.6461508615853862e+18,frame_13830.jpeg,6583.0,-3250.0,-3454.0,1
1.6461508616366098e+18,frame_13831.jpeg,6451.0,-3305.0,-3351.0,1
1.6461508616899302e+18,frame_13832.jpeg,6496.0,-3407.0,-3307.0,1
1.646150861735437e+18,frame_13833.jpeg,6504.0,-3467.0,-3264.0,1
1.6461508617861983e+18,frame_13834.jpeg,6550.0,-3235.0,-3284.0,1
1.646150861835186e+18,frame_13835.jpeg,7114.0,-3535.0,-3664.0,1
1.646150861886086e+18,frame_13836.jpeg,6838.0,-3829.0,-2727.0,1
1.6461508619363305e+18,frame_13837.jpeg,6981.0,-3615.0,-3080.0,1
1.6461508619860065e+18,frame_13838.jpeg,7016.0,-3796.0,-2841.0,1
1.646150862036155e+18,frame_13839.jpeg,6796.0,-3393.0,-2617.0,1
1.6461508620857787e+18,frame_13840.jpeg,7083.0,-3255.0,-2550.0,1
1.6461508621333683e+18,frame_13841.jpeg,6000.0,-1847.0,-1792.0,1
1.6461508621952435e+18,frame_13842.jpeg,5904.0,-1198.0,-371.0,1
1.646150862238781e+18,frame_13843.jpeg,2899.0,-1306.0,2114.0,1
1.6461508622859105e+18,frame_13844.jpeg,1746.0,-2977.0,2767.0,1
1.6461508623345682e+18,frame_13845.jpeg,2451.0,-2170.0,1159.0,1
1.6461508623866176e+18,frame_13846.jpeg,420.0,-571.0,201.0,1
1.6461508624332076e+18,frame_13847.jpeg,4285.0,746.0,-1575.0,1
