timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_RIGHT
1.6461505083442993e+18,3373.0,-3645.0,6805.0,1
1.6461505083927724e+18,3533.0,-3200.0,6791.0,1
1.6461505084434652e+18,3534.0,-3713.0,6814.0,1
1.6461505084912998e+18,3322.0,-3395.0,6306.0,1
1.6461505085444526e+18,3440.0,-3457.0,6944.0,1
1.6461505085934188e+18,3418.0,-3856.0,7066.0,1
1.646150508645397e+18,3567.0,-3061.0,7108.0,1
1.646150508692642e+18,3339.0,-3097.0,6759.0,1
1.646150508745761e+18,3149.0,-3642.0,6724.0,1
1.6461505087936453e+18,2857.0,-3965.0,6650.0,1
1.6461505088448056e+18,3966.0,-4252.0,5656.0,1
1.646150508893359e+18,4000.0,-4268.0,6579.0,1
1.6461505089488512e+18,3707.0,-3800.0,5840.0,1
1.6461505089924419e+18,3290.0,-3493.0,7124.0,1
1.6461505090453768e+18,3564.0,-3938.0,6745.0,1
1.6461505090939284e+18,3340.0,-3354.0,6649.0,1
1.6461505091448576e+18,3567.0,-3723.0,6434.0,1
1.6461505091938834e+18,3875.0,-3927.0,6172.0,1
1.6461505092449316e+18,3685.0,-3726.0,6610.0,1
1.6461505092928438e+18,3745.0,-3917.0,6275.0,1
1.6461505093443684e+18,3505.0,-3876.0,6562.0,1
1.6461505093931517e+18,3566.0,-3709.0,6578.0,1
1.646150509440606e+18,3508.0,-3734.0,6669.0,1
1.646150509498177e+18,3541.0,-3540.0,6729.0,1
1.64615050954544e+18,3588.0,-3382.0,6749.0,1
1.64615050959656e+18,3525.0,-3495.0,6703.0,1
1.6461505096476516e+18,3474.0,-3636.0,6581.0,1
1.6461505096975706e+18,3796.0,-3862.0,6521.0,1
1.6461505097439214e+18,3509.0,-3667.0,5877.0,1
1.646150509794962e+18,3385.0,-4551.0,6228.0,1
1.6461505098426555e+18,3219.0,-3450.0,6318.0,1
1.6461505098987886e+18,3382.0,-2728.0,5678.0,1
1.6461505099429993e+18,3527.0,-664.0,8082.0,1
1.64615050999848e+18,3387.0,-67.0,9045.0,1
1.6461505100467546e+18,3732.0,-721.0,7811.0,1
1.6461505100986202e+18,3574.0,-1463.0,7191.0,1
1.6461505101451218e+18,3410.0,-1481.0,7651.0,1
1.646150510196907e+18,3624.0,-1624.0,7952.0,1
1.6461505102440156e+18,3400.0,-1581.0,7260.0,1
1.6461505102978332e+18,2732.0,-1644.0,7712.0,1
1.6461505103457784e+18,2952.0,-1765.0,7921.0,1
1.6461505103989604e+18,3520.0,-1915.0,7398.0,1
1.646150510446143e+18,3596.0,-1855.0,7734.0,1
1.6461505104966733e+18,3424.0,-1789.0,7198.0,1
1.6461505105638546e+18,3505.0,-1859.0,7378.0,1
1.646150510598505e+18,3523.0,-1841.0,7418.0,1
1.6461505106443348e+18,3531.0,-1847.0,7517.0,1
1.6461505106878147e+18,3521.0,-1725.0,7548.0,1
1.6461505107447895e+18,3414.0,-1472.0,7279.0,1
1.6461505107948416e+18,3395.0,-1507.0,7670.0,1
1.6461505108437376e+18,3335.0,-1785.0,7743.0,1
1.646150510897798e+18,3369.0,-1639.0,7355.0,1
1.6461505109442435e+18,3484.0,-1781.0,7295.0,1
1.6461505109983e+18,3407.0,-1476.0,7336.0,1
1.6461505110462454e+18,3453.0,-1528.0,7453.0,1
1.6461505110921764e+18,3400.0,-1525.0,7495.0,1
1.646150511148343e+18,3219.0,-1376.0,7559.0,1
1.6461505111946253e+18,3149.0,-1500.0,7724.0,1
1.646150511239206e+18,3251.0,-1193.0,7910.0,1
1.6461505112969444e+18,3330.0,-1802.0,7409.0,1
1.6461505113499105e+18,2990.0,-2088.0,7815.0,1
1.646150511398474e+18,3106.0,-1149.0,7396.0,1
1.6461505114483144e+18,3064.0,-1649.0,8262.0,1
1.6461505114954138e+18,3177.0,-1071.0,7772.0,1
1.6461505115500442e+18,2915.0,-37.0,8429.0,1
1.6461505115973596e+18,3512.0,-701.0,7873.0,1
1.646150511650808e+18,3299.0,-1028.0,7259.0,1
1.6461505117000238e+18,3380.0,-1413.0,6907.0,1
1.64615051175081e+18,2816.0,474.0,8303.0,1
1.64615051179748e+18,3193.0,-387.0,8036.0,1
1.646150511850401e+18,3098.0,-482.0,7733.0,1
1.6461505119047304e+18,3143.0,-550.0,8022.0,1
1.6461505119504381e+18,3143.0,-555.0,7659.0,1
1.646150511997534e+18,3346.0,-337.0,7874.0,1
