timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_BIMANUAL
1.6461501887926487e+18,2586.0,134.0,4193.0,1
1.6461501888438694e+18,3221.0,-2967.0,5077.0,1
1.6461501888967365e+18,2361.0,-2172.0,5644.0,1
1.6461501889429965e+18,3277.0,186.0,7449.0,1
1.6461501889979835e+18,4577.0,-178.0,5305.0,1
1.6461501890436398e+18,3740.0,518.0,3655.0,1
1.6461501890970363e+18,2906.0,467.0,6512.0,1
1.646150189141239e+18,3105.0,188.0,5326.0,1
1.6461501891946877e+18,3059.0,953.0,6934.0,1
1.646150189247959e+18,3456.0,1473.0,6690.0,1
1.6461501892966543e+18,3845.0,596.0,7407.0,1
1.6461501893461724e+18,4682.0,1492.0,7657.0,1
1.6461501893975063e+18,4437.0,1950.0,6476.0,1
1.6461501894480497e+18,4300.0,2336.0,7518.0,1
1.6461501894917276e+18,4281.0,1790.0,6930.0,1
1.6461501895500918e+18,3438.0,2202.0,7498.0,1
1.6461501895930906e+18,4141.0,1115.0,7879.0,1
1.6461501896423378e+18,3664.0,1740.0,7730.0,1
1.646150189693311e+18,3970.0,1546.0,6918.0,1
1.6461501897509924e+18,3504.0,2711.0,6531.0,1
1.646150189792824e+18,3628.0,1956.0,7062.0,1
1.6461501898437706e+18,3416.0,1548.0,7074.0,1
1.6461501898945372e+18,3751.0,2389.0,7004.0,1
1.6461501899489672e+18,4031.0,2032.0,7327.0,1
1.6461501899974733e+18,3885.0,2521.0,6916.0,1
1.6461501900442644e+18,3902.0,1398.0,6998.0,1
1.6461501900943647e+18,3914.0,1479.0,7461.0,1
1.646150190147048e+18,3757.0,1399.0,7339.0,1
1.6461501901946301e+18,3420.0,1868.0,7416.0,1
1.6461501902452022e+18,3004.0,1408.0,6993.0,1
1.6461501902973253e+18,3092.0,-481.0,6873.0,1
1.6461501903490737e+18,1437.0,-1857.0,6244.0,1
1.646150190393408e+18,546.0,-3800.0,3834.0,1
1.646150190445584e+18,2355.0,-3179.0,2394.0,1
1.646150190495136e+18,4545.0,-938.0,-773.0,1
1.6461501905455583e+18,4862.0,-1878.0,812.0,1
1.6461501905959657e+18,2469.0,-1444.0,4853.0,1
1.646150190644066e+18,-1876.0,-4299.0,11667.0,1
1.6461501906918943e+18,-2573.0,-3002.0,14224.0,1
1.646150190745946e+18,-5140.0,-4283.0,14162.0,1
1.646150190794779e+18,-3864.0,-1809.0,11553.0,1
1.6461501908447163e+18,-3049.0,-200.0,9200.0,1
1.6461501908968143e+18,-4162.0,-1579.0,8748.0,1
1.646150190947127e+18,-4551.0,-2331.0,8487.0,1
1.6461501909958267e+18,-4011.0,-938.0,8141.0,1
1.6461501910453312e+18,-4374.0,-1411.0,8203.0,1
1.6461501910897774e+18,-4889.0,-1174.0,8358.0,1
1.6461501911455283e+18,-5189.0,-1439.0,8198.0,1
1.6461501911992852e+18,-4948.0,-1193.0,11576.0,1
1.6461501912481654e+18,-4059.0,-2529.0,12903.0,1
1.646150191298303e+18,-2535.0,-4207.0,12564.0,1
1.6461501913420575e+18,-561.0,-5016.0,9156.0,1
1.6461501913965885e+18,850.0,-4785.0,5971.0,1
1.646150191445261e+18,1948.0,-4609.0,2285.0,1
1.646150191499659e+18,2182.0,-4298.0,114.0,1
1.646150191544842e+18,1994.0,-5285.0,-714.0,1
1.6461501916082455e+18,2364.0,-5558.0,-97.0,1
1.6461501916512207e+18,2320.0,-5250.0,123.0,1
1.6461501917320796e+18,2283.0,-4908.0,254.0,1
1.6461501917320796e+18,2283.0,-4908.0,254.0,1
1.6461501917757123e+18,2263.0,-4429.0,405.0,1
1.646150191913535e+18,2264.0,-3898.0,558.0,1
1.646150191913535e+18,2264.0,-3898.0,558.0,1
1.6461501919455685e+18,2275.0,-3438.0,732.0,1
