timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.6461509199138655e+18,-3769.0,-6156.0,4308.0,1
1.646150919962077e+18,-3784.0,-6098.0,4388.0,1
1.6461509200125978e+18,-3771.0,-6112.0,4376.0,1
1.6461509200588828e+18,-3792.0,-6131.0,4247.0,1
1.6461509201131325e+18,-3790.0,-6125.0,4263.0,1
1.6461509201565868e+18,-3710.0,-6175.0,4156.0,1
1.6461509202116966e+18,-3723.0,-6193.0,4222.0,1
1.6461509202585743e+18,-3674.0,-6256.0,4251.0,1
1.6461509203132436e+18,-3789.0,-6135.0,4254.0,1
1.6461509203587377e+18,-3671.0,-6388.0,4200.0,1
1.646150920410393e+18,-3728.0,-5940.0,4299.0,1
1.646150920458999e+18,-3817.0,-6128.0,4274.0,1
1.6461509205109466e+18,-3560.0,-6086.0,4237.0,1
1.6461509205586063e+18,-3696.0,-6196.0,4329.0,1
1.646150920613564e+18,-3720.0,-6183.0,4338.0,1
1.6461509206560072e+18,-3620.0,-6146.0,4183.0,1
1.64615092071296e+18,-3785.0,-6208.0,4309.0,1
1.6461509207614164e+18,-3658.0,-6161.0,4227.0,1
1.6461509208127933e+18,-3753.0,-6222.0,4197.0,1
1.646150920862688e+18,-3748.0,-6142.0,4200.0,1
1.646150920912777e+18,-3623.0,-6235.0,4193.0,1
1.646150920960616e+18,-3697.0,-6227.0,4185.0,1
1.6461509210130545e+18,-3756.0,-6236.0,4267.0,1
1.6461509210572332e+18,-3607.0,-6349.0,4211.0,1
1.646150921108821e+18,-3759.0,-6191.0,4257.0,1
1.6461509211572626e+18,-3745.0,-6227.0,4340.0,1
1.6461509212128328e+18,-3626.0,-6004.0,4361.0,1
1.6461509212612004e+18,-3650.0,-6163.0,4232.0,1
1.6461509213121953e+18,-3698.0,-6201.0,4342.0,1
1.6461509213611174e+18,-3652.0,-6188.0,4324.0,1
1.646150921407188e+18,-3679.0,-6254.0,4220.0,1
1.6461509214627622e+18,-3602.0,-6531.0,4500.0,1
1.6461509215138796e+18,-3538.0,-6090.0,4191.0,1
1.6461509215638505e+18,-3727.0,-6011.0,4545.0,1
1.6461509216119227e+18,-3526.0,-6071.0,4300.0,1
1.6461509216639667e+18,-3676.0,-5952.0,4636.0,1
1.6461509217147794e+18,-3505.0,-5975.0,4768.0,1
1.6461509217648755e+18,-3600.0,-5983.0,4443.0,1
1.646150921811034e+18,-3603.0,-5936.0,4679.0,1
1.6461509218618337e+18,-3437.0,-6091.0,4602.0,1
1.6461509219102587e+18,-3677.0,-6223.0,4550.0,1
1.6461509219614566e+18,-3593.0,-6063.0,4563.0,1
1.6461509220100818e+18,-3528.0,-6105.0,4335.0,1
1.646150922061331e+18,-3579.0,-6087.0,4707.0,1
1.6461509221139635e+18,-3414.0,-6215.0,4458.0,1
1.6461509221611656e+18,-3758.0,-6034.0,4805.0,1
1.6461509222102874e+18,-3375.0,-6096.0,4353.0,1
1.646150922269062e+18,-3629.0,-5906.0,4812.0,1
1.6461509223122017e+18,-3420.0,-6112.0,4735.0,1
1.6461509223609357e+18,-3665.0,-5726.0,4688.0,1
1.646150922409636e+18,-3541.0,-5789.0,4721.0,1
1.646150922466013e+18,-3421.0,-6093.0,4765.0,1
1.6461509225099336e+18,-3658.0,-6006.0,4736.0,1
1.6461509225646446e+18,-3534.0,-5989.0,4622.0,1
1.6461509226088643e+18,-3517.0,-5971.0,4627.0,1
1.646150922664417e+18,-3530.0,-6028.0,4687.0,1
1.6461509227106455e+18,-3531.0,-6028.0,4772.0,1
1.646150922765481e+18,-3430.0,-6149.0,4538.0,1
1.646150922813464e+18,-3660.0,-5857.0,4940.0,1
1.6461509228653384e+18,-3397.0,-6012.0,4504.0,1
1.6461509229046508e+18,-3426.0,-5790.0,4764.0,1
1.6461509229658755e+18,-3510.0,-6019.0,4848.0,1
1.646150923013294e+18,-3619.0,-5701.0,4876.0,1
1.6461509230620155e+18,-3595.0,-5862.0,4657.0,1
1.646150923114692e+18,-3537.0,-5860.0,4829.0,1
1.6461509231626117e+18,-3515.0,-6127.0,4703.0,1
1.646150923214501e+18,-3665.0,-5884.0,4726.0,1
1.6461509232643395e+18,-3631.0,-6031.0,4686.0,1
1.6461509233151242e+18,-3504.0,-6108.0,4667.0,1
1.6461509233614817e+18,-3667.0,-5856.0,5004.0,1
1.6461509234145106e+18,-3471.0,-5991.0,4646.0,1
1.6461509234671667e+18,-3767.0,-5802.0,4747.0,1
1.6461509235148047e+18,-3513.0,-5719.0,4977.0,1
1.6461509235669957e+18,-3581.0,-5609.0,4870.0,1
1.6461509236145513e+18,-3648.0,-5810.0,4759.0,1
1.6461509236619694e+18,-3508.0,-5978.0,4726.0,1
1.6461509237155264e+18,-3809.0,-5913.0,4971.0,1
1.6461509237662405e+18,-3695.0,-5998.0,4682.0,1
1.6461509238149786e+18,-3555.0,-5856.0,4481.0,1
1.6461509238667886e+18,-3641.0,-6056.0,4914.0,1
