timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_RIGHT
1.6461508218899023e+18,-747.0,-3907.0,-4237.0,1
1.6461508219372096e+18,50.0,-2453.0,-5652.0,1
1.646150821987436e+18,-93.0,-569.0,-8087.0,1
1.646150822034151e+18,-491.0,-610.0,-9697.0,1
1.6461508220877665e+18,64.0,-1013.0,-9583.0,1
1.6461508221358497e+18,-402.0,-2274.0,-7927.0,1
1.646150822188045e+18,626.0,-2672.0,-7439.0,1
1.646150822237781e+18,-511.0,-2324.0,-7664.0,1
1.646150822287522e+18,244.0,-2761.0,-7856.0,1
1.6461508223363622e+18,-295.0,-2258.0,-8361.0,1
1.6461508223876252e+18,-518.0,-2130.0,-8118.0,1
1.6461508224360061e+18,334.0,-2480.0,-7496.0,1
1.6461508224895148e+18,-888.0,-1495.0,-8502.0,1
1.6461508225387402e+18,-888.0,-1369.0,-8056.0,1
1.6461508225866117e+18,461.0,-1619.0,-8469.0,1
1.6461508226411013e+18,-69.0,-1934.0,-8635.0,1
1.6461508226875574e+18,-1915.0,-2128.0,-8011.0,1
1.646150822738216e+18,-1637.0,-1873.0,-7892.0,1
1.646150822784221e+18,-1543.0,-1508.0,-8102.0,1
1.6461508228388206e+18,-2975.0,-771.0,-7811.0,1
1.646150822892658e+18,-1552.0,-2060.0,-7830.0,1
1.6461508229252964e+18,-1136.0,-2808.0,-7669.0,1
1.6461508229861606e+18,-1320.0,-2662.0,-7245.0,1
1.6461508230414925e+18,-2119.0,-2684.0,-7770.0,1
1.6461508230840013e+18,-1746.0,-2795.0,-7482.0,1
1.6461508231360906e+18,-1618.0,-2825.0,-7462.0,1
1.6461508231840645e+18,-1649.0,-3635.0,-7158.0,1
1.6461508232417316e+18,-2620.0,-3293.0,-7006.0,1
1.646150823287045e+18,-2686.0,-5059.0,-4920.0,1
1.6461508233416932e+18,-2186.0,-5817.0,-3602.0,1
1.6461508233870134e+18,-2151.0,-6276.0,-4529.0,1
1.6461508234368822e+18,648.0,-5647.0,-8327.0,1
1.646150823486626e+18,1506.0,-6308.0,-7442.0,1
1.6461508235433912e+18,2840.0,-5721.0,-5376.0,1
1.6461508235863263e+18,425.0,-2368.0,-7692.0,1
1.6461508236371502e+18,1125.0,-2227.0,-8577.0,1
1.6461508236876918e+18,2478.0,-3782.0,-9142.0,1
1.6461508237374828e+18,1823.0,-4195.0,-7708.0,1
1.646150823786138e+18,-611.0,-4658.0,-7198.0,1
1.6461508238387446e+18,-1919.0,-5964.0,-4505.0,1
1.646150823886144e+18,-2054.0,-4389.0,-4373.0,1
1.6461508239412882e+18,-2641.0,-3430.0,-6311.0,1
1.646150823987192e+18,-303.0,-4304.0,-6687.0,1
1.646150824037933e+18,391.0,-4041.0,-7425.0,1
1.6461508240945992e+18,972.0,-4106.0,-7718.0,1
1.646150824139465e+18,517.0,-3658.0,-7187.0,1
1.6461508241937902e+18,796.0,-3144.0,-7445.0,1
1.6461508242413806e+18,1173.0,-1952.0,-8536.0,1
1.646150824292382e+18,431.0,-2145.0,-7484.0,1
1.6461508243380503e+18,1418.0,-2314.0,-7033.0,1
1.646150824393192e+18,2339.0,-1744.0,-8451.0,1
1.6461508244392888e+18,1840.0,-1918.0,-8840.0,1
1.6461508244908756e+18,-594.0,-1490.0,-7578.0,1
1.6461508245387072e+18,-209.0,-1987.0,-8151.0,1
1.6461508245935836e+18,646.0,-2615.0,-8218.0,1
1.6461508246413885e+18,-1065.0,-2347.0,-7967.0,1
1.646150824690361e+18,-2877.0,-1371.0,-8293.0,1
1.646150824733845e+18,-2767.0,-1497.0,-7838.0,1
1.646150824763123e+18,-1656.0,-1430.0,-7830.0,1
1.6461508248554263e+18,-1730.0,-1520.0,-7845.0,1
1.6461508248554263e+18,-1730.0,-1520.0,-7845.0,1
1.6461508250027233e+18,-1716.0,-1565.0,-7857.0,1
1.6461508250027233e+18,-1716.0,-1565.0,-7857.0,1
1.6461508250498563e+18,-1732.0,-1562.0,-7868.0,1
1.6461508250498563e+18,-1732.0,-1562.0,-7868.0,1
1.6461508251675564e+18,-1778.0,-1554.0,-7855.0,1
1.6461508251675564e+18,-1778.0,-1554.0,-7855.0,1
1.646150825286744e+18,-1853.0,-1605.0,-7898.0,1
1.646150825286744e+18,-1853.0,-1605.0,-7898.0,1
1.6461508253322532e+18,-1875.0,-1615.0,-7890.0,1
1.6461508254470758e+18,-1850.0,-1525.0,-7907.0,1
1.6461508254470758e+18,-1850.0,-1525.0,-7907.0,1
1.6461508254470758e+18,-1850.0,-1525.0,-7907.0,1
1.646150825550934e+18,-1814.0,-1402.0,-7942.0,1
1.646150825550934e+18,-1814.0,-1402.0,-7942.0,1
1.6461508256438543e+18,-1796.0,-1251.0,-7979.0,1
1.6461508256438543e+18,-1796.0,-1251.0,-7979.0,1
1.6461508257785265e+18,-1790.0,-1091.0,-8004.0,1
1.6461508257970353e+18,-1794.0,-957.0,-8026.0,1
1.6461508258443471e+18,-920.0,-959.0,-7947.0,1
1.6461508258911516e+18,-4310.0,-4061.0,-5169.0,1
1.6461508259427505e+18,-839.0,-6202.0,-5069.0,1
1.6461508259931215e+18,-427.0,-5698.0,-5596.0,1
1.646150826043374e+18,-470.0,-5757.0,-6406.0,1
1.6461508260934915e+18,1761.0,-5406.0,-7704.0,1
1.6461508261437527e+18,-60.0,-4663.0,-7785.0,1
1.646150826191514e+18,1526.0,-4736.0,-7675.0,1
1.6461508262434212e+18,536.0,-5387.0,-7667.0,1
1.6461508262886497e+18,56.0,-4742.0,-7727.0,1
1.6461508263433876e+18,-2716.0,-6252.0,-5788.0,1
1.6461508263938988e+18,-1341.0,-6728.0,-4345.0,1
1.6461508264435773e+18,-1441.0,-3538.0,-5651.0,1
1.6461508264918925e+18,-2925.0,-3838.0,-6317.0,1
1.646150826546492e+18,-627.0,-3333.0,-6920.0,1
1.646150826591907e+18,959.0,-2104.0,-8466.0,1
1.6461508266458852e+18,-879.0,-2598.0,-8104.0,1
1.6461508267159708e+18,-491.0,-2451.0,-8220.0,1
1.646150826741491e+18,-93.0,-1590.0,-7976.0,1
1.6461508267884657e+18,590.0,-1832.0,-8456.0,1
1.6461508268458803e+18,264.0,-1121.0,-8968.0,1
1.6461508268924703e+18,-560.0,-473.0,-8008.0,1
1.6461508269426875e+18,-382.0,-510.0,-8100.0,1
1.6461508269876733e+18,-1073.0,-516.0,-7834.0,1
1.6461508270450176e+18,-628.0,308.0,-8261.0,1
1.6461508270898762e+18,-1377.0,617.0,-8305.0,1
1.6461508271439918e+18,-502.0,979.0,-8423.0,1
1.6461508271941788e+18,-1142.0,611.0,-7511.0,1
1.646150827245617e+18,-1211.0,171.0,-7760.0,1
1.6461508272956987e+18,-182.0,-164.0,-8707.0,1
1.6461508273281014e+18,-89.0,-60.0,-9066.0,1
1.6461508273839073e+18,-61.0,3.0,-9084.0,1
1.646150827461358e+18,-31.0,89.0,-9066.0,1
1.646150827494961e+18,-44.0,200.0,-9123.0,1
1.6461508275450757e+18,-2447.0,-4806.0,-5538.0,1
1.646150827594992e+18,-2212.0,-5884.0,-5012.0,1
1.6461508276435942e+18,553.0,-5920.0,-6336.0,1
1.646150827695079e+18,1686.0,-5184.0,-8859.0,1
1.6461508277450376e+18,2041.0,-4488.0,-10442.0,1
1.6461508277960428e+18,-377.0,-4682.0,-7304.0,1
1.6461508278449167e+18,1579.0,-5390.0,-4995.0,1
1.64615082789709e+18,-2299.0,-2560.0,-5725.0,1
1.6461508279390687e+18,-372.0,-2601.0,-6905.0,1
1.646150827988508e+18,2095.0,-49.0,-9078.0,1
1.6461508280329974e+18,1579.0,50.0,-10204.0,1
