timestamp,a_right_backPose,b_right_backPose,c_right_backPose, HANDOVER_LEFT
1.646150346775578e+18,-2567.0,1430.0,-7791.0,1
1.6461503468219863e+18,-2593.0,1444.0,-7791.0,1
1.6461503468628644e+18,-2629.0,1472.0,-7774.0,1
1.6461503469546452e+18,-2648.0,1484.0,-7767.0,1
1.6461503470067423e+18,-2658.0,1484.0,-7758.0,1
1.6461503470067423e+18,-2658.0,1484.0,-7758.0,1
1.6461503471068605e+18,-2675.0,1495.0,-7740.0,1
1.6461503471451784e+18,-2698.0,1510.0,-7719.0,1
1.6461503471451784e+18,-2698.0,1510.0,-7719.0,1
1.6461503472616545e+18,-2721.0,1520.0,-7703.0,1
1.6461503472616545e+18,-2721.0,1520.0,-7703.0,1
1.6461503473553836e+18,-2748.0,1525.0,-7682.0,1
1.6461503473974129e+18,-2774.0,1543.0,-7674.0,1
1.6461503474758372e+18,-2792.0,1558.0,-7673.0,1
1.6461503474758372e+18,-2792.0,1558.0,-7673.0,1
1.646150347525948e+18,-2792.0,1568.0,-7655.0,1
1.646150347604832e+18,-2788.0,1566.0,-7646.0,1
1.646150347622868e+18,-2792.0,1569.0,-7647.0,1
1.646150347685623e+18,-2794.0,1585.0,-7650.0,1
1.6461503477215685e+18,-2780.0,1597.0,-7644.0,1
1.6461503478287944e+18,-2759.0,1602.0,-7652.0,1
1.6461503478287944e+18,-2759.0,1602.0,-7652.0,1
1.6461503479474207e+18,-2737.0,1610.0,-7656.0,1
1.6461503479474207e+18,-2737.0,1610.0,-7656.0,1
1.6461503479867397e+18,-2709.0,1616.0,-7661.0,1
1.646150348015598e+18,-2684.0,1618.0,-7666.0,1
1.646150348111715e+18,-2666.0,1631.0,-7677.0,1
1.6461503481682798e+18,-2660.0,1643.0,-7678.0,1
1.6461503481682798e+18,-2660.0,1643.0,-7678.0,1
1.646150348270321e+18,-2646.0,1651.0,-7684.0,1
1.646150348270321e+18,-2646.0,1651.0,-7684.0,1
1.6461503483416968e+18,-2646.0,1658.0,-7686.0,1
1.6461503483416968e+18,-2646.0,1658.0,-7686.0,1
1.6461503484519127e+18,-2645.0,1660.0,-7692.0,1
1.646150348494885e+18,-2665.0,1542.0,-7702.0,1
1.6461503485613888e+18,-2651.0,1607.0,-7694.0,1
1.6461503485942556e+18,-2750.0,1898.0,-7589.0,1
1.646150348641236e+18,-2759.0,1978.0,-7556.0,1
1.646150348694762e+18,-2811.0,1983.0,-7555.0,1
1.646150348745924e+18,-2816.0,1943.0,-7562.0,1
1.6461503487985597e+18,-2811.0,1928.0,-7568.0,1
1.6461503488422674e+18,-2796.0,1925.0,-7579.0,1
1.6461503488981504e+18,-2794.0,1921.0,-7591.0,1
1.646150348967075e+18,-2798.0,1915.0,-7582.0,1
1.646150349016298e+18,-2795.0,1914.0,-7582.0,1
1.6461503490430958e+18,-2780.0,1918.0,-7577.0,1
1.6461503491308214e+18,-2782.0,1923.0,-7579.0,1
1.6461503491465252e+18,-2785.0,1940.0,-7588.0,1
1.6461503491465252e+18,-2785.0,1940.0,-7588.0,1
1.6461503492471695e+18,-2781.0,1954.0,-7587.0,1
1.646150349283513e+18,-2767.0,1966.0,-7585.0,1
1.6461503493269463e+18,-2755.0,1970.0,-7577.0,1
1.6461503494130353e+18,-2759.0,1983.0,-7588.0,1
1.6461508600418926e+18,-7929.0,2937.0,-1547.0,1
1.6461508600804275e+18,-7956.0,2949.0,-1533.0,1
1.6461508601364826e+18,-7480.0,2887.0,-1762.0,1
1.6461508601863158e+18,-7670.0,2916.0,-1484.0,1
1.6461508602411443e+18,-7745.0,2895.0,-1526.0,1
1.6461508602830077e+18,-7580.0,2891.0,-1528.0,1
1.6461508603364972e+18,-7606.0,2928.0,-1576.0,1
1.6461508603833887e+18,-7631.0,2942.0,-1545.0,1
1.6461508604359342e+18,-7592.0,2971.0,-1524.0,1
1.646150860485283e+18,-7558.0,3007.0,-1476.0,1
1.6461508605380413e+18,-7626.0,3000.0,-1420.0,1
1.6461508605830193e+18,-7756.0,3020.0,-1372.0,1
1.6461508606369807e+18,-7590.0,3011.0,-1469.0,1
1.64615086068281e+18,-7710.0,3011.0,-1396.0,1
1.6461508607378245e+18,-7546.0,3012.0,-1370.0,1
1.6461508607827471e+18,-7608.0,2979.0,-1413.0,1
1.6461508608542794e+18,-7593.0,2993.0,-1440.0,1
1.646150860892188e+18,-7597.0,3000.0,-1435.0,1
1.6461508609347136e+18,-7603.0,3004.0,-1427.0,1
1.6461508609756685e+18,-7612.0,3005.0,-1415.0,1
1.646150861043891e+18,-7616.0,3003.0,-1392.0,1
1.6461508611024975e+18,-7708.0,3012.0,-1302.0,1
1.6461508611340186e+18,-7538.0,3010.0,-1434.0,1
1.6461508611780636e+18,-7572.0,3012.0,-1411.0,1
1.6461508612440614e+18,-7623.0,3010.0,-1392.0,1
1.646150861293912e+18,-7666.0,3025.0,-1369.0,1
1.646150861338313e+18,-7659.0,3030.0,-1390.0,1
1.6461508613866862e+18,-7623.0,3029.0,-1439.0,1
1.6461508614373857e+18,-7600.0,3015.0,-1426.0,1
1.646150861487925e+18,-7656.0,3026.0,-1406.0,1
1.6461508615333637e+18,-7553.0,3019.0,-1420.0,1
1.6461508615885768e+18,-7636.0,3019.0,-1411.0,1
1.6461508616327424e+18,-7595.0,3027.0,-1420.0,1
1.6461508616957967e+18,-7568.0,3028.0,-1421.0,1
1.6461508617273213e+18,-7570.0,3031.0,-1391.0,1
1.6461508617873206e+18,-7639.0,3035.0,-1367.0,1
1.6461508618350605e+18,-7602.0,3027.0,-1352.0,1
1.6461508618879754e+18,-7691.0,3031.0,-1288.0,1
1.6461508619339592e+18,-7616.0,3016.0,-1328.0,1
1.646150861999786e+18,-7566.0,3024.0,-1322.0,1
1.6461508620591803e+18,-7578.0,3026.0,-1317.0,1
1.6461508620894408e+18,-7594.0,3023.0,-1318.0,1
1.6461508621374474e+18,-7615.0,3022.0,-1311.0,1
1.646150862172067e+18,-7639.0,3016.0,-1300.0,1
1.6461508622552428e+18,-7666.0,3018.0,-1288.0,1
1.6461508622891722e+18,-7693.0,3020.0,-1289.0,1
1.6461508622891722e+18,-7693.0,3020.0,-1289.0,1
1.6461508623967808e+18,-7705.0,3019.0,-1284.0,1
1.646150862425625e+18,-7721.0,3028.0,-1265.0,1
