timestamp,a_right_backPose,b_right_backPose,c_right_backPose, PICKUP_RIGHT
1.6461502060127862e+18,-1689.0,2051.0,-8481.0,1
1.646150206064967e+18,-1398.0,1718.0,-7945.0,1
1.6461502061123474e+18,-932.0,1338.0,-7941.0,1
1.6461502061688684e+18,-699.0,1570.0,-7885.0,1
1.646150206212894e+18,-930.0,1621.0,-7641.0,1
1.646150206266212e+18,-1039.0,1688.0,-8011.0,1
1.646150206317506e+18,-1246.0,1645.0,-8077.0,1
1.6461502063643036e+18,-1099.0,1620.0,-8160.0,1
1.6461502064126254e+18,-1123.0,1937.0,-7834.0,1
1.6461502064692618e+18,-1405.0,1894.0,-8249.0,1
1.646150206514009e+18,-1250.0,1999.0,-8265.0,1
1.6461502065640783e+18,-1846.0,1804.0,-7824.0,1
1.6461502066116352e+18,-2328.0,1786.0,-6993.0,1
1.6461502066663265e+18,-1591.0,1798.0,-7430.0,1
1.6461502067118244e+18,-974.0,1794.0,-8558.0,1
1.646150206763139e+18,-852.0,2455.0,-8683.0,1
1.6461502068157722e+18,-1464.0,3937.0,-8765.0,1
1.6461502068682102e+18,368.0,3219.0,-8935.0,1
1.6461502069161828e+18,-1224.0,3867.0,-7760.0,1
1.6461502069637678e+18,-1769.0,2816.0,-7726.0,1
1.6461502070171177e+18,-4579.0,1527.0,-6995.0,1
1.6461502070685898e+18,-4208.0,123.0,-7397.0,1
1.6461502071170376e+18,-4351.0,-917.0,-7592.0,1
1.6461502071665068e+18,-5540.0,-1495.0,-6482.0,1
1.6461502077648353e+18,-4688.0,-4849.0,-4256.0,1
1.6461502078198886e+18,-4452.0,-4626.0,-4598.0,1
1.6461502078673162e+18,-4401.0,-4865.0,-4954.0,1
1.6461502079204426e+18,-4384.0,-4904.0,-5236.0,1
1.6461502079385764e+18,-4291.0,-4980.0,-5218.0,1
1.6461502080480274e+18,-4342.0,-4952.0,-5194.0,1
1.6461502080480274e+18,-4342.0,-4952.0,-5194.0,1
1.6461502080480274e+18,-4342.0,-4952.0,-5194.0,1
1.6461502082526648e+18,-4364.0,-4918.0,-5179.0,1
1.6461502082526648e+18,-4364.0,-4918.0,-5179.0,1
1.646150208272156e+18,-4334.0,-4905.0,-5151.0,1
1.6461502083152128e+18,-4258.0,-4901.0,-5090.0,1
1.6461502083662976e+18,-2899.0,-4304.0,-6849.0,1
1.6461502084176453e+18,-2311.0,-3636.0,-6774.0,1
1.6461502084668375e+18,-1833.0,-3861.0,-6763.0,1
1.6461502085165082e+18,-2231.0,-3892.0,-6843.0,1
1.6461502085720714e+18,-1085.0,-4068.0,-7195.0,1
1.646150208617379e+18,-818.0,-3423.0,-7150.0,1
1.6461502086720786e+18,-1285.0,-3867.0,-7064.0,1
1.6461502087196524e+18,-2245.0,-3106.0,-7531.0,1
1.6461502087700913e+18,-1436.0,-3790.0,-7523.0,1
1.646150208786157e+18,-1172.0,-3879.0,-7419.0,1
1.646150208912919e+18,-1023.0,-3887.0,-7370.0,1
1.646150208912919e+18,-1023.0,-3887.0,-7370.0,1
1.6461502089666885e+18,-1176.0,-3728.0,-7291.0,1
1.6461502090427456e+18,-1260.0,-3459.0,-7289.0,1
1.6461502090427456e+18,-1260.0,-3459.0,-7289.0,1
1.6461502091270195e+18,-1265.0,-3423.0,-7308.0,1
1.646150209169847e+18,-1482.0,-3682.0,-6937.0,1
1.646150209220341e+18,-1835.0,-3419.0,-7239.0,1
1.6461502092686595e+18,-2014.0,-2753.0,-7352.0,1
1.646150209318625e+18,-2165.0,-2518.0,-7616.0,1
1.6461502093686866e+18,-1712.0,-2896.0,-7739.0,1
1.646150209420216e+18,-2106.0,-2637.0,-7811.0,1
1.6461502094705887e+18,-1117.0,-2980.0,-7488.0,1
1.6461502095205033e+18,-2189.0,-2697.0,-7098.0,1
1.646150209562302e+18,-1621.0,-2414.0,-6896.0,1
1.6461502096203694e+18,-1560.0,-1346.0,-8315.0,1
1.646150209668777e+18,-1328.0,-2205.0,-9180.0,1
1.6461502097189007e+18,-785.0,-1639.0,-8811.0,1
1.6461502097701573e+18,2004.0,-2213.0,-8028.0,1
1.6461502098164165e+18,-602.0,-1117.0,-8153.0,1
1.646150209870398e+18,-1605.0,-386.0,-8682.0,1
1.6461502099216745e+18,-1190.0,1284.0,-8657.0,1
1.6461502099679462e+18,-1135.0,585.0,-6657.0,1
1.646150210018063e+18,-356.0,1091.0,-6816.0,1
1.646150210072909e+18,-1675.0,1347.0,-8416.0,1
1.6461502101180677e+18,-535.0,2288.0,-9002.0,1
1.6461502101681265e+18,90.0,1413.0,-8988.0,1
1.6461502102219346e+18,1627.0,1911.0,-9458.0,1
1.6461502102705946e+18,3374.0,4892.0,-11530.0,1
1.6461502103186652e+18,4672.0,4277.0,-8966.0,1
1.6461502103693445e+18,1022.0,3854.0,-3117.0,1
1.646150210425583e+18,-2209.0,8060.0,-834.0,1
1.646150210470689e+18,-3717.0,11293.0,-3501.0,1
1.6461502105215698e+18,-2326.0,11157.0,-6267.0,1
1.6461502105735478e+18,-948.0,7912.0,-5796.0,1
1.6461502106236104e+18,146.0,6684.0,-4968.0,1
1.646150210671102e+18,-459.0,7533.0,-4528.0,1
1.64615021072031e+18,-939.0,10002.0,-4386.0,1
1.6461502107706888e+18,-1184.0,10189.0,-2856.0,1
1.6461502108185252e+18,-3255.0,8417.0,-4161.0,1
1.6461502108743729e+18,-5549.0,5396.0,-5470.0,1
1.6461502109203036e+18,480.0,649.0,-10639.0,1
1.6461502109709092e+18,1219.0,-1727.0,-2419.0,1
1.6461502110220608e+18,-4601.0,-2639.0,3772.0,1
1.6461502110745859e+18,-2680.0,4460.0,-6027.0,1
1.6461502111210831e+18,3536.0,2436.0,-10826.0,1
1.6461502111708127e+18,-234.0,3979.0,-12231.0,1
1.6461502112230362e+18,-141.0,2931.0,-7542.0,1
1.6461502112710666e+18,-467.0,3818.0,-10010.0,1
1.6461502113211758e+18,-1582.0,6465.0,-11549.0,1
1.6461502113718198e+18,-5980.0,9571.0,-12007.0,1
1.6461502114230175e+18,-4079.0,3978.0,-4407.0,1
1.6461502114683553e+18,-8003.0,-352.0,1231.0,1
1.6461502115267028e+18,-6965.0,839.0,51.0,1
1.64615021156754e+18,-127.0,845.0,-3478.0,1
1.6461502116214884e+18,3994.0,263.0,-5675.0,1
1.6461502116709437e+18,5433.0,1737.0,-7739.0,1
1.646150211721498e+18,-214.0,3189.0,-7177.0,1
1.6461502117765125e+18,1900.0,2142.0,-8786.0,1
1.6461502118249057e+18,-1142.0,253.0,-8307.0,1
1.6461502118731945e+18,-1603.0,-282.0,-8279.0,1
1.6461502119225825e+18,-1602.0,383.0,-8150.0,1
1.6461502119715146e+18,-935.0,795.0,-8285.0,1
1.646150212020152e+18,113.0,561.0,-8202.0,1
1.6461502120705193e+18,-531.0,825.0,-8268.0,1
1.6461502121204925e+18,160.0,280.0,-8292.0,1
1.646150212180732e+18,-178.0,159.0,-8757.0,1
1.646150212219991e+18,-1176.0,75.0,-8461.0,1
1.6461502122753034e+18,-1034.0,266.0,-8646.0,1
1.646150212321171e+18,-1477.0,5.0,-7858.0,1
1.6461502123758497e+18,-1932.0,589.0,-7902.0,1
1.6461502124230968e+18,-2139.0,896.0,-8133.0,1
1.64615021247474e+18,-2597.0,1117.0,-6986.0,1
1.6461502125216356e+18,-4257.0,907.0,-4990.0,1
1.6461502125721859e+18,-6788.0,1045.0,-1799.0,1
1.6461502126214671e+18,-7265.0,1798.0,1803.0,1
1.6461502126767416e+18,-8154.0,2919.0,4022.0,1
1.6461502127222538e+18,-7402.0,2695.0,5274.0,1
1.646150212770925e+18,-6563.0,2685.0,5878.0,1
1.6461502128223045e+18,-5878.0,2222.0,5994.0,1
1.646150212876584e+18,-4998.0,2383.0,6399.0,1
1.6461502129205169e+18,-4548.0,2389.0,6614.0,1
1.6461502129750963e+18,-4373.0,2466.0,6577.0,1
1.646150213020257e+18,-4292.0,2408.0,6828.0,1
1.646150213070547e+18,-4315.0,2509.0,6780.0,1
1.6461502131252296e+18,-4308.0,2305.0,6813.0,1
1.6461502131743685e+18,-4079.0,2825.0,6846.0,1
1.646150213221141e+18,-3834.0,2346.0,7169.0,1
1.6461502132755062e+18,-4096.0,2691.0,7122.0,1
1.6461502133214536e+18,-4173.0,2704.0,6745.0,1
1.646150213376234e+18,-3528.0,2901.0,6896.0,1
1.6461502134269391e+18,-4464.0,2527.0,6773.0,1
1.6461502134737178e+18,-4497.0,2226.0,6816.0,1
1.646150213526801e+18,-4522.0,2240.0,6342.0,1
1.6461502135767316e+18,-4480.0,2056.0,6588.0,1
1.6461502136272302e+18,-4531.0,1920.0,6523.0,1
1.6461502136720822e+18,-5457.0,2024.0,6392.0,1
1.6461502137274798e+18,-4759.0,2086.0,6591.0,1
1.6461502137764498e+18,-5148.0,1954.0,6269.0,1
1.646150213827736e+18,-5599.0,1662.0,5836.0,1
1.6461502138723046e+18,-5756.0,1306.0,5609.0,1
1.6461502139244326e+18,-6729.0,1019.0,5281.0,1
1.6461502139783048e+18,-6091.0,1267.0,5212.0,1
1.646150214026157e+18,-6193.0,1236.0,5108.0,1
1.6461502140722204e+18,-6216.0,1358.0,5114.0,1
1.6461502141266644e+18,-6186.0,1444.0,5237.0,1
1.6461502141709563e+18,-6541.0,1932.0,5713.0,1
1.6461502142218583e+18,-5821.0,2273.0,6020.0,1
1.6461502142725466e+18,-5828.0,2417.0,5731.0,1
1.6461502143285535e+18,-5971.0,2033.0,5441.0,1
1.6461502143713644e+18,-6349.0,2303.0,5026.0,1
1.6461502144250376e+18,-6312.0,1751.0,5193.0,1
1.6461502144742659e+18,-6855.0,2063.0,5037.0,1
1.64615021452461e+18,-6649.0,1633.0,5016.0,1
1.6461502145773548e+18,-7207.0,1443.0,4582.0,1
1.6461502146238502e+18,-7179.0,1402.0,4395.0,1
1.6461502146731804e+18,-7278.0,1446.0,4031.0,1
1.6461502147268657e+18,-7356.0,1191.0,3565.0,1
1.6461502147720704e+18,-7004.0,1144.0,3465.0,1
1.6461502148288558e+18,-6940.0,1714.0,3556.0,1
1.6461502148709494e+18,-6677.0,1822.0,3968.0,1
1.6461502149261458e+18,-6483.0,2094.0,4165.0,1
1.6461502149801894e+18,-7017.0,1724.0,4042.0,1
1.6461502150268234e+18,-7521.0,1401.0,3869.0,1
1.6461502150759434e+18,-7745.0,781.0,3748.0,1
1.6461502151276065e+18,-7917.0,1080.0,3639.0,1
1.6461502151758848e+18,-7487.0,996.0,3163.0,1
1.6461502152227361e+18,-8133.0,955.0,2973.0,1
1.6461502152765496e+18,-7964.0,1103.0,2126.0,1
1.6461502153265078e+18,-8099.0,965.0,1150.0,1
1.6461502153767155e+18,-8465.0,748.0,-227.0,1
1.646150215426974e+18,-8203.0,468.0,-1733.0,1
1.6461502154792092e+18,-6298.0,511.0,-3187.0,1
1.6461502155226156e+18,-5511.0,379.0,-4729.0,1
1.6461502155773832e+18,-4310.0,209.0,-6120.0,1
1.6461502156231962e+18,-3299.0,163.0,-7617.0,1
1.6461505053428705e+18,-6875.0,-5182.0,-4867.0,1
1.646150505388486e+18,-10788.0,-1429.0,-5056.0,1
1.6461505054426102e+18,-9556.0,1240.0,-6950.0,1
1.6461505054882714e+18,-4634.0,-622.0,-9850.0,1
1.6461505055391762e+18,-3091.0,-1631.0,-6110.0,1
1.6461505055934495e+18,-2511.0,-1458.0,-5570.0,1
1.6461505056420864e+18,-505.0,1753.0,-10032.0,1
1.646150505681614e+18,-716.0,-60.0,-8682.0,1
1.6461505057401037e+18,-1321.0,-1917.0,-7783.0,1
1.6461505057883433e+18,-1573.0,-2872.0,-8065.0,1
1.6461505058424466e+18,-776.0,-2894.0,-7729.0,1
1.6461505058893755e+18,38.0,-2949.0,-7528.0,1
1.6461505059382262e+18,-1336.0,-2598.0,-7601.0,1
1.646150505981773e+18,-1297.0,-2148.0,-7896.0,1
1.6461505060475976e+18,-1207.0,-2097.0,-7875.0,1
1.64615050609175e+18,-1088.0,-2114.0,-7868.0,1
1.64615050609175e+18,-1088.0,-2114.0,-7868.0,1
1.6461505062246508e+18,-961.0,-2199.0,-7850.0,1
1.6461505062391127e+18,-3029.0,-3322.0,-7036.0,1
1.6461505062964106e+18,-4394.0,-1771.0,-5353.0,1
1.6461505063421745e+18,-5819.0,-1015.0,-4523.0,1
1.6461505063902275e+18,-6795.0,-368.0,-4326.0,1
1.6461505064379512e+18,-7250.0,-267.0,-4723.0,1
1.6461505064945864e+18,-6774.0,289.0,-4805.0,1
1.6461505065379666e+18,-7196.0,834.0,-3705.0,1
1.646150506592377e+18,-8235.0,1893.0,-740.0,1
1.6461505066387098e+18,-8600.0,3492.0,-826.0,1
1.6461505066935619e+18,-8806.0,4237.0,-528.0,1
1.646150506737252e+18,-11621.0,5407.0,182.0,1
1.6461505067943444e+18,-11437.0,6060.0,1741.0,1
1.6461505068443976e+18,-10380.0,5921.0,3317.0,1
1.6461505068832922e+18,-8575.0,5248.0,4071.0,1
1.646150506938181e+18,-6129.0,4618.0,5001.0,1
1.646150506989069e+18,-3241.0,2249.0,5301.0,1
1.6461505070384026e+18,-3545.0,1793.0,4460.0,1
1.6461508364062195e+18,-5871.0,711.0,-2390.0,1
1.6461508364555633e+18,-6878.0,3302.0,-2308.0,1
1.6461508365049477e+18,-5904.0,4309.0,-1883.0,1
1.6461508365558597e+18,-5425.0,6735.0,-1872.0,1
1.6461508366066918e+18,-4823.0,7757.0,-2337.0,1
1.646150836655003e+18,-4094.0,9321.0,-2180.0,1
1.6461508367057777e+18,-2342.0,8785.0,-1957.0,1
