timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.646150508344924e+18,2908.0,-1212.0,6048.0,1
1.6461505083957967e+18,2237.0,-4535.0,7151.0,1
1.6461505084466148e+18,1323.0,-3419.0,7041.0,1
1.6461505084918083e+18,461.0,-4114.0,9176.0,1
1.6461505085472896e+18,155.0,-4343.0,7360.0,1
1.646150508591456e+18,639.0,-5202.0,5027.0,1
1.64615050864737e+18,-195.0,-4630.0,6294.0,1
1.6461505086911462e+18,37.0,-5239.0,5736.0,1
1.6461505087643067e+18,-182.0,-6562.0,5181.0,1
1.6461505087643067e+18,-182.0,-6562.0,5181.0,1
1.6461505088656701e+18,-274.0,-6834.0,5210.0,1
1.6461505089171308e+18,-393.0,-7072.0,5269.0,1
1.6461505089606106e+18,-521.0,-7300.0,5266.0,1
1.6461505089926966e+18,-1217.0,-7747.0,4564.0,1
1.646150509047389e+18,-3064.0,1545.0,7503.0,1
1.646150509094234e+18,-1738.0,-2371.0,6774.0,1
1.6461505091437202e+18,-3148.0,42.0,8216.0,1
1.6461505091917978e+18,-1057.0,2295.0,8019.0,1
1.6461505092467922e+18,962.0,1266.0,7519.0,1
1.646150509294107e+18,1695.0,-1427.0,8281.0,1
1.6461505093419144e+18,2570.0,-3231.0,7830.0,1
1.6461505093923766e+18,2113.0,-5198.0,7132.0,1
1.646150509451434e+18,1425.0,-692.0,7531.0,1
1.6461505094994926e+18,900.0,-2538.0,7106.0,1
1.6461505095500513e+18,772.0,-3299.0,8809.0,1
1.64615050959687e+18,326.0,-3473.0,7308.0,1
1.6461505096462213e+18,-305.0,-5074.0,7525.0,1
1.6461505096969523e+18,-1327.0,-3853.0,5383.0,1
1.6461505097464978e+18,-1202.0,-3592.0,7595.0,1
1.6461505097804188e+18,-1156.0,-1415.0,7252.0,1
1.6461505098406492e+18,-1092.0,-1257.0,7175.0,1
1.6461505098866396e+18,-1019.0,-1156.0,7135.0,1
1.6461505099462295e+18,-706.0,-2079.0,7542.0,1
1.6461505099966996e+18,-1395.0,-1935.0,8261.0,1
1.6461505100480479e+18,-798.0,-9.0,7392.0,1
1.6461505100993795e+18,-1153.0,1342.0,7466.0,1
1.6461505101467136e+18,-1508.0,1558.0,8182.0,1
1.6461505101984622e+18,-1221.0,1500.0,7559.0,1
1.6461505102470195e+18,-2125.0,5346.0,5023.0,1
1.6461505102972316e+18,-2986.0,5399.0,4609.0,1
1.6461505103471327e+18,-3396.0,7554.0,2496.0,1
1.646150510395812e+18,-3074.0,6755.0,2673.0,1
1.6461505104467548e+18,-2926.0,8128.0,2830.0,1
1.6461505104975388e+18,-2655.0,8174.0,2715.0,1
1.6461505105476196e+18,-1828.0,7802.0,3335.0,1
1.6461505105941806e+18,-1375.0,6291.0,4264.0,1
1.6461505106523116e+18,-1339.0,6477.0,4364.0,1
1.6461505106956396e+18,-837.0,3566.0,7335.0,1
1.6461505107410532e+18,-970.0,4358.0,8220.0,1
1.646150510793548e+18,-1119.0,-819.0,8772.0,1
1.6461505108488888e+18,-368.0,1305.0,7300.0,1
1.6461505108986194e+18,-482.0,-1449.0,8068.0,1
1.6461505109426616e+18,-112.0,-1080.0,6981.0,1
1.646150511000963e+18,-623.0,2868.0,7327.0,1
1.6461505110516856e+18,-806.0,685.0,8345.0,1
1.6461505110971505e+18,-1085.0,754.0,9968.0,1
1.646150511146637e+18,-957.0,-951.0,8910.0,1
