timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, HANDOVER_LEFT
1.646150346775793e+18,3.0,4502.0,7013.0,1
1.6461503468222275e+18,6.0,4512.0,7007.0,1
1.6461503468631542e+18,-5.0,4533.0,7008.0,1
1.646150346954837e+18,-16.0,4551.0,6993.0,1
1.6461503470069148e+18,-27.0,4566.0,6982.0,1
1.6461503470069148e+18,-27.0,4566.0,6982.0,1
1.6461503471070323e+18,-31.0,4584.0,6970.0,1
1.6461503471455183e+18,-36.0,4601.0,6944.0,1
1.6461503471455183e+18,-36.0,4601.0,6944.0,1
1.6461503472619907e+18,-34.0,4612.0,6923.0,1
1.6461503472619907e+18,-34.0,4612.0,6923.0,1
1.6461503473555297e+18,-31.0,4631.0,6914.0,1
1.6461503473978307e+18,-31.0,4659.0,6914.0,1
1.6461503474761044e+18,-27.0,4684.0,6904.0,1
1.6461503474761044e+18,-27.0,4684.0,6904.0,1
1.646150347526252e+18,-32.0,4702.0,6891.0,1
1.6461503476049682e+18,-40.0,4705.0,6884.0,1
1.646150347623022e+18,-42.0,4702.0,6873.0,1
1.646150347685992e+18,-46.0,4691.0,6871.0,1
1.6461503477218455e+18,-50.0,4677.0,6864.0,1
1.6461503478290565e+18,-59.0,4665.0,6877.0,1
1.6461503478290565e+18,-59.0,4665.0,6877.0,1
1.6461503479478116e+18,-83.0,4651.0,6885.0,1
1.6461503479478116e+18,-83.0,4651.0,6885.0,1
1.6461503479869174e+18,-95.0,4634.0,6898.0,1
1.6461503480158316e+18,-115.0,4615.0,6896.0,1
1.6461503481119324e+18,-130.0,4595.0,6898.0,1
1.6461503481686272e+18,-150.0,4582.0,6901.0,1
1.6461503481686272e+18,-150.0,4582.0,6901.0,1
1.6461503482705157e+18,-164.0,4569.0,6906.0,1
1.6461503482705157e+18,-164.0,4569.0,6906.0,1
1.646150348342022e+18,-172.0,4563.0,6907.0,1
1.646150348342022e+18,-172.0,4563.0,6907.0,1
1.6461503484520502e+18,-181.0,4560.0,6924.0,1
1.646150348495257e+18,-63.0,4496.0,6914.0,1
1.646150348561539e+18,-186.0,4578.0,6934.0,1
1.646150348593569e+18,-280.0,4646.0,6844.0,1
1.6461503486413668e+18,-259.0,4615.0,6873.0,1
1.646150348695131e+18,-213.0,4664.0,6849.0,1
1.646150348746248e+18,-163.0,4663.0,6871.0,1
1.6461503487990252e+18,-154.0,4659.0,6880.0,1
1.6461503487990252e+18,-154.0,4659.0,6880.0,1
1.6461503488986685e+18,-150.0,4647.0,6881.0,1
1.6461503489290703e+18,-148.0,4638.0,6876.0,1
1.64615034901428e+18,-150.0,4638.0,6876.0,1
1.6461503490434778e+18,-152.0,4643.0,6862.0,1
1.6461503490725944e+18,-152.0,4653.0,6867.0,1
1.646150349147051e+18,-157.0,4671.0,6874.0,1
1.6461503492104205e+18,-167.0,4683.0,6877.0,1
1.6461503492104205e+18,-167.0,4683.0,6877.0,1
1.6461503492838976e+18,-189.0,4690.0,6877.0,1
1.6461503493614623e+18,-229.0,4676.0,6869.0,1
1.6461503493614623e+18,-229.0,4676.0,6869.0,1
1.6461508600422203e+18,-3445.0,7604.0,1716.0,1
1.6461508600806922e+18,-3453.0,7621.0,1753.0,1
1.646150860136938e+18,-3369.0,7048.0,1932.0,1
1.6461508601866176e+18,-3357.0,7396.0,1755.0,1
1.6461508602414054e+18,-3401.0,7312.0,1829.0,1
1.646150860283498e+18,-3344.0,7267.0,1753.0,1
1.646150860335025e+18,-3359.0,7235.0,1793.0,1
1.6461508603837834e+18,-3379.0,7257.0,1727.0,1
1.6461508604362836e+18,-3435.0,7205.0,1812.0,1
1.6461508604831606e+18,-3450.0,7189.0,1734.0,1
1.646150860538353e+18,-3439.0,7267.0,1702.0,1
1.6461508605833956e+18,-3470.0,7329.0,1691.0,1
1.6461508606337969e+18,-3487.0,7220.0,1792.0,1
1.6461508606831414e+18,-3446.0,7317.0,1745.0,1
1.6461508607382034e+18,-3397.0,7128.0,1709.0,1
1.6461508607836068e+18,-3379.0,7248.0,1758.0,1
