timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY1_BIMANUAL
1.646144959493901e+18,-3334.0,-3662.0,6604.0,1
1.6461449595343342e+18,-3467.0,-4392.0,6309.0,1
1.6461449595914278e+18,-4057.0,-4171.0,6718.0,1
1.6461449596375524e+18,-4266.0,-4616.0,6691.0,1
1.6461449596870351e+18,-4116.0,-3973.0,6291.0,1
1.6461449597395594e+18,-3800.0,-3736.0,6278.0,1
1.6461449597920563e+18,-3641.0,-4168.0,6098.0,1
1.6461449598387274e+18,-3797.0,-3730.0,6268.0,1
1.646144959893292e+18,-4108.0,-4182.0,6413.0,1
1.646144959936387e+18,-4286.0,-3888.0,6597.0,1
1.6461449599928584e+18,-4210.0,-3882.0,6607.0,1
1.6461449600346394e+18,-4196.0,-3397.0,6783.0,1
1.6461449600923356e+18,-4072.0,-3630.0,6597.0,1
1.6461449601349578e+18,-4221.0,-2725.0,6623.0,1
1.6461449601899356e+18,-4315.0,-2980.0,7062.0,1
1.6461449602383631e+18,-3894.0,-3737.0,6799.0,1
1.646144960291572e+18,-4157.0,-2575.0,6826.0,1
1.6461449603405263e+18,-4120.0,-2774.0,7212.0,1
1.646144960390825e+18,-4249.0,-2711.0,6771.0,1
1.6461449604420237e+18,-4453.0,-2341.0,7222.0,1
1.646144960490243e+18,-3861.0,-3259.0,7593.0,1
1.6461449605419868e+18,-3703.0,-2965.0,7337.0,1
1.6461449605905236e+18,-3949.0,-2508.0,6999.0,1
1.6461449606406922e+18,-3907.0,-3291.0,8206.0,1
1.646144960691519e+18,-4534.0,1023.0,5856.0,1
1.64614496074149e+18,-4280.0,-1868.0,7686.0,1
1.6461449607896558e+18,-3698.0,-2011.0,7329.0,1
1.646144960819768e+18,-3772.0,-1917.0,7556.0,1
1.6461449609251884e+18,-3846.0,-1783.0,7681.0,1
1.6461449609251884e+18,-3846.0,-1783.0,7681.0,1
1.6461449609760563e+18,-3918.0,-1677.0,7801.0,1
1.6461449610678612e+18,-3955.0,-1647.0,7901.0,1
1.6461449610951273e+18,-3928.0,-1692.0,7917.0,1
1.646144961144108e+18,-2614.0,-2122.0,7403.0,1
1.6461449611907133e+18,-3018.0,-2091.0,6120.0,1
1.6461449612387566e+18,-2847.0,-4139.0,7867.0,1
1.6461449612894623e+18,-3105.0,-3865.0,7899.0,1
1.6461449613448195e+18,-4398.0,-422.0,8470.0,1
1.6461449613920965e+18,-4951.0,2355.0,7073.0,1
1.6461449614438828e+18,-2659.0,-4546.0,4341.0,1
1.6461449614898918e+18,-2125.0,-5196.0,5481.0,1
1.6461449615419338e+18,-3137.0,-3040.0,5332.0,1
1.6461449615867802e+18,-4643.0,-3703.0,7439.0,1
1.646144961629947e+18,-4577.0,-3657.0,7709.0,1
1.646144961687083e+18,-4555.0,-3483.0,7793.0,1
1.6461449617420726e+18,-4529.0,-3245.0,7860.0,1
1.6461449618214377e+18,-4532.0,-2970.0,7912.0,1
1.6461449618214377e+18,-4532.0,-2970.0,7912.0,1
1.6461449618908273e+18,-4605.0,-2443.0,7941.0,1
1.6461449619436508e+18,-1168.0,-5658.0,4393.0,1
1.6461449619888502e+18,-701.0,-4238.0,4030.0,1
1.6461449620375644e+18,-757.0,-4301.0,3723.0,1
1.646144962094773e+18,-744.0,-5875.0,4028.0,1
1.6461449621398328e+18,-550.0,-4755.0,4699.0,1
1.6461449621867807e+18,-1170.0,-6171.0,6026.0,1
1.6461449622190735e+18,-889.0,-6923.0,5945.0,1
1.6461449623403092e+18,-772.0,-7219.0,5863.0,1
1.6461449623403092e+18,-772.0,-7219.0,5863.0,1
1.646144962360632e+18,-396.0,-7489.0,5716.0,1
1.646144962360632e+18,-396.0,-7489.0,5716.0,1
1.646144962360632e+18,-396.0,-7489.0,5716.0,1
1.646144962360632e+18,-396.0,-7489.0,5716.0,1
1.646144962360632e+18,-396.0,-7489.0,5716.0,1
1.646144962360632e+18,-396.0,-7489.0,5716.0,1
1.646144962360632e+18,-396.0,-7489.0,5716.0,1
1.6461449630739525e+18,-469.0,-6889.0,5801.0,1
1.6461449630739525e+18,-469.0,-6889.0,5801.0,1
1.6461449630739525e+18,-469.0,-6889.0,5801.0,1
1.6461449630739525e+18,-469.0,-6889.0,5801.0,1
1.6461449630739525e+18,-469.0,-6889.0,5801.0,1
1.6461449630739525e+18,-469.0,-6889.0,5801.0,1
1.6461449630739525e+18,-469.0,-6889.0,5801.0,1
1.6461449630987955e+18,-470.0,-6642.0,5821.0,1
1.6461449631714555e+18,-462.0,-6396.0,5836.0,1
