timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY2_RIGHT
1.646145008600269e+18,-8474.0,-739.0,12096.0,1
1.646145008651398e+18,-5971.0,-322.0,10935.0,1
1.646145008699881e+18,-4431.0,-1709.0,7593.0,1
1.6461450087463488e+18,-4831.0,-1191.0,7630.0,1
1.6461450088020426e+18,-4815.0,-1814.0,7474.0,1
1.6461450088516718e+18,-4834.0,-1671.0,7368.0,1
1.646145008900065e+18,-4561.0,-1823.0,6941.0,1
1.6461450089587827e+18,-4788.0,-1199.0,7039.0,1
1.6461450090001684e+18,-4672.0,-1650.0,7135.0,1
1.6461450090481295e+18,-4440.0,-1348.0,7273.0,1
1.6461450091033528e+18,-4160.0,-1459.0,7279.0,1
1.646145009153295e+18,-4394.0,-1417.0,7201.0,1
1.6461450092016146e+18,-4356.0,-1086.0,7229.0,1
1.6461450092458e+18,-4461.0,-1141.0,7315.0,1
1.6461450093008558e+18,-4334.0,-1273.0,7128.0,1
1.6461450093491505e+18,-4482.0,-1163.0,7320.0,1
1.6461450094045722e+18,-4443.0,-1267.0,7271.0,1
1.6461450094490263e+18,-4242.0,-1166.0,7039.0,1
1.6461450095028982e+18,-4580.0,-1387.0,7371.0,1
1.6461450095660685e+18,-4410.0,-1201.0,7176.0,1
1.6461450096003904e+18,-4510.0,-1335.0,7270.0,1
1.6461450096556861e+18,-4401.0,-1411.0,7245.0,1
1.6461450097010214e+18,-4516.0,-1290.0,7260.0,1
1.646145009753406e+18,-4512.0,-1303.0,7331.0,1
1.6461450098051738e+18,-4438.0,-1371.0,7192.0,1
1.6461450098532905e+18,-4418.0,-1191.0,7318.0,1
1.6461450099037468e+18,-4394.0,-1244.0,7110.0,1
1.6461450099560684e+18,-4508.0,-1341.0,7229.0,1
1.6461450100039578e+18,-4505.0,-957.0,7031.0,1
1.6461450100553623e+18,-4594.0,-1263.0,7057.0,1
1.646145010106088e+18,-4742.0,-1495.0,7316.0,1
1.6461450101600015e+18,-4781.0,-1486.0,7521.0,1
1.6461450102061094e+18,-4571.0,-1257.0,7414.0,1
1.646145010253249e+18,-9775.0,943.0,10639.0,1
1.6461450102995963e+18,-8159.0,-1843.0,11601.0,1
1.646145010354791e+18,-2124.0,2192.0,9052.0,1
1.6461450104036654e+18,633.0,3435.0,7206.0,1
1.6461450104519764e+18,4396.0,5190.0,5319.0,1
1.6461450105028147e+18,5061.0,4768.0,5013.0,1
1.6461450105525466e+18,8680.0,3923.0,-1120.0,1
1.646145010602691e+18,2897.0,-2287.0,-411.0,1
1.6461450106539786e+18,-2264.0,-11115.0,-3504.0,1
1.6461450107022326e+18,-7727.0,-9601.0,5924.0,1
1.6461450107528433e+18,-6791.0,-10244.0,7225.0,1
1.6461450107617426e+18,-6352.0,-9542.0,6393.0,1
1.6461450108542141e+18,-6205.0,-9063.0,5993.0,1
1.6461450109034286e+18,-6163.0,-64.0,8440.0,1
1.6461450109542505e+18,-5206.0,2408.0,8585.0,1
1.6461450109542505e+18,-5206.0,2408.0,8585.0,1
1.6461450111082737e+18,-5174.0,2395.0,8576.0,1
1.6461450111082737e+18,-5174.0,2395.0,8576.0,1
1.6461450111700365e+18,-5152.0,2439.0,8591.0,1
1.646145011204871e+18,-4857.0,3039.0,8392.0,1
1.6461450112534561e+18,-4656.0,507.0,8420.0,1
1.646145011303031e+18,-3769.0,2290.0,7912.0,1
1.6461450113533076e+18,-2834.0,1747.0,7618.0,1
1.6461450114077763e+18,-3088.0,1061.0,8012.0,1
1.6461450114530363e+18,-3255.0,751.0,7995.0,1
1.646145011507883e+18,-3009.0,1209.0,7860.0,1
1.646145011553426e+18,-2991.0,1022.0,8018.0,1
1.646145011608606e+18,-2633.0,1598.0,7946.0,1
1.6461450116526362e+18,-3032.0,1572.0,8102.0,1
1.646145011708086e+18,-3792.0,1783.0,7994.0,1
1.6461450117533763e+18,-3833.0,1298.0,7856.0,1
1.6461450118066048e+18,-3633.0,2250.0,7539.0,1
1.6461450118523758e+18,-3243.0,1707.0,7617.0,1
1.646145011907665e+18,-2902.0,1697.0,7818.0,1
1.6461450119544422e+18,-3297.0,1534.0,8041.0,1
1.6461450120012155e+18,-3555.0,1579.0,7393.0,1
1.646145012055736e+18,-3861.0,1475.0,7467.0,1
1.6461450121060943e+18,-3914.0,828.0,8007.0,1
1.6461450121528364e+18,-3463.0,1519.0,7889.0,1
1.6461450122066143e+18,-3491.0,1087.0,8026.0,1
1.6461450122571576e+18,-3614.0,772.0,7971.0,1
1.6461450123060608e+18,-3339.0,735.0,7806.0,1
