timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_RIGHT
1.6461449478728594e+18,334.0,-9667.0,431.0,1
1.6461449479291776e+18,1423.0,-10228.0,-1423.0,1
1.6461449479664586e+18,1459.0,-9662.0,-2129.0,1
1.6461449480273477e+18,1339.0,-8213.0,-2459.0,1
1.6461449480718915e+18,1769.0,-7145.0,-2604.0,1
1.6461449481275784e+18,2534.0,-6004.0,-2791.0,1
1.6461449481873987e+18,2435.0,-5571.0,-2871.0,1
1.6461449482260687e+18,2772.0,-5103.0,-2956.0,1
1.646144948275869e+18,2704.0,-5746.0,-3900.0,1
1.646144948326607e+18,3060.0,-4928.0,-3122.0,1
1.646144948376401e+18,3555.0,-4759.0,-2422.0,1
1.646144948427391e+18,4102.0,-4339.0,-2151.0,1
1.6461449484753065e+18,4515.0,-4675.0,-2038.0,1
1.6461449485260224e+18,4977.0,-5133.0,-2850.0,1
1.6461449485765962e+18,5337.0,-5704.0,-3102.0,1
1.6461449486249344e+18,5347.0,-5905.0,-3495.0,1
1.6461449486765898e+18,5355.0,-6019.0,-3666.0,1
1.646144948726649e+18,5124.0,-5712.0,-3238.0,1
1.6461449487795016e+18,4987.0,-5844.0,-3364.0,1
1.64614494882609e+18,4752.0,-5479.0,-3478.0,1
1.6461449488719903e+18,4518.0,-5109.0,-3130.0,1
1.646144948926644e+18,4211.0,-4924.0,-2667.0,1
1.6461449489681864e+18,3869.0,-5297.0,-1759.0,1
1.6461449490247578e+18,4707.0,-5868.0,-1619.0,1
1.6461449490760271e+18,5200.0,-3638.0,-609.0,1
1.6461449491246482e+18,3643.0,-5261.0,783.0,1
1.6461449491793441e+18,703.0,-6959.0,1890.0,1
1.6461449492279826e+18,-1103.0,-7496.0,2882.0,1
1.6461449492606236e+18,-3351.0,-9299.0,2680.0,1
1.6461449493284006e+18,-3458.0,-9566.0,2627.0,1
1.6461449493786947e+18,-3358.0,-8768.0,2774.0,1
1.6461449494029586e+18,-2969.0,-8324.0,2389.0,1
1.6461449494812654e+18,-2911.0,-8166.0,2338.0,1
1.6461449495263086e+18,-2872.0,-7991.0,2320.0,1
1.6461449495880927e+18,-2896.0,-7887.0,-47.0,1
1.6461449496253005e+18,-3579.0,-8076.0,-299.0,1
1.6461449496754263e+18,-4366.0,-8357.0,-783.0,1
1.646144949726534e+18,-4558.0,-9335.0,-577.0,1
1.6461449497804467e+18,-3726.0,-10426.0,-883.0,1
1.6461449498293906e+18,-2449.0,-11352.0,-1680.0,1
1.6461449498779356e+18,-756.0,-10875.0,-3031.0,1
1.6461449499266977e+18,2853.0,-7816.0,-3378.0,1
1.6461449499802007e+18,4725.0,-5229.0,-2557.0,1
1.646144950023315e+18,5064.0,-1941.0,-1237.0,1
1.6461449500797228e+18,5540.0,-384.0,-373.0,1
1.6461449501260682e+18,5775.0,-1046.0,-1132.0,1
1.6461449501780872e+18,5743.0,-1565.0,-1938.0,1
1.6461449502244774e+18,6785.0,-2375.0,-4003.0,1
1.6461449502780503e+18,5800.0,-2001.0,-2531.0,1
1.6461449503238177e+18,6121.0,-2960.0,-2597.0,1
1.646144950379413e+18,5494.0,-4189.0,-5599.0,1
1.6461449504236347e+18,6512.0,-4308.0,-3627.0,1
1.6461449504789394e+18,6977.0,-3014.0,-3041.0,1
1.6461449505237192e+18,6413.0,-3343.0,-3103.0,1
1.646144950581198e+18,6176.0,-3024.0,-3789.0,1
1.6461449506240476e+18,6158.0,-2620.0,-3172.0,1
1.6461449506807222e+18,5885.0,-2148.0,-2652.0,1
1.646144950724956e+18,5560.0,-2442.0,-2895.0,1
1.6461449507720323e+18,5152.0,-2651.0,-3948.0,1
1.6461449508281585e+18,5185.0,-3913.0,-6034.0,1
1.6461449508782492e+18,5324.0,-4929.0,-6014.0,1
1.6461449509288095e+18,5467.0,-5039.0,-5676.0,1
1.6461449509788836e+18,5437.0,-4782.0,-5566.0,1
1.646144951030421e+18,5129.0,-4410.0,-5072.0,1
1.6461449510784507e+18,4987.0,-4290.0,-4841.0,1
1.6461449511334495e+18,4747.0,-4281.0,-4688.0,1
1.6461449511773524e+18,4871.0,-4370.0,-4700.0,1
1.6461449512289418e+18,4985.0,-4372.0,-4827.0,1
1.6461449512738399e+18,5074.0,-4401.0,-4763.0,1
1.6461449513323658e+18,4985.0,-4346.0,-4635.0,1
1.646144951383143e+18,4876.0,-4311.0,-4336.0,1
1.6461449514299098e+18,5032.0,-4170.0,-4306.0,1
1.6461449514779182e+18,5096.0,-4428.0,-4432.0,1
1.6461449515284987e+18,5302.0,-4569.0,-4412.0,1
1.6461449515770568e+18,5514.0,-4826.0,-4074.0,1
1.6461449516283338e+18,5664.0,-4557.0,-4176.0,1
1.6461449516781775e+18,5550.0,-4454.0,-3993.0,1
1.6461449517286223e+18,5686.0,-4482.0,-3750.0,1
1.6461449517782282e+18,5589.0,-4193.0,-3217.0,1
1.646144951832982e+18,5722.0,-3961.0,-3108.0,1
1.6461449518766282e+18,5851.0,-3813.0,-3011.0,1
1.646144951930964e+18,5823.0,-3817.0,-2941.0,1
1.64614495197644e+18,5973.0,-3793.0,-2960.0,1
1.6461449520312906e+18,5980.0,-3928.0,-2998.0,1
1.6461449520762734e+18,6074.0,-3989.0,-3127.0,1
1.6461449521317996e+18,6270.0,-4137.0,-3225.0,1
1.6461449521777556e+18,6230.0,-3956.0,-3172.0,1
1.6461449522320136e+18,6270.0,-3984.0,-3144.0,1
1.6461449522770934e+18,6584.0,-3813.0,-3779.0,1
1.6461449523300575e+18,6684.0,-3551.0,-3722.0,1
1.64614495238149e+18,6514.0,-3721.0,-3710.0,1
1.6461449524302118e+18,6497.0,-3325.0,-3412.0,1
1.6461449524803935e+18,6224.0,-2677.0,-2955.0,1
1.646144952527997e+18,5776.0,-2658.0,-1694.0,1
1.64614495258473e+18,6375.0,-3829.0,-3304.0,1
1.646144952631182e+18,6259.0,-3661.0,-3482.0,1
1.646144952680193e+18,6171.0,-3144.0,-3271.0,1
1.6461449527307727e+18,6669.0,-2798.0,-4128.0,1
1.6461449527812337e+18,6396.0,-2594.0,-3566.0,1
1.6461449528316552e+18,6471.0,-3092.0,-3580.0,1
1.6461449528808663e+18,6458.0,-3247.0,-3270.0,1
1.6461449529308616e+18,6531.0,-3422.0,-3568.0,1
1.646144952982761e+18,6623.0,-3297.0,-3758.0,1
1.6461449530303475e+18,6609.0,-3084.0,-3721.0,1
1.6461449530806198e+18,6598.0,-2976.0,-3618.0,1
1.6461449531296095e+18,6513.0,-2913.0,-3530.0,1
1.6461449531839224e+18,6384.0,-2984.0,-3477.0,1
1.6461449532309148e+18,6453.0,-3035.0,-3444.0,1
1.646144953282193e+18,6412.0,-3192.0,-3255.0,1
1.6461449533316378e+18,6465.0,-3219.0,-3367.0,1
1.646144953384755e+18,6395.0,-3307.0,-3385.0,1
1.646144953430605e+18,6428.0,-3286.0,-3517.0,1
1.6461449534815012e+18,6542.0,-3284.0,-3359.0,1
1.6461449535300882e+18,6422.0,-3257.0,-3286.0,1
1.6461449535843976e+18,6340.0,-3337.0,-3633.0,1
1.6461449536304084e+18,6361.0,-3320.0,-3682.0,1
1.6461449536817743e+18,6345.0,-3293.0,-3689.0,1
1.646144953727401e+18,6369.0,-3324.0,-3450.0,1
1.6461449537816353e+18,6358.0,-3319.0,-3468.0,1
1.6461449538306068e+18,6378.0,-3347.0,-3460.0,1
1.6461449538823132e+18,6445.0,-3296.0,-3495.0,1
1.6461449539288468e+18,6298.0,-3382.0,-3423.0,1
1.6461449539816443e+18,6373.0,-3320.0,-3470.0,1
1.646144954031976e+18,6396.0,-3443.0,-3371.0,1
1.6461449540812872e+18,6330.0,-3442.0,-3372.0,1
1.6461449541358577e+18,6444.0,-3482.0,-3525.0,1
1.6461449541796032e+18,6352.0,-3680.0,-3492.0,1
1.6461449542323983e+18,6276.0,-3585.0,-3287.0,1
1.646144954288628e+18,6489.0,-3230.0,-3518.0,1
1.6461449543345283e+18,6464.0,-3042.0,-3532.0,1
1.6461449543823603e+18,6475.0,-2975.0,-3442.0,1
1.6461449544300314e+18,6265.0,-2832.0,-3157.0,1
1.6461449544841876e+18,6150.0,-3399.0,-2901.0,1
1.646144954536279e+18,6151.0,-3631.0,-3676.0,1
1.6461449545816993e+18,6163.0,-3182.0,-3524.0,1
1.6461449546344225e+18,6432.0,-3062.0,-3739.0,1
1.6461449546834173e+18,6576.0,-2929.0,-3981.0,1
1.646144954733793e+18,6347.0,-3267.0,-3669.0,1
1.6461449547812764e+18,6250.0,-3373.0,-3492.0,1
1.6461449548331238e+18,6314.0,-3372.0,-3370.0,1
1.6461449548839834e+18,6374.0,-3287.0,-3499.0,1
1.646144954931088e+18,6389.0,-3323.0,-3772.0,1
1.6461449549833933e+18,6414.0,-3199.0,-3801.0,1
1.6461449550362624e+18,6434.0,-3083.0,-3664.0,1
1.6461449550812442e+18,6392.0,-3115.0,-3430.0,1
1.6461449551343355e+18,6407.0,-3162.0,-3504.0,1
1.6461449551856387e+18,6425.0,-3239.0,-3567.0,1
1.6461449552380352e+18,6349.0,-3283.0,-3556.0,1
1.646144955285323e+18,6355.0,-3256.0,-3620.0,1
1.646144955333529e+18,6276.0,-3220.0,-3542.0,1
1.6461449553807424e+18,6248.0,-3223.0,-3574.0,1
1.6461449554337162e+18,6321.0,-3158.0,-3570.0,1
1.6461449554825605e+18,6298.0,-3134.0,-3509.0,1
1.6461449555335923e+18,6403.0,-3090.0,-3846.0,1
1.6461449555831268e+18,6448.0,-3141.0,-3649.0,1
1.646144955637012e+18,6492.0,-3050.0,-3858.0,1
1.6461449556871073e+18,6188.0,-3100.0,-3684.0,1
1.6461449557376622e+18,6140.0,-3042.0,-3751.0,1
1.6461449557878129e+18,5700.0,-3133.0,-3543.0,1
1.6461449558254633e+18,5638.0,-3267.0,-3613.0,1
1.6461449558869432e+18,5264.0,-3342.0,-3136.0,1
1.6461449559307003e+18,4795.0,-3318.0,-3126.0,1
1.6461449559870244e+18,4576.0,-3938.0,-4230.0,1
1.6461449560331085e+18,4121.0,-3689.0,-3955.0,1
1.6461449560852723e+18,3324.0,-4358.0,-4717.0,1
1.6461449561246198e+18,2913.0,-4889.0,-5048.0,1
1.6461449561844828e+18,2919.0,-4877.0,-5118.0,1
1.6461449562494602e+18,2942.0,-4871.0,-5190.0,1
1.6461449563195041e+18,2975.0,-4863.0,-5269.0,1
1.6461449563407345e+18,3013.0,-4852.0,-5338.0,1
1.6461450307808205e+18,3053.0,-6384.0,-4220.0,1
1.6461450308303468e+18,4310.0,-6268.0,-5476.0,1
1.6461450308793027e+18,3805.0,-6118.0,-5627.0,1
1.646145030928908e+18,3628.0,-5504.0,-4680.0,1
1.646145030979338e+18,3718.0,-4962.0,-3773.0,1
1.6461450310288297e+18,3553.0,-4870.0,-3739.0,1
1.6461450310785283e+18,3094.0,-5077.0,-4653.0,1
1.6461450311293501e+18,2901.0,-4851.0,-4418.0,1
1.6461450311773722e+18,3208.0,-4526.0,-4082.0,1
1.646145031229946e+18,3554.0,-4383.0,-3608.0,1
1.6461450312639153e+18,3771.0,-4371.0,-3626.0,1
1.646145031329639e+18,4063.0,-4756.0,-4010.0,1
1.646145031358163e+18,4156.0,-4910.0,-4231.0,1
1.646145031430046e+18,4252.0,-4985.0,-4580.0,1
1.6461450314791544e+18,4295.0,-5131.0,-4894.0,1
1.6461450315292785e+18,4433.0,-5017.0,-4775.0,1
1.6461450315791997e+18,4503.0,-4932.0,-4742.0,1
1.6461450316302548e+18,4565.0,-4793.0,-4724.0,1
1.6461450316798781e+18,4430.0,-4774.0,-4741.0,1
1.6461450317329613e+18,4306.0,-4823.0,-4769.0,1
1.6461450317786893e+18,4275.0,-4874.0,-4840.0,1
1.6461450318300275e+18,4005.0,-4994.0,-4725.0,1
1.6461450318776701e+18,3926.0,-5147.0,-4492.0,1
1.6461450319331144e+18,4255.0,-5209.0,-4429.0,1
1.6461450319773967e+18,4224.0,-5460.0,-4477.0,1
1.646145032029443e+18,3975.0,-5519.0,-4453.0,1
1.646145032082783e+18,3938.0,-5492.0,-4394.0,1
1.6461450321329572e+18,4129.0,-5287.0,-4317.0,1
1.646145032181287e+18,4183.0,-5309.0,-4421.0,1
1.6461450322321498e+18,4240.0,-5242.0,-4288.0,1
