timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY2_RIGHT
1.6461450086025577e+18,-5731.0,967.0,7994.0,1
1.6461450086502316e+18,-5643.0,1000.0,7827.0,1
1.646145008702446e+18,-6939.0,779.0,7400.0,1
1.646145008750434e+18,-6228.0,-361.0,5312.0,1
1.6461450088041644e+18,-9345.0,584.0,4464.0,1
1.6461450088532204e+18,-9038.0,-347.0,1925.0,1
1.6461450089032916e+18,-9837.0,888.0,7.0,1
1.646145008907726e+18,-9645.0,798.0,-288.0,1
1.6461450090026752e+18,-9700.0,597.0,-693.0,1
1.6461450090512788e+18,-8144.0,1088.0,-2306.0,1
1.6461450091031557e+18,-11042.0,907.0,-3331.0,1
1.6461450091407887e+18,-8207.0,471.0,-1469.0,1
1.6461450092013903e+18,-8796.0,349.0,-943.0,1
1.6461450092512893e+18,-7796.0,-204.0,-1123.0,1
1.6461450093006228e+18,-7065.0,-442.0,-1482.0,1
1.6461450093474995e+18,-8640.0,-129.0,-2602.0,1
1.6461450094034893e+18,-9010.0,-113.0,-922.0,1
1.646145009447889e+18,-8587.0,-130.0,-911.0,1
1.6461450095006764e+18,-8403.0,129.0,-1582.0,1
1.6461450095641795e+18,-7932.0,-18.0,-1649.0,1
1.646145009601335e+18,-8283.0,171.0,-1939.0,1
1.646145009656103e+18,-7867.0,-159.0,-2048.0,1
1.6461450097032177e+18,-8050.0,124.0,-2506.0,1
1.6461450097522947e+18,-8020.0,38.0,-2206.0,1
1.646145009803383e+18,-7970.0,677.0,-2088.0,1
1.646145009856727e+18,-7320.0,94.0,-2791.0,1
1.6461450099031834e+18,-7773.0,473.0,-3120.0,1
1.6461450099515136e+18,-8020.0,228.0,-2623.0,1
1.6461450100010094e+18,-7757.0,295.0,-2577.0,1
1.6461450100545585e+18,-7821.0,218.0,-2811.0,1
1.6461450101022195e+18,-7843.0,4.0,-2913.0,1
1.646145010153344e+18,-8064.0,430.0,-2727.0,1
1.6461450102030129e+18,-8434.0,824.0,-2243.0,1
1.6461450102501476e+18,-7944.0,714.0,-3119.0,1
1.6461450103027423e+18,-6452.0,563.0,-3813.0,1
1.6461450103553784e+18,-6528.0,935.0,-4592.0,1
1.6461450104023706e+18,-7019.0,1175.0,-4323.0,1
1.6461450104550239e+18,-6797.0,841.0,-4247.0,1
1.6461450105004552e+18,-6580.0,817.0,-4123.0,1
1.646145010556355e+18,-7429.0,577.0,-3971.0,1
1.646145010600019e+18,-8300.0,782.0,-3420.0,1
1.6461450106560182e+18,-8133.0,1072.0,-2855.0,1
1.6461450107004588e+18,-7243.0,547.0,-2195.0,1
1.6461450107522662e+18,-7864.0,242.0,-1967.0,1
1.6461450107999434e+18,-8699.0,626.0,-3161.0,1
1.6461450108544873e+18,-8550.0,990.0,-1888.0,1
1.6461450109004168e+18,-8598.0,1290.0,-2135.0,1
1.646145010951283e+18,-7711.0,1525.0,-2177.0,1
1.6461450110049178e+18,-7225.0,1479.0,-2717.0,1
1.6461450110549632e+18,-7255.0,1539.0,-2087.0,1
1.6461450111002527e+18,-8300.0,1548.0,-1789.0,1
1.6461450111510572e+18,-8974.0,1509.0,-1945.0,1
1.646145011202872e+18,-7553.0,1489.0,-1682.0,1
1.6461450112548526e+18,-8007.0,1807.0,-2366.0,1
1.6461450113059387e+18,-9429.0,1822.0,-1649.0,1
1.6461450113544282e+18,-8145.0,1568.0,-1587.0,1
1.6461450114087442e+18,-5247.0,2049.0,-3455.0,1
1.6461450114516e+18,-6286.0,1491.0,-3268.0,1
1.6461450115042478e+18,-1314.0,1265.0,-7063.0,1
1.6461450115521462e+18,-6546.0,2176.0,-8684.0,1
1.6461450116058598e+18,-7020.0,2286.0,-4523.0,1
1.646145011653184e+18,-6352.0,1559.0,-4922.0,1
1.6461450117043197e+18,-5048.0,2000.0,-6220.0,1
1.6461450117507643e+18,-775.0,4306.0,-3380.0,1
1.6461450118072128e+18,-5009.0,3955.0,-2234.0,1
1.6461450118518423e+18,-5454.0,3299.0,-3810.0,1
1.6461450119048806e+18,-5896.0,2853.0,-7861.0,1
1.6461450119553577e+18,-5497.0,2403.0,-10826.0,1
1.6461450120064474e+18,-3455.0,2277.0,-8275.0,1
1.6461450120523328e+18,-1315.0,3979.0,-8403.0,1
1.64614501210965e+18,-3548.0,4189.0,-7428.0,1
1.6461450121555182e+18,-1751.0,3411.0,-7319.0,1
1.646145012206224e+18,-3248.0,3394.0,-7769.0,1
1.6461450122531758e+18,-3022.0,2361.0,-7363.0,1
1.646145012305983e+18,-3730.0,2205.0,-7045.0,1
