timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_RIGHT
1.646144947876611e+18,-5605.0,-5434.0,-10074.0,1
1.6461449479274816e+18,-4486.0,-5432.0,-7797.0,1
1.6461449479719334e+18,-3136.0,-4925.0,-5211.0,1
1.6461449480150346e+18,-1126.0,-3878.0,-3959.0,1
1.6461449480757842e+18,823.0,-2590.0,-3259.0,1
1.646144948126397e+18,1389.0,-1746.0,-3471.0,1
1.6461449481729613e+18,1494.0,-489.0,-4958.0,1
1.6461449482278057e+18,2058.0,113.0,-5227.0,1
1.6461449482716316e+18,1754.0,918.0,-7029.0,1
1.6461449483324462e+18,3313.0,-140.0,-7595.0,1
1.646144948375987e+18,3708.0,-85.0,-8210.0,1
1.6461449484270866e+18,3275.0,-572.0,-7657.0,1
1.6461449484763177e+18,2939.0,-1159.0,-7061.0,1
1.646144948527542e+18,2687.0,-1155.0,-7223.0,1
1.6461449485760978e+18,2759.0,-1695.0,-7325.0,1
1.6461449486271324e+18,2512.0,-1662.0,-7377.0,1
1.6461449486765903e+18,1939.0,-785.0,-8185.0,1
1.6461449487242772e+18,2068.0,-907.0,-7800.0,1
1.646144948792658e+18,2821.0,-614.0,-7736.0,1
1.6461449488273288e+18,1866.0,-472.0,-7830.0,1
1.646144948874394e+18,1635.0,-416.0,-7550.0,1
1.6461449489269568e+18,1862.0,44.0,-7907.0,1
1.6461449489665144e+18,2037.0,69.0,-7914.0,1
1.6461449490277458e+18,2561.0,-291.0,-7611.0,1
1.6461449490736287e+18,3229.0,-439.0,-7293.0,1
1.6461449491309366e+18,3569.0,-590.0,-7362.0,1
1.6461449491772252e+18,3207.0,339.0,-7451.0,1
1.6461449492295444e+18,3330.0,668.0,-7457.0,1
1.646144949275879e+18,2915.0,147.0,-6976.0,1
1.6461449493281533e+18,3386.0,219.0,-7359.0,1
1.6461449493766612e+18,3869.0,600.0,-7472.0,1
1.646144949426492e+18,4328.0,101.0,-6615.0,1
1.6461449494706301e+18,4454.0,392.0,-6774.0,1
1.6461449495269494e+18,4356.0,508.0,-6644.0,1
1.646144949583076e+18,5054.0,643.0,-6671.0,1
1.6461449496261097e+18,4815.0,544.0,-6483.0,1
1.6461449496751332e+18,5441.0,811.0,-5975.0,1
