timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_RIGHT
1.6461450086029076e+18,2810.0,5964.0,-5366.0,1
1.646145008650561e+18,2526.0,8035.0,-5942.0,1
1.646145008702793e+18,2155.0,8484.0,-6064.0,1
1.6461450087507533e+18,2249.0,6204.0,-3596.0,1
1.6461450088043822e+18,767.0,10823.0,-3131.0,1
1.6461450088526136e+18,-623.0,8263.0,235.0,1
1.6461450089036308e+18,-1169.0,10188.0,461.0,1
1.6461450089080044e+18,-1174.0,9888.0,708.0,1
1.646145009003081e+18,-1373.0,9472.0,1373.0,1
1.6461450090497157e+18,-1870.0,7567.0,2012.0,1
1.6461450091042557e+18,-2569.0,11105.0,3158.0,1
1.6461450091410788e+18,-1603.0,8122.0,1646.0,1
1.6461450092017132e+18,-1693.0,8160.0,1641.0,1
1.646145009251566e+18,-894.0,7678.0,1736.0,1
1.6461450093010465e+18,-424.0,7345.0,1837.0,1
1.6461450093478067e+18,-1278.0,9381.0,2690.0,1
1.646145009403826e+18,-984.0,8590.0,1711.0,1
1.646145009448314e+18,-1174.0,8328.0,1699.0,1
1.6461450095009764e+18,-1215.0,8243.0,2022.0,1
1.646145009563448e+18,-1080.0,7824.0,2167.0,1
1.646145009601649e+18,-1198.0,8320.0,2325.0,1
1.6461450096565212e+18,-716.0,7543.0,2392.0,1
1.646145009703612e+18,-1101.0,7966.0,2646.0,1
1.6461450097526784e+18,-1074.0,7716.0,2695.0,1
1.646145009803845e+18,-1502.0,7726.0,2281.0,1
1.646145009854593e+18,-888.0,7152.0,2973.0,1
1.6461450099035617e+18,-1122.0,7698.0,3004.0,1
1.6461450099551496e+18,-1120.0,8003.0,2970.0,1
1.6461450100013284e+18,-1059.0,7534.0,2751.0,1
1.6461450100549097e+18,-1026.0,7899.0,2982.0,1
1.6461450101028268e+18,-861.0,7733.0,3161.0,1
1.6461450101540641e+18,-1155.0,8007.0,2894.0,1
1.6461450102003638e+18,-1458.0,8195.0,2786.0,1
1.6461450102502912e+18,-1163.0,7776.0,3292.0,1
1.6461450103030956e+18,-433.0,6419.0,3296.0,1
1.6461450103556506e+18,-792.0,6518.0,3851.0,1
1.6461450104027395e+18,-1450.0,7259.0,3787.0,1
1.6461450104553723e+18,-1560.0,6828.0,4393.0,1
1.646145010500836e+18,-1180.0,6600.0,3857.0,1
1.6461450105565693e+18,-1239.0,7065.0,4095.0,1
1.6461450106003044e+18,-1636.0,8397.0,3408.0,1
1.6461450106563023e+18,-2086.0,7607.0,2938.0,1
1.646145010700998e+18,-1339.0,7029.0,2634.0,1
1.6461450107525517e+18,-1290.0,7989.0,2647.0,1
1.6461450108004787e+18,-2246.0,8181.0,3432.0,1
1.646145010856228e+18,-2314.0,8444.0,3158.0,1
1.6461450109006996e+18,-2437.0,7905.0,3206.0,1
1.6461450109517604e+18,-2314.0,7141.0,3054.0,1
1.6461450110008468e+18,-2164.0,6421.0,3471.0,1
1.6461450110553705e+18,-2050.0,7145.0,2783.0,1
1.6461450111008202e+18,-2454.0,7565.0,2975.0,1
1.6461450111513364e+18,-2620.0,8026.0,3455.0,1
1.6461450112064852e+18,-2014.0,6277.0,2711.0,1
1.6461450112552494e+18,-2382.0,7724.0,3508.0,1
1.6461450113063516e+18,-2600.0,8529.0,3097.0,1
1.6461450113547492e+18,-2160.0,7587.0,3208.0,1
1.6461450114055334e+18,-1878.0,4999.0,3960.0,1
1.6461450114521761e+18,-2014.0,5499.0,4603.0,1
1.6461450115065784e+18,-716.0,1788.0,6012.0,1
1.6461450115525202e+18,-3352.0,6071.0,8362.0,1
1.6461450116063956e+18,-3009.0,5913.0,5186.0,1
1.64614501165342e+18,-2114.0,5745.0,5379.0,1
1.6461450117047368e+18,-2692.0,4473.0,6204.0,1
1.6461450117510036e+18,-3755.0,994.0,3314.0,1
1.6461450118075835e+18,-3471.0,5321.0,2378.0,1
1.6461450118520868e+18,-2588.0,4607.0,4818.0,1
1.6461450119053517e+18,-2309.0,6149.0,6670.0,1
1.646145011955713e+18,-2665.0,5726.0,9058.0,1
1.6461450120059402e+18,-3324.0,3898.0,8099.0,1
1.646145012052664e+18,-5086.0,1211.0,7240.0,1
1.6461450121100751e+18,-5647.0,4335.0,5614.0,1
1.646145012155882e+18,-4925.0,2356.0,6267.0,1
1.6461450122066642e+18,-4921.0,3040.0,6543.0,1
1.6461450122536637e+18,-4092.0,2902.0,6686.0,1
1.6461450123063468e+18,-3573.0,3342.0,6321.0,1
