timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_RIGHT
1.6461449478769444e+18,1713.0,8191.0,8837.0,1
1.6461449479278377e+18,2179.0,6635.0,8052.0,1
1.6461449479722844e+18,2759.0,5043.0,6937.0,1
1.6461449480154296e+18,3038.0,3114.0,5549.0,1
1.6461449480711642e+18,3498.0,1290.0,3836.0,1
1.646144948126754e+18,3079.0,526.0,3711.0,1
1.646144948173338e+18,1454.0,-18.0,5277.0,1
1.646144948224439e+18,1849.0,-784.0,5174.0,1
1.646144948271847e+18,1320.0,163.0,6287.0,1
1.6461449483326863e+18,2147.0,-1184.0,7920.0,1
1.6461449483763635e+18,2734.0,-2196.0,7661.0,1
1.6461449484277156e+18,2978.0,-871.0,7374.0,1
1.6461449484766141e+18,2991.0,-1039.0,7539.0,1
1.646144948527799e+18,3101.0,-576.0,7268.0,1
1.646144948576409e+18,3311.0,-1017.0,7801.0,1
1.646144948627692e+18,3640.0,-1145.0,7744.0,1
1.646144948676972e+18,3363.0,-1256.0,7610.0,1
1.6461449487245025e+18,3412.0,-548.0,7827.0,1
1.6461449487563356e+18,3533.0,-1105.0,7576.0,1
1.6461449488275576e+18,3623.0,-418.0,7700.0,1
1.6461449488738998e+18,3649.0,-321.0,7571.0,1
1.6461449489274803e+18,3398.0,290.0,7272.0,1
1.6461449489782057e+18,3223.0,-199.0,7594.0,1
1.6461449490247562e+18,3494.0,-940.0,7627.0,1
1.6461449490748626e+18,3555.0,-1765.0,7400.0,1
1.646144949131294e+18,3646.0,-2210.0,7427.0,1
1.6461449491775037e+18,2966.0,-2039.0,7273.0,1
1.6461449492250688e+18,2898.0,-1828.0,7460.0,1
1.6461449492761718e+18,3248.0,-1559.0,7388.0,1
1.6461449493284948e+18,3248.0,-2117.0,7446.0,1
1.6461449493773268e+18,3064.0,-2490.0,7243.0,1
1.6461449494268454e+18,3241.0,-3103.0,7101.0,1
1.6461449494708992e+18,3192.0,-3324.0,6561.0,1
1.6461449495273482e+18,2965.0,-3494.0,6726.0,1
1.6461449495854252e+18,2846.0,-4064.0,6892.0,1
1.6461449496134326e+18,2899.0,-4014.0,6618.0,1
1.646144949675342e+18,2265.0,-4450.0,6050.0,1
1.6461449497211023e+18,1969.0,-4014.0,5854.0,1
