timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_RIGHT
1.6461449161864932e+18,-3118.0,3075.0,6246.0,1
1.6461449162358487e+18,-3731.0,4150.0,5014.0,1
1.6461449162846264e+18,-4068.0,3507.0,6165.0,1
1.64614491633509e+18,-3970.0,2751.0,6861.0,1
1.6461449163845844e+18,-4173.0,3432.0,6426.0,1
1.6461449164349468e+18,-4312.0,2883.0,7710.0,1
1.646144916486639e+18,-4065.0,2885.0,7538.0,1
1.6461449165351916e+18,-4064.0,2287.0,7296.0,1
1.646144916585019e+18,-3091.0,3968.0,5671.0,1
1.646144916631457e+18,-2470.0,2651.0,6183.0,1
1.646144916686631e+18,-2457.0,3470.0,6332.0,1
1.6461449167362332e+18,-2183.0,5046.0,6095.0,1
1.6461449167854566e+18,-1744.0,4840.0,6675.0,1
1.6461449168363566e+18,-1396.0,5279.0,6382.0,1
1.6461449168858417e+18,-1352.0,4717.0,6970.0,1
1.646144916936238e+18,-1302.0,4492.0,7223.0,1
1.646144917535524e+18,364.0,5046.0,6565.0,1
1.6461449175844552e+18,494.0,4658.0,6652.0,1
1.646144917634694e+18,411.0,4699.0,6682.0,1
1.6461449176885832e+18,239.0,4990.0,6951.0,1
1.646144917733696e+18,291.0,5089.0,6915.0,1
1.6461449177861501e+18,344.0,4706.0,6698.0,1
1.6461449178374062e+18,241.0,5316.0,6760.0,1
1.6461449178881088e+18,357.0,5169.0,6711.0,1
1.6461449179363254e+18,391.0,3914.0,6859.0,1
1.6461449179862487e+18,268.0,4678.0,6964.0,1
1.6461449180386304e+18,351.0,4429.0,7070.0,1
1.6461449180876718e+18,406.0,4694.0,7011.0,1
1.6461449181360896e+18,68.0,3310.0,7069.0,1
1.6461449181826368e+18,-1.0,4655.0,6980.0,1
1.646144918241162e+18,-148.0,3643.0,7365.0,1
1.6461449182858043e+18,341.0,4734.0,7206.0,1
1.6461449183382717e+18,469.0,4119.0,7157.0,1
1.6461449183875215e+18,394.0,4314.0,7350.0,1
1.6461449184390216e+18,381.0,4746.0,7207.0,1
1.6461449184875569e+18,519.0,4218.0,7191.0,1
1.64614491854049e+18,604.0,4277.0,7104.0,1
1.6461449185878392e+18,674.0,4479.0,6931.0,1
1.6461449186390405e+18,380.0,4150.0,7387.0,1
1.6461449186883205e+18,342.0,3571.0,7225.0,1
1.6461449187283187e+18,467.0,4128.0,7245.0,1
1.6461449187843556e+18,626.0,4383.0,7341.0,1
1.646144918839219e+18,406.0,3565.0,7395.0,1
1.6461449188866767e+18,500.0,4949.0,7204.0,1
1.646144918937919e+18,789.0,4560.0,6961.0,1
1.646144918984474e+18,798.0,4405.0,7022.0,1
1.6461449190392156e+18,921.0,5325.0,6728.0,1
1.646144919088563e+18,975.0,4856.0,6417.0,1
1.646144919134097e+18,991.0,5375.0,6577.0,1
1.6461449191840486e+18,999.0,5250.0,6269.0,1
1.6461449192416988e+18,1143.0,5048.0,6279.0,1
1.6461449192841393e+18,1289.0,5070.0,6403.0,1
1.6461449193296684e+18,1332.0,5309.0,6494.0,1
1.6461449193869601e+18,1171.0,4832.0,6708.0,1
1.646144919444367e+18,1226.0,5491.0,6809.0,1
1.646144919491313e+18,1081.0,4207.0,6737.0,1
1.6461449195508815e+18,1103.0,4098.0,6825.0,1
1.6461449195807114e+18,1216.0,4515.0,6823.0,1
1.6461449196377137e+18,1184.0,4375.0,6873.0,1
1.6461449196896195e+18,1134.0,5143.0,7116.0,1
1.6461449197391278e+18,941.0,4587.0,7170.0,1
1.6461449198035346e+18,1007.0,4645.0,7133.0,1
1.6461449198393907e+18,1219.0,4253.0,6718.0,1
1.6461449198866102e+18,948.0,4143.0,7175.0,1
1.6461449199389504e+18,956.0,3258.0,7056.0,1
1.6461449199901737e+18,919.0,2987.0,5936.0,1
1.646144920039128e+18,756.0,4464.0,6506.0,1
1.6461449200903974e+18,457.0,5520.0,6755.0,1
1.6461449201374948e+18,173.0,5345.0,7695.0,1
1.646144920191027e+18,409.0,5183.0,7096.0,1
1.6461449202388756e+18,530.0,3456.0,6823.0,1
1.646144920289401e+18,390.0,4343.0,7610.0,1
1.6461449203392328e+18,446.0,4624.0,7864.0,1
1.6461449203885635e+18,130.0,2870.0,7161.0,1
1.6461449204368955e+18,-945.0,2663.0,8033.0,1
1.6461449204888187e+18,-1747.0,3664.0,8137.0,1
1.6461449205381937e+18,-2035.0,19.0,9608.0,1
1.646144920578335e+18,-2027.0,1275.0,8431.0,1
1.6461449206397737e+18,-1257.0,4278.0,4550.0,1
1.6461449206926372e+18,-374.0,7931.0,1197.0,1
1.6461449207346424e+18,-1116.0,9694.0,1512.0,1
1.6461449207891072e+18,-2620.0,4392.0,4890.0,1
1.6461449208383882e+18,-3172.0,6879.0,5503.0,1
1.64614492088921e+18,-3569.0,3665.0,6910.0,1
1.6461449209432717e+18,-3148.0,4860.0,6131.0,1
1.646144920987457e+18,-3109.0,4320.0,6489.0,1
1.6461449210437594e+18,-3039.0,3599.0,7058.0,1
1.6461449210882048e+18,-3890.0,3962.0,7585.0,1
1.6461449211401876e+18,-3861.0,4144.0,6732.0,1
1.6461449211898895e+18,-3639.0,4347.0,6435.0,1
1.6461449212437312e+18,-3060.0,3813.0,6351.0,1
1.6461449212922184e+18,-3147.0,3974.0,5610.0,1
1.646144921343725e+18,-3277.0,4217.0,5876.0,1
1.646144921388476e+18,-3283.0,3754.0,6165.0,1
1.646144921440465e+18,-3728.0,4042.0,6771.0,1
1.646144921440465e+18,-3728.0,4042.0,6771.0,1
1.646144921440465e+18,-3728.0,4042.0,6771.0,1
1.646144921696007e+18,-3743.0,4096.0,6863.0,1
1.646144921696007e+18,-3743.0,4096.0,6863.0,1
1.646144921696007e+18,-3743.0,4096.0,6863.0,1
1.6461449217333094e+18,-5728.0,4158.0,9330.0,1
1.6461449217902886e+18,-3821.0,4457.0,8560.0,1
1.646144921851171e+18,-2536.0,4549.0,6889.0,1
1.646144921891959e+18,230.0,7756.0,2822.0,1
1.646144921940332e+18,1134.0,7185.0,1613.0,1
1.6461449219941238e+18,1398.0,6071.0,1406.0,1
1.6461449220420342e+18,1602.0,5189.0,1809.0,1
1.6461449220946875e+18,1786.0,7095.0,2631.0,1
1.6461449221434913e+18,1760.0,6317.0,3631.0,1
1.6461449221938396e+18,1588.0,7105.0,4106.0,1
1.6461449222398994e+18,1520.0,7304.0,4371.0,1
1.646144922294462e+18,1672.0,7644.0,4211.0,1
1.6461449223404285e+18,1895.0,7217.0,4296.0,1
1.6461449223947302e+18,2064.0,7000.0,3999.0,1
1.6461449224397496e+18,2016.0,7426.0,4013.0,1
1.6461449224937585e+18,1715.0,7943.0,3824.0,1
1.646144922542004e+18,2154.0,7215.0,4824.0,1
1.6461449225913833e+18,2122.0,6973.0,3739.0,1
1.6461449226466212e+18,1971.0,6409.0,4014.0,1
1.6461449226942582e+18,1797.0,7232.0,4942.0,1
1.6461449227422894e+18,1948.0,6914.0,4912.0,1
1.6461449227919882e+18,1981.0,6907.0,4976.0,1
1.6461449228413517e+18,2137.0,5912.0,5311.0,1
1.646144922891385e+18,2201.0,5818.0,4646.0,1
1.646144922944269e+18,2134.0,6135.0,4362.0,1
1.6461449229925755e+18,1751.0,8127.0,4400.0,1
1.6461449230420836e+18,1809.0,8532.0,3782.0,1
1.646144923092413e+18,1968.0,6340.0,4768.0,1
1.646144923144717e+18,1865.0,6239.0,4990.0,1
1.6461449231925192e+18,1805.0,5548.0,5595.0,1
1.646144923242038e+18,1412.0,6114.0,4278.0,1
1.6461449232917478e+18,1469.0,7718.0,2800.0,1
1.6461449233446958e+18,1825.0,8879.0,459.0,1
1.6461449233965985e+18,1620.0,8682.0,1349.0,1
1.6461449234445714e+18,1690.0,8023.0,1314.0,1
1.6461449234925601e+18,1256.0,7040.0,3049.0,1
1.6461449235460431e+18,1320.0,9865.0,1268.0,1
1.6461449235924895e+18,1158.0,7317.0,2060.0,1
1.6461449236467085e+18,1143.0,6475.0,1323.0,1
1.6461449236918956e+18,741.0,5372.0,1691.0,1
1.6461449237457293e+18,492.0,9172.0,-677.0,1
1.646144923792644e+18,-568.0,9249.0,-844.0,1
1.6461453527292206e+18,-3064.0,8771.0,7584.0,1
1.6461453527814735e+18,-4158.0,7420.0,9681.0,1
1.6461453528350692e+18,-5878.0,6378.0,7913.0,1
1.6461453528794555e+18,-5556.0,5808.0,7571.0,1
