timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, BOLT_RIGHT
1.646147379870032e+18,frame_5963.jpeg,5642.0,-1983.0,-2784.0,1
1.6461473799229834e+18,frame_5964.jpeg,4943.0,-1937.0,-3054.0,1
1.6461473799954455e+18,frame_5965.jpeg,4826.0,-1900.0,-3250.0,1
1.646147380018917e+18,frame_5966.jpeg,3653.0,-389.0,-5455.0,1
1.6461473800694725e+18,frame_5967.jpeg,2206.0,559.0,-7752.0,1
1.646147380122588e+18,frame_5968.jpeg,2920.0,986.0,-8658.0,1
1.6461473801701862e+18,frame_5969.jpeg,2887.0,675.0,-8471.0,1
1.6461473802228378e+18,frame_5970.jpeg,3216.0,-102.0,-7024.0,1
1.6461473802685711e+18,frame_5971.jpeg,3184.0,263.0,-7428.0,1
1.6461473803188285e+18,frame_5972.jpeg,1775.0,-297.0,-8894.0,1
1.6461473803651802e+18,frame_5973.jpeg,2226.0,-45.0,-7834.0,1
1.6461473804094454e+18,frame_5974.jpeg,2827.0,447.0,-7651.0,1
1.6461473804797737e+18,frame_5975.jpeg,3283.0,595.0,-7488.0,1
1.646147380523006e+18,frame_5976.jpeg,3897.0,363.0,-7272.0,1
1.646147380572137e+18,frame_5977.jpeg,3377.0,287.0,-7045.0,1
1.646147380628286e+18,frame_5978.jpeg,3317.0,242.0,-7209.0,1
1.646147380673112e+18,frame_5979.jpeg,3755.0,504.0,-7324.0,1
1.6461473807182922e+18,frame_5980.jpeg,3604.0,354.0,-6957.0,1
1.6461473807594583e+18,frame_5981.jpeg,3642.0,352.0,-6922.0,1
1.6461473808016276e+18,frame_5982.jpeg,2862.0,32.0,-6553.0,1
1.646147380864123e+18,frame_5983.jpeg,3066.0,130.0,-6624.0,1
1.6461473809165443e+18,frame_5984.jpeg,4066.0,551.0,-7514.0,1
1.6461473809730806e+18,frame_5985.jpeg,3375.0,731.0,-7263.0,1
1.6461473810249495e+18,frame_5986.jpeg,2752.0,767.0,-7262.0,1
1.6461473810764946e+18,frame_5987.jpeg,3385.0,1231.0,-7097.0,1
1.6461473811160824e+18,frame_5988.jpeg,3374.0,1168.0,-7092.0,1
1.6461473811837489e+18,frame_5989.jpeg,3058.0,934.0,-7071.0,1
1.646147381221761e+18,frame_5990.jpeg,3636.0,1362.0,-7253.0,1
1.6461473812769377e+18,frame_5991.jpeg,3127.0,1165.0,-6911.0,1
1.6461473813229548e+18,frame_5992.jpeg,2995.0,986.0,-6965.0,1
1.6461473813729454e+18,frame_5993.jpeg,4428.0,1898.0,-7160.0,1
1.646147381425432e+18,frame_5994.jpeg,3609.0,1697.0,-6172.0,1
1.64614738146807e+18,frame_5995.jpeg,3099.0,2002.0,-6484.0,1
1.64614738151919e+18,frame_5996.jpeg,1977.0,2117.0,-7687.0,1
1.6461473815730424e+18,frame_5997.jpeg,320.0,1556.0,-8238.0,1
1.6461473816245222e+18,frame_5998.jpeg,-119.0,1320.0,-8632.0,1
1.6461473816721623e+18,frame_5999.jpeg,-417.0,1096.0,-8363.0,1
1.6461473817236887e+18,frame_6000.jpeg,-91.0,1572.0,-7705.0,1
1.6461473817769257e+18,frame_6001.jpeg,494.0,1767.0,-8008.0,1
1.6461473818185508e+18,frame_6002.jpeg,264.0,1552.0,-7798.0,1
1.6461473818719245e+18,frame_6003.jpeg,391.0,1625.0,-7879.0,1
1.6461473819222966e+18,frame_6004.jpeg,252.0,1655.0,-7884.0,1
1.6461473819765082e+18,frame_6005.jpeg,507.0,1776.0,-7840.0,1
1.64614738202313e+18,frame_6006.jpeg,496.0,1591.0,-7919.0,1
1.6461473820762964e+18,frame_6007.jpeg,684.0,1698.0,-7789.0,1
1.646147382124386e+18,frame_6008.jpeg,660.0,1657.0,-7824.0,1
1.6461473821743575e+18,frame_6009.jpeg,294.0,1545.0,-7829.0,1
1.6461473822224663e+18,frame_6010.jpeg,58.0,1770.0,-7866.0,1
1.646147382277236e+18,frame_6011.jpeg,53.0,1802.0,-7967.0,1
1.6461473823238922e+18,frame_6012.jpeg,83.0,1849.0,-7661.0,1
1.6461473823738058e+18,frame_6013.jpeg,283.0,1783.0,-7881.0,1
1.646147382425956e+18,frame_6014.jpeg,287.0,1512.0,-7705.0,1
1.646147382474366e+18,frame_6015.jpeg,47.0,1430.0,-7947.0,1
1.6461473825278881e+18,frame_6016.jpeg,131.0,1634.0,-7959.0,1
1.646147382574346e+18,frame_6017.jpeg,166.0,1816.0,-7835.0,1
1.6461473826271252e+18,frame_6018.jpeg,268.0,1868.0,-7839.0,1
1.64614738267427e+18,frame_6019.jpeg,231.0,1769.0,-7773.0,1
1.646147382725966e+18,frame_6020.jpeg,263.0,1636.0,-7878.0,1
1.6461473827779164e+18,frame_6021.jpeg,224.0,1591.0,-7974.0,1
1.6461473828278275e+18,frame_6022.jpeg,531.0,1819.0,-7809.0,1
1.6461473828928579e+18,frame_6023.jpeg,422.0,1721.0,-7848.0,1
1.6461473829259213e+18,frame_6024.jpeg,641.0,1812.0,-7743.0,1
1.6461473829753236e+18,frame_6025.jpeg,343.0,1765.0,-7809.0,1
1.6461473830260762e+18,frame_6026.jpeg,281.0,1854.0,-7826.0,1
1.646147383078897e+18,frame_6027.jpeg,410.0,1882.0,-7879.0,1
1.6461473831256998e+18,frame_6028.jpeg,459.0,1931.0,-7718.0,1
1.6461473831780936e+18,frame_6029.jpeg,328.0,1790.0,-7783.0,1
1.6461473832264986e+18,frame_6030.jpeg,479.0,1763.0,-7791.0,1
1.646147383277515e+18,frame_6031.jpeg,197.0,1761.0,-7836.0,1
1.6461473833261727e+18,frame_6032.jpeg,-21.0,1814.0,-7892.0,1
1.646147383375331e+18,frame_6033.jpeg,156.0,1788.0,-7840.0,1
1.64614738343159e+18,frame_6034.jpeg,147.0,1766.0,-7904.0,1
1.6461473834744845e+18,frame_6035.jpeg,149.0,1792.0,-7820.0,1
1.6461473835250747e+18,frame_6036.jpeg,413.0,1782.0,-7824.0,1
1.646147383572791e+18,frame_6037.jpeg,434.0,1661.0,-7864.0,1
1.6461473836245847e+18,frame_6038.jpeg,466.0,1722.0,-7806.0,1
1.6461473836746552e+18,frame_6039.jpeg,292.0,1835.0,-7829.0,1
1.6461473837251236e+18,frame_6040.jpeg,182.0,1919.0,-7833.0,1
1.6461473837725542e+18,frame_6041.jpeg,96.0,1972.0,-7804.0,1
1.6461473838258e+18,frame_6042.jpeg,278.0,1917.0,-7825.0,1
1.6461473838728384e+18,frame_6043.jpeg,381.0,1796.0,-7823.0,1
1.6461473839252593e+18,frame_6044.jpeg,500.0,1779.0,-7817.0,1
1.6461473839715786e+18,frame_6045.jpeg,351.0,1749.0,-7841.0,1
1.646147384025273e+18,frame_6046.jpeg,191.0,1856.0,-7815.0,1
1.6461473840792947e+18,frame_6047.jpeg,105.0,1903.0,-7741.0,1
1.6461473841245932e+18,frame_6048.jpeg,119.0,1806.0,-7882.0,1
1.6461473841758797e+18,frame_6049.jpeg,211.0,1794.0,-7817.0,1
1.6461473842251387e+18,frame_6050.jpeg,88.0,1895.0,-7806.0,1
1.6461473842795574e+18,frame_6051.jpeg,-4.0,1802.0,-7877.0,1
1.6461473843268544e+18,frame_6052.jpeg,38.0,1834.0,-7773.0,1
1.6461473843756227e+18,frame_6053.jpeg,381.0,1899.0,-7819.0,1
1.646147384424215e+18,frame_6054.jpeg,312.0,1726.0,-7842.0,1
1.6461473844799875e+18,frame_6055.jpeg,214.0,1856.0,-7853.0,1
1.6461473845233382e+18,frame_6056.jpeg,-33.0,2007.0,-7768.0,1
1.6461473845768156e+18,frame_6057.jpeg,224.0,1979.0,-7756.0,1
1.6461473846244457e+18,frame_6058.jpeg,245.0,1885.0,-7881.0,1
1.646147384678757e+18,frame_6059.jpeg,377.0,1874.0,-7756.0,1
1.6461473847289572e+18,frame_6060.jpeg,242.0,1868.0,-7854.0,1
1.6461473847776433e+18,frame_6061.jpeg,279.0,1838.0,-7807.0,1
1.6461473848230973e+18,frame_6062.jpeg,106.0,1879.0,-7769.0,1
1.6461473848800215e+18,frame_6063.jpeg,-34.0,1645.0,-7720.0,1
1.646147384925773e+18,frame_6064.jpeg,156.0,2009.0,-7810.0,1
1.646147384973092e+18,frame_6065.jpeg,32.0,1811.0,-7844.0,1
1.6461473850282696e+18,frame_6066.jpeg,357.0,1866.0,-7810.0,1
1.6461473850786076e+18,frame_6067.jpeg,227.0,1760.0,-7847.0,1
1.646147385128086e+18,frame_6068.jpeg,105.0,1848.0,-7878.0,1
1.6461473851805711e+18,frame_6069.jpeg,213.0,2024.0,-7797.0,1
1.6461473852262886e+18,frame_6070.jpeg,271.0,1994.0,-7744.0,1
1.6461473852794207e+18,frame_6071.jpeg,91.0,1872.0,-7879.0,1
1.646147385326989e+18,frame_6072.jpeg,328.0,1927.0,-7824.0,1
1.64614738537868e+18,frame_6073.jpeg,277.0,1909.0,-7828.0,1
1.6461473854264036e+18,frame_6074.jpeg,301.0,1956.0,-7790.0,1
1.6461473854791409e+18,frame_6075.jpeg,346.0,1900.0,-7822.0,1
1.6461473855300751e+18,frame_6076.jpeg,488.0,1883.0,-7902.0,1
1.6461473855788598e+18,frame_6077.jpeg,297.0,1873.0,-7850.0,1
1.6461473856280005e+18,frame_6078.jpeg,152.0,1912.0,-7665.0,1
1.6461473873295035e+18,frame_6112.jpeg,4766.0,-1495.0,-6199.0,1
1.6461473873808092e+18,frame_6113.jpeg,3453.0,-1253.0,-6176.0,1
1.6461473874286707e+18,frame_6114.jpeg,5399.0,-688.0,-6556.0,1
1.6461473874833329e+18,frame_6115.jpeg,6142.0,-537.0,-6116.0,1
1.6461473875304893e+18,frame_6116.jpeg,5628.0,137.0,-5529.0,1
1.6461473875806467e+18,frame_6117.jpeg,5687.0,820.0,-6245.0,1
1.6461473876326282e+18,frame_6118.jpeg,4066.0,1395.0,-6371.0,1
1.6461473876872955e+18,frame_6119.jpeg,4624.0,2860.0,-4146.0,1
1.6461473877272033e+18,frame_6120.jpeg,5250.0,4542.0,-3805.0,1
1.6461473877823972e+18,frame_6121.jpeg,6308.0,5528.0,-3668.0,1
1.6461473878288369e+18,frame_6122.jpeg,5987.0,5209.0,-3983.0,1
1.6461473878814976e+18,frame_6123.jpeg,5030.0,4341.0,-4610.0,1
1.6461473879284585e+18,frame_6124.jpeg,4544.0,2654.0,-4297.0,1
1.6461473879832504e+18,frame_6125.jpeg,4310.0,2130.0,-5901.0,1
1.6461473880317102e+18,frame_6126.jpeg,5060.0,2188.0,-5743.0,1
1.6461473880819858e+18,frame_6127.jpeg,5570.0,1513.0,-5529.0,1
1.6461473881286285e+18,frame_6128.jpeg,5417.0,754.0,-5916.0,1
1.6461473881702065e+18,frame_6129.jpeg,5428.0,827.0,-5588.0,1
1.6461473882326223e+18,frame_6130.jpeg,5467.0,866.0,-5316.0,1
1.6461473882814538e+18,frame_6131.jpeg,5365.0,790.0,-5492.0,1
1.6461473883305964e+18,frame_6132.jpeg,5322.0,614.0,-5834.0,1
1.646147388383206e+18,frame_6133.jpeg,6005.0,1099.0,-5207.0,1
1.6461473884307658e+18,frame_6134.jpeg,5806.0,1291.0,-5085.0,1
1.6461473884829893e+18,frame_6135.jpeg,5975.0,1402.0,-5195.0,1
1.646147388529347e+18,frame_6136.jpeg,5907.0,1480.0,-5050.0,1
1.6461473885869727e+18,frame_6137.jpeg,6066.0,1773.0,-5392.0,1
1.646147388627484e+18,frame_6138.jpeg,6263.0,2595.0,-5487.0,1
1.6461473886811584e+18,frame_6139.jpeg,4239.0,2217.0,-6540.0,1
1.6461473887321505e+18,frame_6140.jpeg,4120.0,396.0,-4809.0,1
1.646147388781478e+18,frame_6141.jpeg,4430.0,683.0,-7001.0,1
1.646147388829354e+18,frame_6142.jpeg,5001.0,1054.0,-6638.0,1
1.6461473888834e+18,frame_6143.jpeg,4066.0,1195.0,-6452.0,1
1.6461473889326182e+18,frame_6144.jpeg,4184.0,1613.0,-6681.0,1
1.646147388986213e+18,frame_6145.jpeg,3931.0,1664.0,-6758.0,1
1.6461473890325356e+18,frame_6146.jpeg,4037.0,1383.0,-6673.0,1
1.646147389083183e+18,frame_6147.jpeg,4437.0,1317.0,-6432.0,1
1.646147389135861e+18,frame_6148.jpeg,4425.0,1161.0,-6529.0,1
1.6461473891840637e+18,frame_6149.jpeg,4397.0,1356.0,-6573.0,1
1.6461473892403538e+18,frame_6150.jpeg,3898.0,1254.0,-6308.0,1
1.646147389283296e+18,frame_6151.jpeg,3393.0,1831.0,-6003.0,1
1.6461473893317386e+18,frame_6152.jpeg,2139.0,2466.0,-8256.0,1
1.6461473893816374e+18,frame_6153.jpeg,3254.0,2141.0,-7902.0,1
1.6461473894376694e+18,frame_6154.jpeg,794.0,981.0,-7368.0,1
1.6461473894826785e+18,frame_6155.jpeg,1201.0,1712.0,-8053.0,1
1.6461473895317852e+18,frame_6156.jpeg,744.0,1923.0,-7661.0,1
